standard_system,standard_id,standard_name_zh,standard_name_en,company_id,company_name_zh,company_name_en,world500_rank,industry_section_code,industry_section_name_zh,industry_section_name_en,current_company_workbench_code,current_company_workbench_name_zh,industry_consistency_status,decision_bucket,evidence_status,evidence_page,source_file,snippet,enters_sankey,review_note
ISO,iso_14064,ISO 14064,ISO 14064,r126_axa,安盛,AXA,126,J,金融业,Finance,J,金融业,consistent_with_company_workbench,review,review,176,axa_urd2024_accessible_va.pdf,onmental impact; (ii) they must be located in countries where AXA operates; and (iii) they must meet high quality standards through certification (including ...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r130_engie集团,Engie,Engie,130,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,consistent_with_company_workbench,review,review,119,ENGIE_DEU_2024_US__PDF_MEL_v3.pdf,e 7 of Section 6.2.2. “Notes to the consolidated financial statements”. Methodology used to calculate the Group’s total GHG emissions [AR 39a] The Group's GH...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r141_tencentholdings,腾讯控股有限公司,TENCENT HOLDINGS,141,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,consistent_with_company_workbench,review,review,100,腾讯年度ESG报告2024.pdf,"置量（吨）13 33,097.8 46,536.4 33,062.4 每收入单位的无害废弃物处置量（千克/百万人民币）13 50.1 76.4 59.6 有害废弃物处置量（吨）14 3,105.8 1,321.7 1,051.0 每收入单位的有害废弃物处置量（千克/百万人民币）14 4.7 2.2 1.9 注： ...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r143_byd,比亚迪股份有限公司,BYD,143,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,46,比亚迪年度可持续报告2024.pdf,"相关制度。此外，我们鼓励供 相当于减少碳排放超忆1 0 , O O O吨二氧化碳当量s。 应商在生产过程中逐步扩大绿电使用比例、使用新能源车辆、推动节能技改以降低运营过程碳排放，也鼓励 a 供应商参与产品的回收和再利用，推广循环经济理念，以减少废弃物产生、提升资源利用率 。同时，我们积 极推动绿色采购，制定绿色采...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r157_jiangxicopper,江西铜业集团有限公司,JIANGXI COPPER,157,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,30,2024江西铜业集团有限公司环境、社会及管治报告.pdf,"IB I, ABIES AR Soy BHR Mate HSE. 53 | 江西铜业股份有限公司 ROL, LMA coi ewe 揣手直人进 绿色先行 智领未来 以人为本 责任失当 INE 共享负责价值链 共和缩可持续未来 FARES 共建温暖职场 践行社会承诺 BARE “SHAS BesrHe—SR” 江西...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r162_kia,起亚公司,KIA,162,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,133,2025 KIA Sustainability Report.pdf,"eme, accredited by the Korea Laboratory Accreditation Scheme (KOLAS) under the National Institute of Technology and Standards of Korea for ISO/IEC 17029:2019...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r182_ubsgroup,瑞银集团,UBS GROUP,182,J,金融业,Finance,J,金融业,consistent_with_company_workbench,review,review,51,UBS GROUP-sustainability-report-2024.pdf,critical role of biodiversity. Our reporting on environmental targets and indicators in our own operations The information about our environmental targets an...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r186_taiwansemiconductormanufacturing,台积公司,TAIWAN SEMICONDUCTOR MANUFACTURING,186,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,75,台积公司2022c-all.pdf,"成 未達成 註 1：第一階供應商：直接交易且年度訂單3 筆以上，交易金額大於500 萬新台幣者，民國111 年共1,230 家符合定義 註 2：關鍵供應商：符合占比前85% 採購支出、單一採購來源或評估其市場占有率、產品庫存水位與特性等綜合風險指標後認定 註3：因近年新增新進製程亦納入風險評估考量，故民國119 ...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r186_taiwansemiconductormanufacturing,台积公司,TAIWAN SEMICONDUCTOR MANUFACTURING,186,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,89,台积公司2022c-all.pdf,營 運能力。 ●完善供應鏈碳資訊 民國111 年，台積公司要求137 家原物料 及設備供應商參與CDP 供應鏈專案，並辦理 組織型溫室氣體盤查訓練及CDP 揭露問卷說 明，以提高資料品質，總計322 人次參與訓 練、111 家供應商完成問卷。調查結果顯示， 84% 受訪廠商已將氣候變遷議題納入董事會 監管，93%...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r189_itaúunibancoholding,伊塔乌联合银行控股公司,ITAÚ UNIBANCO HOLDING,189,J,金融业,Finance,J,金融业,consistent_with_company_workbench,review,review,113,ITAÚ UNIBANCO HOLDING ESG Report 2024.pdf,"n to the Carbon Credit Desk, our Sustainability and Legal teams also participate in the selection of carbon credits and the evolution of our GHG emissions of...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r203_aeon,日本永旺集团,AEON,203,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,consistent_with_company_workbench,review,review,8,AEON sustainability report.pdf,nan,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r206_chinavanke,万科企业股份有限公司,CHINA VANKE,206,K,房地产业,Real Estate,K,房地产业,consistent_with_company_workbench,review,review,62,2024-CHINA VANKE-sustainability-report.pdf,"mission management of data centres and actively promotes the construction of green and low-carbon data centres via usage efficiency optimisation, business up...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r217_bancodobrasil,巴西银行,BANCO DO BRASIL,217,J,金融业,Finance,J,金融业,consistent_with_company_workbench,review,review,130,BANCO DO BRASIL Annual Report - 2024.pdf,"1 emissions by 42% by 2030, based on the criteria of the Science-Based Targets initiative (SBTi) and the scenario of a global temperature increase below 2°C....",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r222_nvidia,英伟达公司,NVIDIA,222,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,20,NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,"perform third-party verified Life Cycle Assessments (LCAs) and Product Carbon Footprints (PCFs) aligned with ISO international standards. In FY26, we publish...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14040_14044,ISO 14040/14044,ISO 14040/14044,r248_lenovogroup,联想集团有限公司,LENOVO GROUP,248,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,34,FY2025-lenovo-sustainability-report.pdf,"A is a key priority, reflecting a commitment to supporting customers’ sustainability goals by designing products with lower footprint. Lenovo recognizes the ...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r248_lenovogroup,联想集团有限公司,LENOVO GROUP,248,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,34,FY2025-lenovo-sustainability-report.pdf,"A is a key priority, reflecting a commitment to supporting customers’ sustainability goals by designing products with lower footprint. Lenovo recognizes the ...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r250_contemporaryamperextechnology,宁德时代新能源科技股份有限公司,CONTEMPORARY AMPEREX TECHNOLOGY,250,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,43,宁德时代2024年ESG报告.pdf,能宣传周 公司面向全体员工及配套物业人员开展以“绿色转型，节能攻坚”为主题的节能宣传周活动， 并举办节能亮点征集和知识竞赛，持续通过节能相关科普培训深化全员节能低碳意识。 气候与碳管理培训 公司建立系统化的碳管理培训体系，通过专业化的课程设计与实施，赋能员工及供应商提升 碳管理能力。针对内部员工，公司自主开发《全...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r250_contemporaryamperextechnology,宁德时代新能源科技股份有限公司,CONTEMPORARY AMPEREX TECHNOLOGY,250,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,43,宁德时代2024年ESG报告.pdf,能宣传周 公司面向全体员工及配套物业人员开展以“绿色转型，节能攻坚”为主题的节能宣传周活动， 并举办节能亮点征集和知识竞赛，持续通过节能相关科普培训深化全员节能低碳意识。 气候与碳管理培训 公司建立系统化的碳管理培训体系，通过专业化的课程设计与实施，赋能员工及供应商提升 碳管理能力。针对内部员工，公司自主开发《全...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
GB/T,gb_t_32150_2015,GB/T 32150-2015,GB/T 32150-2015,r250_contemporaryamperextechnology,宁德时代新能源科技股份有限公司,CONTEMPORARY AMPEREX TECHNOLOGY,250,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,64,宁德时代2024年ESG报告.pdf,电池生产基地排放强度 温室气体排放强度 3 吨二氧化碳当量/ 兆瓦时 9.98 5.77 4.56 电芯 吨二氧化碳当量/ 兆瓦时 8.74 5.02 4.12 封装模组 吨二氧化碳当量/ 兆瓦时 0.34 0.15 0.04 电池包 吨二氧化碳当量/ 兆瓦时 0.22 0.11 0.08 其他 吨二氧化碳当量/...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r252_bancobradesco,巴西布拉德斯科银行,BANCO BRADESCO,252,J,金融业,Finance,J,金融业,consistent_with_company_workbench,accepted,verified,46,2024 BANCO BRADESCO ESG Report.pdf,"Through the annual greenhouse gas inventory, we track the evolution of our operational emissions since 2006, following the guidelines of the ABNT ISO 14064-1...",true,page_text_explicitly_names_standard_or_strong_alias
ISO,iso_14067,ISO 14067,ISO 14067,r261_intel,英特尔公司,INTEL,261,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,44,INTEL CSR-2024-25-Full-Report.pdf,orting Protocol Working Groups in the Semiconductor Climate Consortium and the Massachusetts Institute of Technology’s (MIT) Product Attribute to Impact Algo...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r273_iberdrola公司,Iberdrola,Iberdrola,273,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",I,电力、热力、燃气及水生产和供应业,consistent_with_company_workbench,review,review,103,gsm25-IBERDROLA-sustainability-report-2024.pdf,"25 and 2026, respectively, as a result of the projection of CO2 emissions based on the generation forecast presented in the Company's Long-Term Strategic Pro...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r313_exor集团,EXOR,EXOR,313,J,金融业,Finance,J,金融业,consistent_with_company_workbench,review,review,13,EXOR GROUP Sustainability Report 2023.pdf,"tomakers has not been released as of the date of publication of the 2023 Ferrari Annual Report. Since 2021, Ferrari has calculated its carbon footprint consi...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r327_talanx公司,Talanx,Talanx,327,J,金融业,Finance,J,金融业,consistent_with_company_workbench,review,review,33,Talanx_Nachhaltigkeitsbericht_2023_en.pdf,"ctive core employees, not including the Hannover Re Group (2023: 24.357, 2022: 20,346, 2019: 19,741). 3 Total emissions are based on actual, estimated or ex...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r339_hyundaimobis,现代摩比斯公司,HYUNDAI MOBIS,339,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,158,HYUNDAI MOBIS sustainability report 2025.pdf,"rational control and organizational boundary of company during 2024. 2) Unitus Co., Ltd., Motras Co., Ltd., Hyundai IHL Co., Ltd., H Green Power Co., Ltd., G...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14040_14044,ISO 14040/14044,ISO 14040/14044,r368_lyondellbasellindustries,利安德巴塞尔工业公司,LYONDELLBASELL INDUSTRIES,368,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,26,2024-LYONDELLBASELL INDUSTRIES-sustainability-report.pdf,"with customers on their scope 3 emission targets, and work to evaluate our supply chain. Additionally, we are collaborating to support the harmonization of p...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r375_pegatron,和硕,PEGATRON,375,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,6,和硕年度报告2023.pdf,Corporate Social Responsibility #325 8 规划及管理种机，兹由董事会失任和经济、环境及社会重大主题之最高决策单位。董事 ei KM 了 . 二 14001)、职业安全卫生管理系统(ISO 45001)、品质及无有害物质管理系统 实务守则授权纺经理担任主任委员。 委员会成员 筹长...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r387_schneiderelectric,施耐德电气,SCHNEIDER ELECTRIC,387,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,48,2024-SCHNEIDER ELECTRIC-sustainability-report_tcm564-513141.pdf,ct-related R&D project of the Group enables a substantial carbon footprint saving through more efficient products and systems. Those improvements are measure...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r392_coop集团,Coop,Coop,392,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,consistent_with_company_workbench,accepted,verified,216,COOP GROUP Fortschrittsbericht-Nachhaltigkeit-2024_en.pdf,We used the “operational control” approach as per the Green­ house Gas (GHG) Protocol to calculate CO2e emissions. The Scope 3 emissions were calculated in a...,true,page_text_explicitly_names_standard_or_strong_alias
ISO,iso_14064,ISO 14064,ISO 14064,r397_xiaomi,小米集团,XIAOMI,397,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,37,"Xiaomi 2023 Environmental, Social, and Governance Report.pdf","iaomi’s goal of attaining to achieve carbon neutrality by 2040, we further updated our GHG reduction targets accordingly during the year. 28 GHG emissions: ...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r415_sfholding,顺丰控股股份有限公司,S.F. HOLDING,415,G,交通运输、仓储和邮政业,"Transport, Storage and Post",G,交通运输、仓储和邮政业,consistent_with_company_workbench,review,review,74,顺丰控股2024年度可持续发展报告.pdf,144 顺丰控股 2024 年度可持续 资料说明 顺丰控股于2025年3 发展报告 顺利通过国际独立第三方审验机构SGS通标标准技术服务有限公 司的核查，完成了2024 室气体排放量 的第三方核证，并 获得温室气体核查声明证书。 声明编码 CN25/00001737 温室气体核查声明 深圳顺丰泰森控股(集团)有限...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r433_mercadona公司,Mercadona,Mercadona,433,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,consistent_with_company_workbench,review,review,87,Mercadona-annual-report-2024.pdf,"nd climate change Every year, Mercadona analyses its carbon footprint to determine its evolution and establish new objectives and strategies to accelerate th...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r444_quantacomputer,广达电脑公司,QUANTA COMPUTER,444,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,accepted,verified,14,Quanta_ESG_CN_2023.pdf,12 關於報告書 廣達承諾及利害關係人溝通 永續治理誠信經營 以人為本多元職場 關愛地球綠色永續 永續供應鏈管理 關愛社會文化均富 附錄 使命 聯合國永續目標 對應之廣達永續目標 2023年成果 環境保護 SDG 13 氣候行動 完備減緩調適行動，以因應 氣候變遷及其影響 致力減少廢棄物，降低對環境的 衝擊。 遵...,true,page_text_explicitly_names_standard_or_strong_alias
ISO,iso_14064,ISO 14064,ISO 14064,r446_aiagroup,友邦保险控股有限公司,AIA GROUP,446,J,金融业,Finance,J,金融业,consistent_with_company_workbench,review,review,10,AIA GROUP-Main-ESG-Report_CH.pdf,"Song - AIA Journey」計劃向弱勢兒童提供超 過13,000輛自行車，提升他們接受 教育的機會。 「Sac Hong Thang 10 — 粉紅十月」活動旨在提高公 眾對乳癌的認識，而芹滁縣 （Can Gio）撥出10公頃紅樹林用作 支持氣候行動。我們也為受颱風摩 羯吹襲的民眾提供救災物資，並透 過...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r451_crrcgroup,中国中车集团有限公司,CRRC GROUP,451,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,accepted,verified,49,中国中车2024ESG报告.pdf,48 ISO 14067 产品碳足迹证书 案例：公司举办碳资产碳足迹培训班 2024 年3 月，公司举办“碳资产碳足迹培训班”，65 家子公司共计124 人参 加。培训内容涉及碳市场现状与分析、碳资产交易与管理、绿电绿证申领、碳足迹 标准。 举办碳资产碳足迹培训班  零碳场景示范建设 开展零碳场景示范建设工作，...,true,page_text_explicitly_names_standard_or_strong_alias
ISO,iso_14064,ISO 14064,ISO 14064,r454_sompoholdings,损保控股有限公司,SOMPO HOLDINGS,454,J,金融业,Finance,J,金融业,consistent_with_company_workbench,review,review,2,2024_SOMPO HOLDINGS_sustainability_report.pdf,sion: October 2024 (Previous issue date: March 2024) Referenced guidelines • GRI Sustainability Reporting Standards • ISO 26000: International standard on so...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r456_koreagas,韩国天然气公司,KOREA GAS,456,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",I,电力、热力、燃气及水生产和供应业,corrected_by_gbt4754_code_name_rule,review,review,146,KOGAS 2025 SUSTAINABILITY REPORT(A4).pdf,rtification of Emissions under the Greenhouse Gas Emissions Trading Scheme (Ministry of Environment Notice 2024-155) • ‌Verification Guidelines for the Oper...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
