company_id,company_name_en,company_name_zh,rank,world500_rank,source_file,source_path,page,snippet_or_recognition_basis,snippet_en,snippet_zh,recognition_basis_en,recognition_basis_zh,acceptance_status,acceptance_status_en,acceptance_status_zh,recommended_action,not_accepted_review_bucket,carbon_signal_in_rejected_text,evidence_category_key,fact_type_en,label_en,value_text,unit,review_status,carbon_context_detected,reviewer_decision,reviewer_note
r012_exxonmobil,EXXON MOBIL,埃克森美孚,12,12,EXXON MOBIL-sustainability-report-2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\EXXON MOBIL-sustainability-report-2025.pdf,12,"strategic, regulatory, and reputational risks and opportunities. Inputs include: • Peer benchmarking. • Review of leading sustainability frameworks – including those published by the Global Reporting Initiative, the Sustainability Accountin","strategic, regulatory, and reputational risks and opportunities. Inputs include: • Peer benchmarking. • Review of leading sustainability frameworks – including those published by the Global Reporting Initiative, the Sustainability Accountin","strategic, regulatory, and reputational risks and opportunities. Inputs include: • Peer benchmarking. • Review of leading sustainability frameworks – includi...",Structured standard tag: SASB; Standard role: Disclosure guideline,结构化标准标注：SASB；标准角色：披露指引,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,SASB,,,seed_batch_01,False,,
r012_exxonmobil,EXXON MOBIL,埃克森美孚,12,12,EXXON MOBIL-sustainability-report-2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\EXXON MOBIL-sustainability-report-2025.pdf,19,"the Ipieca, the American Petroleum Institute (API), and the International Association of Oil & Gas Producers (IOGP) Sustainability Reporting Guidance for the Oil and Gas Industry (4th edition, 2020, revised February 2023), and the Global Re","the Ipieca, the American Petroleum Institute (API), and the International Association of Oil & Gas Producers (IOGP) Sustainability Reporting Guidance for the Oil and Gas Industry (4th edition, 2020, revised February 2023), and the Global Re","the Ipieca, the American Petroleum Institute (API), and the International Association of Oil & Gas Producers (IOGP) Sustainability Reporting Guidance for the...",Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,GRI,,,seed_batch_01,False,,
r013_shell,SHELL,壳牌公司,13,13,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,356,"wnstream value chain. 2. Identify impacts, risks and opportunities Next, we review the list of sustainability-related topics, subtopics and sub-subtopics provided by the ESRS and industry-specific lists developed by Ipieca and the Global Re","wnstream value chain. 2. Identify impacts, risks and opportunities Next, we review the list of sustainability-related topics, subtopics and sub-subtopics provided by the ESRS and industry-specific lists developed by Ipieca and the Global Re","wnstream value chain. 2. Identify impacts, risks and opportunities Next, we review the list of sustainability-related topics, subtopics and sub-subtopics pro...",Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,GRI,,,seed_batch_01,False,,
r014_chinastateconstructionengineering,CHINA STATE CONSTRUCTION ENGINEERING,中国建筑集团有限公司,14,14,2024中国建筑集团有限公司ESG报告.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024中国建筑集团有限公司ESG报告.pdf,3,2 3 年 度 环 境 社 会 治 理 可 持 续 发 展 报 告 2024 ESG 报告目的： 本报告为中国建筑发布的第二份环境、社会和公 司治理（以下简称“ESG”）报告，旨在披露公司 ESG 工作的战略、管理体系、管理政策、行动和关 键绩效，对各利益相关方关注的重点ESG 议题予以 回应。 编制标准： 本报告的编制参考国务院国有资产监督管理委员会 《关于新时代中央企业高标准履行社会责任的指导 意见》、联合国可持续发展目标（SDGs）、全球可持 续发展标准委员会（GSSB,2 3 年 度 环 境 社 会 治 理 可 持 续 发 展 报 告 2024 ESG 报告目的： 本报告为中国建筑发布的第二份环境、社会和公 司治理（以下简称“ESG”）报告，旨在披露公司 ESG 工作的战略、管理体系、管理政策、行动和关 键绩效，对各利益相关方关注的重点ESG 议题予以 回应。 编制标准： 本报告的编制参考国务院国有资产监督管理委员会 《关于新时代中央企业高标准履行社会责任的指导 意见》、联合国可持续发展目标（SDGs）、全球可持 续发展标准委员会（GSSB,2 3 年 度 环 境 社 会 治 理 可 持 续 发 展 报 告 2024 ESG 报告目的： 本报告为中国建筑发布的第二份环境、社会和公 司治理（以下简称“ESG”）报告，旨在披露公司 ESG 工作的战略、管理体系、管理政策、行动和关 键绩效，对各利益相关方关注的重点ESG 议题予以 回应。 编制标准： 本报...,Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,GRI,,,seed_batch_01,False,,
r017_alphabet公司,Alphabet,Alphabet,17,17,google-2025-environmental-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\google-2025-environmental-report.pdf,77,hievements from 2025 to date. Additional resources • Explore our 2025 Environmental Report • Sustainability.google • Sustainability reports • Sustainability blog • About Google • Google’s commitments • Alphabet additional information: Envir,hievements from 2025 to date. Additional resources • Explore our 2025 Environmental Report • Sustainability.google • Sustainability reports • Sustainability blog • About Google • Google’s commitments • Alphabet additional information: Envir,hievements from 2025 to date. Additional resources • Explore our 2025 Environmental Report • Sustainability.google • Sustainability reports • Sustainability ...,Structured standard tag: SASB; Standard role: Disclosure guideline,结构化标准标注：SASB；标准角色：披露指引,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,SASB,,,seed_batch_13,False,,
r022_industrialandcommercialbankofchina,INDUSTRIAL & COMMERCIAL BANK OF CHINA,中国工商银行股份有限公司,22,22,ICBC_2024_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\ICBC_2024_Sustainability_Report.pdf,76,"Limited, covering the whole group. Reporting period: 1 January 2024 - 31 December 2024. Some content exceeded this scope. Reporting cycle: Annual. Preparation Principle of the Report This Report is prepared with reference to the Global Repo","Limited, covering the whole group. Reporting period: 1 January 2024 - 31 December 2024. Some content exceeded this scope. Reporting cycle: Annual. Preparation Principle of the Report This Report is prepared with reference to the Global Repo","Limited, covering the whole group. Reporting period: 1 January 2024 - 31 December 2024. Some content exceeded this scope. Reporting cycle: Annual. Preparatio...",Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,GRI,,,seed_batch_11,False,,
r023_totalenergies,TOTALENERGIES,道达尔能源公司,23,23,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,4,"ogress report, our Universal Registration Document includes a sustainability report in application of the CSRD (Corporate Sustainability Reporting Directive 1). They complement other voluntary reporting initiatives to which the Company subs","ogress report, our Universal Registration Document includes a sustainability report in application of the CSRD (Corporate Sustainability Reporting Directive 1). They complement other voluntary reporting initiatives to which the Company subs","ogress report, our Universal Registration Document includes a sustainability report in application of the CSRD (Corporate Sustainability Reporting Directive ...",Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,GRI,,,seed_batch_01,False,,
r024_glencore,GLENCORE,嘉能可,24,24,Glencore_2024_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Glencore_2024_Sustainability_Report.pdf,2,Welcome to Glencore’s 2024 Sustainability Report. This report sets out our performance and progress across certain material sustainability-related topics for the year ending December 2024 and is complemented by our 2024 ESG Data Book and GR,Welcome to Glencore’s 2024 Sustainability Report. This report sets out our performance and progress across certain material sustainability-related topics for the year ending December 2024 and is complemented by our 2024 ESG Data Book and GR,Welcome to Glencore’s 2024 Sustainability Report. This report sets out our performance and progress across certain material sustainability-related topics for...,Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,GRI,,,seed_batch_11,False,,
r025_bp,BP,英国石油公司,25,25,bp-sustainability-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\bp-sustainability-report-2024.pdf,47,"long-term goals, climate governance, TCFD disclosures and capital allocation. CDP We submit data as part of the CDP climate change questionnaire and make a copy available on our website. In 2024 we received a score of B (2023 A-). Global Re","long-term goals, climate governance, TCFD disclosures and capital allocation. CDP We submit data as part of the CDP climate change questionnaire and make a copy available on our website. In 2024 we received a score of B (2023 A-). Global Re","long-term goals, climate governance, TCFD disclosures and capital allocation. CDP We submit data as part of the CDP climate change questionnaire and make a c...",Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Re-check this rejected standard-reference row because the snippet still contains a carbon/GHG/Scope signal. If the page truly supports a carbon-accounting fact, re-extract it as a new method/standard candidate with source context; do not directly promote this rejected row.",salvage_review,yes,not_accepted_evidence,Standard reference,GRI,,,seed_batch_13,False,,
r025_bp,BP,英国石油公司,25,25,bp-sustainability-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\bp-sustainability-report-2024.pdf,47,"long-term goals, climate governance, TCFD disclosures and capital allocation. CDP We submit data as part of the CDP climate change questionnaire and make a copy available on our website. In 2024 we received a score of B (2023 A-). Global Re","long-term goals, climate governance, TCFD disclosures and capital allocation. CDP We submit data as part of the CDP climate change questionnaire and make a copy available on our website. In 2024 we received a score of B (2023 A-). Global Re","long-term goals, climate governance, TCFD disclosures and capital allocation. CDP We submit data as part of the CDP climate change questionnaire and make a c...",Structured standard tag: SASB; Standard role: Disclosure guideline,结构化标准标注：SASB；标准角色：披露指引,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Re-check this rejected standard-reference row because the snippet still contains a carbon/GHG/Scope signal. If the page truly supports a carbon-accounting fact, re-extract it as a new method/standard candidate with source context; do not directly promote this rejected row.",salvage_review,yes,not_accepted_evidence,Standard reference,SASB,,,seed_batch_13,False,,
r027_cardinalhealth,CARDINAL HEALTH,嘉德诺健康集团,27,27,cardinal-health-fy24-ESG-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\cardinal-health-fy24-ESG-report.pdf,2,"innovation Responsible sourcing 04 Operating sustainably and responsibly Corporate governance Data privacy and security Business ethics and compliance About this report and cautionary statement 05 Governance, ethics and compliance Global Re","innovation Responsible sourcing 04 Operating sustainably and responsibly Corporate governance Data privacy and security Business ethics and compliance About this report and cautionary statement 05 Governance, ethics and compliance Global Re",innovation Responsible sourcing 04 Operating sustainably and responsibly Corporate governance Data privacy and security Business ethics and compliance About ...,Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,GRI,,,seed_batch_01,False,,
