sankey_flow_key,company_id,company_name_en,company_name_zh,world500_rank,industry_section_code,industry_section_name_zh,industry_section_name_en,company_workbench_industry_section_code,company_workbench_industry_section_name_zh,company_workbench_industry_section_name_en,industry_consistency_status,standard_system,internal_standard_id,display_standard_name_zh,display_standard_name_en,decision_bucket,evidence_gate,evidence_mode,match_status,evidence_page,source_file,snippet_en,snippet_zh,confidence,review_status,matched_aliases
ghg_financial_industry_standard::J,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,J,金融业,Finance,J,金融业,Finance,consistent_with_company_workbench,GHG Protocol,ghg_financial_industry_standard,金融行业全球温室气体核算与报告标准,Global GHG Accounting and Reporting Standard for the Financial Industry,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,33 | 35 | 82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,"lity-report.pdf Scope 3 范围 3 Expanded from source page text for direct-use Scope evidence. ons primarily from products sold by UHG’s retail pharmacy operations. 9 In line with the Partnership for Carbon Accounting Financials (PCAF) standard, estimated emissions are composed of asset classes such as corporate bonds, loans, equities, and sovereign debt and as…","lity-report.pdf Scope 3 范围 3 Expanded from source page text for direct-use Scope evidence. ons primarily from products sold by UHG’s retail pharmacy operations. 9 In line with the Partnership for Carbon Accounting Financials (PCAF) standard, estimated emissions are composed of asset classes such as corporate bonds, loans, equities, and sovereign debt and as…",medium,accepted_explicit_named_series_edge,partnership for carbon accounting financials
ghg_corporate_standard::F,r010_cvshealth公司,CVS Health,CVS Health,10,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,Wholesale and Retail Trade,consistent_with_company_workbench,GHG Protocol,ghg_corporate_standard,GHG Protocol 企业核算与报告标准,GHG Protocol Corporate Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,36 | 90,CVS Health-2024-Impact-Report-Appendix.pdf,estment of infrastructure and maintenance. • Greenhouse Gas Emissions: CVS Health calculates its greenhouse gas emissions footprint in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard. Scope 2 emissions are calculated using both a locatio…,estment of infrastructure and maintenance. • Greenhouse Gas Emissions: CVS Health calculates its greenhouse gas emissions footprint in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard. Scope 2 emissions are calculated using both a locatio…,pdf_page_backfill,accepted_explicit_named_series_edge,corporate accounting and reporting standard
ghg_scope3_standard::F,r010_cvshealth公司,CVS Health,CVS Health,10,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,Wholesale and Retail Trade,consistent_with_company_workbench,GHG Protocol,ghg_scope3_standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,36 | 90,CVS Health-2024-Impact-Report-Appendix.pdf,"Emissions: CVS Health calculates its greenhouse gas emissions footprint in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard. Scope 2 emissions are calculated using both a location-based and market-based approach, with an annual process in…","Emissions: CVS Health calculates its greenhouse gas emissions footprint in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard. Scope 2 emissions are calculated using both a location-based and market-based approach, with an annual process in…",pdf_page_backfill,accepted_explicit_named_series_edge,corporate value chain\s*\(scope 3\)
ghg_corporate_standard::B,r013_shell,SHELL,壳牌公司,13,B,采矿业,Mining,B,采矿业,Mining,consistent_with_company_workbench,GHG Protocol,ghg_corporate_standard,GHG Protocol 企业核算与报告标准,GHG Protocol Corporate Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,99 | 102 | 109 | 344,shell-annual-report-2024.pdf,"ent Report. [C] Emissions from the purchase of electricity, heat, steam and cooling for our own use globally, calculated using a market-based method as defined by the GHG Protocol Corporate Accounting and Reporting Standard. [D] Emi Page 109 reports market-based Total global energy indirect Scope 2 emissions under the operational control boundary at 8 MtCO2…","ent Report. [C] Emissions from the purchase of electricity, heat, steam and cooling for our own use globally, calculated using a market-based method as defined by the GHG Protocol Corporate Accounting and Reporting Standard. [D] Emi Page 109 reports market-based Total global energy indirect Scope 2 emissions under the operational control boundary at 8 MtCO2…",medium,accepted_explicit_named_series_edge,corporate accounting and reporting standard
ghg_scope2_guidance::B,r013_shell,SHELL,壳牌公司,13,B,采矿业,Mining,B,采矿业,Mining,consistent_with_company_workbench,GHG Protocol,ghg_scope2_guidance,GHG Protocol Scope 2 指南,GHG Protocol Scope 2 Guidance,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,102 | 376 | 99,shell-annual-report-2024.pdf,"mported cooling or compressed air used for energy purposes. Scope 2 emissions are calculated using the market- and location-based methods separately as defined by the GHG Protocol Scope 2 Guidance. Scope 2 emissions are presented on a gross basis. Carbon credits Our target to halve total Scope 1 and 2 GHG emissions by 2030 has been set on a net basis, inclu…","mported cooling or compressed air used for energy purposes. Scope 2 emissions are calculated using the market- and location-based methods separately as defined by the GHG Protocol Scope 2 Guidance. Scope 2 emissions are presented on a gross basis. Carbon credits Our target to halve total Scope 1 and 2 GHG emissions by 2030 has been set on a net basis, inclu…",pdf_page_backfill,accepted_explicit_named_series_edge,scope 2 guidance
ghg_scope3_standard::B,r013_shell,SHELL,壳牌公司,13,B,采矿业,Mining,B,采矿业,Mining,consistent_with_company_workbench,GHG Protocol,ghg_scope3_standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,99 | 102 | 344,shell-annual-report-2024.pdf,"distribution [E, F] 3 3 3 — Scope 3, Category 11: use of sold products [G] 845 878 909 1,252 1,084 1,123 1,163 1,520 [A] Categorised using the definitions from the GHG Protocol's Corporate Value Chain (Scope 3) Standard. [B] Ipieca notes that due to the diversity of Scope 3 emissions, sources and the fact that these emissions occur outside the company's bou…","distribution [E, F] 3 3 3 — Scope 3, Category 11: use of sold products [G] 845 878 909 1,252 1,084 1,123 1,163 1,520 [A] Categorised using the definitions from the GHG Protocol's Corporate Value Chain (Scope 3) Standard. [B] Ipieca notes that due to the diversity of Scope 3 emissions, sources and the fact that these emissions occur outside the company's bou…",pdf_page_backfill,accepted_explicit_named_series_edge,corporate value chain\s*\(scope 3\)
ghg_corporate_standard::F,r016_mckesson,MCKESSON,麦克森公司,16,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,Wholesale and Retail Trade,consistent_with_company_workbench,GHG Protocol,ghg_corporate_standard,GHG Protocol 企业核算与报告标准,GHG Protocol Corporate Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,44 | 66,McKesson Impact Report 2024.pdf,"lieves provide objective bases for measuring and reporting. Management of McKesson asserts that the GHG disclosures are presented in accordance with the Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard (Revised Edition), published by the World Resources Institute/ World Business Council for Sustainable Development (the ‘GHG Protocol”).…","lieves provide objective bases for measuring and reporting. Management of McKesson asserts that the GHG disclosures are presented in accordance with the Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard (Revised Edition), published by the World Resources Institute/ World Business Council for Sustainable Development (the ‘GHG Protocol”).…",pdf_page_backfill,accepted_explicit_named_series_edge,corporate accounting and reporting standard
ghg_corporate_standard::I,r017_alphabet公司,Alphabet,Alphabet,17,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",consistent_with_company_workbench,GHG Protocol,ghg_corporate_standard,GHG Protocol 企业核算与报告标准,GHG Protocol Corporate Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,80 | 98 | 112,google-2025-environmental-report.pdf,"the Greenhouse Gas Protocol standards and guidance developed by the World Resources Institute (WRI) and The World Business Council for Sustainable Development (WBCSD), including A Corporate Accounting and Reporting Standard (Revised Edition) and the WRI/WBCSD GHG Protocol Scope 2 Guidance (an amendment to the GHG Protocol Corporate Standard)(collectively, t…","the Greenhouse Gas Protocol standards and guidance developed by the World Resources Institute (WRI) and The World Business Council for Sustainable Development (WBCSD), including A Corporate Accounting and Reporting Standard (Revised Edition) and the WRI/WBCSD GHG Protocol Scope 2 Guidance (an amendment to the GHG Protocol Corporate Standard)(collectively, t…",pdf_page_backfill,accepted_explicit_named_series_edge,corporate accounting and reporting standard | (?:ghg protocol | greenhouse gas protocol | wri | world resources institute
ghg_scope2_guidance::I,r017_alphabet公司,Alphabet,Alphabet,17,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",consistent_with_company_workbench,GHG Protocol,ghg_scope2_guidance,GHG Protocol Scope 2 指南,GHG Protocol Scope 2 Guidance,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,80 | 98 | 112,google-2025-environmental-report.pdf,"(WRI) and The World Business Council for Sustainable Development (WBCSD), including A Corporate Accounting and Reporting Standard (Revised Edition) and the WRI/WBCSD GHG Protocol Scope 2 Guidance (an amendment to the GHG Protocol Corporate Standard)(collectively, the “Corporate Standard”), as well as the Technical Guidance for Calculating Scope 3 Emissions …","(WRI) and The World Business Council for Sustainable Development (WBCSD), including A Corporate Accounting and Reporting Standard (Revised Edition) and the WRI/WBCSD GHG Protocol Scope 2 Guidance (an amendment to the GHG Protocol Corporate Standard)(collectively, the “Corporate Standard”), as well as the Technical Guidance for Calculating Scope 3 Emissions …",pdf_page_backfill,accepted_explicit_named_series_edge,scope 2 guidance
ghg_scope3_calculation_guidance::I,r017_alphabet公司,Alphabet,Alphabet,17,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",consistent_with_company_workbench,GHG Protocol,ghg_scope3_calculation_guidance,GHG Protocol Scope 3 计算指南,GHG Protocol Scope 3 Calculation Guidance,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,80 | 98 | 112,google-2025-environmental-report.pdf,"ard (Revised Edition) and the WRI/WBCSD GHG Protocol Scope 2 Guidance (an amendment to the GHG Protocol Corporate Standard)(collectively, the “Corporate Standard”), as well as the Technical Guidance for Calculating Scope 3 Emissions (“Scope 3 Technical Guidance”), and the Corporate Value Chain (Scope 3) Accounting and… PDF page backfill: mapped from the cit…","ard (Revised Edition) and the WRI/WBCSD GHG Protocol Scope 2 Guidance (an amendment to the GHG Protocol Corporate Standard)(collectively, the “Corporate Standard”), as well as the Technical Guidance for Calculating Scope 3 Emissions (“Scope 3 Technical Guidance”), and the Corporate Value Chain (Scope 3) Accounting and… PDF page backfill: mapped from the cit…",pdf_page_backfill,accepted_explicit_named_series_edge,technical guidance for calculating scope 3 emissions
ghg_scope3_standard::I,r017_alphabet公司,Alphabet,Alphabet,17,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",consistent_with_company_workbench,GHG Protocol,ghg_scope3_standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,80 | 98 | 112,google-2025-environmental-report.pdf,"G Protocol Corporate Standard)(collectively, the “Corporate Standard”), as well as the Technical Guidance for Calculating Scope 3 Emissions (“Scope 3 Technical Guidance”), and the Corporate Value Chain (Scope 3) Accounting and… PDF page backfill: mapped from the cited GHG Protocol evidence page plus adjacent page text; not promoted to direct-use emissions v…","G Protocol Corporate Standard)(collectively, the “Corporate Standard”), as well as the Technical Guidance for Calculating Scope 3 Emissions (“Scope 3 Technical Guidance”), and the Corporate Value Chain (Scope 3) Accounting and… PDF page backfill: mapped from the cited GHG Protocol evidence page plus adjacent page text; not promoted to direct-use emissions v…",pdf_page_backfill,accepted_explicit_named_series_edge,corporate value chain\s*\(scope 3\)
ghg_financial_industry_standard::J,r021_jpmorganchase,JPMORGAN CHASE,摩根大通公司,21,J,金融业,Finance,J,金融业,Finance,consistent_with_company_workbench,GHG Protocol,ghg_financial_industry_standard,金融行业全球温室气体核算与报告标准,Global GHG Accounting and Reporting Standard for the Financial Industry,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,25,JPMORGAN CHASE-Climate-Report-2024.pdf,"ns measurement to inform our methodology. While we believe that our approach correlates with real-world emissions performance, we also disclose a version of this metric aligned to PCAF within the appendix section of this report (refer to pages 32–33). For more information on our approach, refer to the “Absolute Financed Emissions” section in our Carbon Comp…","ns measurement to inform our methodology. While we believe that our approach correlates with real-world emissions performance, we also disclose a version of this metric aligned to PCAF within the appendix section of this report (refer to pages 32–33). For more information on our approach, refer to the “Absolute Financed Emissions” section in our Carbon Comp…",pdf_page_backfill,accepted_explicit_named_series_edge,\bpcaf\b
ghg_scope3_calculation_guidance::B,r023_totalenergies,TOTALENERGIES,道达尔能源公司,23,B,采矿业,Mining,B,采矿业,Mining,consistent_with_company_workbench,GHG Protocol,ghg_scope3_calculation_guidance,GHG Protocol Scope 3 计算指南,GHG Protocol Scope 3 Calculation Guidance,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,18 | 117,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,ustomers). A stoichiometric emission factor (oxidation of molecules to carbon dioxide) is applied to these sales or production to obtain an emission volume. In accordance with the Technical Guidance for Calculating Scope 3 Emissions Supplement to the Corporate Value Chain (Scope 3) Accounting and Reporting Standard which defines end users as both consumers …,ustomers). A stoichiometric emission factor (oxidation of molecules to carbon dioxide) is applied to these sales or production to obtain an emission volume. In accordance with the Technical Guidance for Calculating Scope 3 Emissions Supplement to the Corporate Value Chain (Scope 3) Accounting and Reporting Standard which defines end users as both consumers …,pdf_page_backfill,accepted_explicit_named_series_edge,technical guidance for calculating scope 3 emissions
ghg_scope3_standard::B,r023_totalenergies,TOTALENERGIES,道达尔能源公司,23,B,采矿业,Mining,B,采矿业,Mining,consistent_with_company_workbench,GHG Protocol,ghg_scope3_standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,18 | 117,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,"carbon dioxide) is applied to these sales or production to obtain an emission volume. In accordance with the Technical Guidance for Calculating Scope 3 Emissions Supplement to the Corporate Value Chain (Scope 3) Accounting and Reporting Standard which defines end users as both consumers and business customers that use final products, and with IPIECA’s Estim…","carbon dioxide) is applied to these sales or production to obtain an emission volume. In accordance with the Technical Guidance for Calculating Scope 3 Emissions Supplement to the Corporate Value Chain (Scope 3) Accounting and Reporting Standard which defines end users as both consumers and business customers that use final products, and with IPIECA’s Estim…",pdf_page_backfill,accepted_explicit_named_series_edge,corporate value chain\s*\(scope 3\)
ghg_corporate_standard::F,r027_cardinalhealth,CARDINAL HEALTH,嘉德诺健康集团,27,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,Wholesale and Retail Trade,consistent_with_company_workbench,GHG Protocol,ghg_corporate_standard,GHG Protocol 企业核算与报告标准,GHG Protocol Corporate Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,54 | 80 | 103 | 104,cardinal-health-fy24-ESG-report.pdf,"e 1 GHG emissions were measured in accordance with the World Resources Institute (WRI)/World Business Council for Sustainable Development’s (WBCSD), The Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard (GHG Protocol). Cardinal Health selected an organizational boundary based on operational control and direct emissions sources include s…","e 1 GHG emissions were measured in accordance with the World Resources Institute (WRI)/World Business Council for Sustainable Development’s (WBCSD), The Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard (GHG Protocol). Cardinal Health selected an organizational boundary based on operational control and direct emissions sources include s…",medium,accepted_explicit_named_series_edge,corporate accounting and reporting standard
