action_rank,review_priority,world500_rank,company_id,company_name_en,company_name_zh,scope_en,scope_zh,basis_en,basis_zh,boundary_en,boundary_zh,value_text,unit_raw,value_mtco2e,needed_for_scope_1_2_3_completion,quick_win_for_direct_scope_completion,likely_reject_or_reextract,direct_scope_count,existing_direct_scope_set,verification_status,verification_reason_zh,source_kind,binding_mode,evidence_page,source_file,source_path,snippet_en,review_check_company_report,review_check_inventory_page,review_check_latest_year,review_check_unit,review_check_scope2_method,review_check_boundary,reviewer_decision,manual_emissions_ready,manual_note_zh
13,,264,r264_riotintogroup,RIO TINTO GROUP,力拓集团,Scope 2,范围2,Market-Based,市场法,,,29.8,Mt CO2e,29.8,True,True,True,1,Scope 3,review_required,数值缺少稳定的表格/年份锚定；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_scan,sentence_unit_binding,323,2024-RIO TINTO GROUP-annual-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-RIO TINTO GROUP-annual-report.pdf,...d) Greenhouse Gas (GHG) Emissions (equity basis) of 30.8 Mt CO2e and Total gross Scope 1 and Scope 2 (Market-Based) Greenhouse Gas (GHG) Emissions (equity basis) of 29.8 Mt CO2e presented in the Sustainability sections of the Rio Tinto 2024 Reports for the year ended 31 December ,,,,,,,,,
14,,266,r266_prudentialfinancial,PRUDENTIAL FINANCIAL,保德信金融集团,Scope 1,范围1,,,,,"9,307",TCO2E,0.009307,True,True,True,1,Scope 3,review_required,缺少有效的 MtCO2e 折算值；数值缺少稳定的表格/年份锚定,report_page_scan,sentence_unit_binding,45,Prudential-s-2024-Sustainability-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Prudential-s-2024-Sustainability-Report.pdf,"...2024 52% OF ELECTRICITY COMES FROM RENEWABLE SOURCES VIA CONTRACTUAL AGREEMENTS 13,609 TCO2E SCOPE 1 EMISSIONS 9,307 TCO2E SCOPE 2 EMISSIONS (MARKET-BASED) 255,541 TCO2E SCOPE 3 EMISSIONS 2024 Sustainability Report 45 Additional Information Environmental Stewardship Investing Sus",,,,,,,,,
15,,466,r466_bankofnewyorkmellon,BANK OF NEW YORK MELLON,纽约梅隆银行,Scope 3,范围3,,,,,"28,261",MT CO2e,0.028260999999999998,True,True,True,1,Scope 1,review_required,数值缺少稳定的表格/年份锚定；Scope 3 类别项或 Scope 1/2/3 合计项不能作为 Scope 3 总量采信,report_page_scan,sentence_unit_binding,129,2023-BANK OF NEW YORK MELLON sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2023-BANK OF NEW YORK MELLON sustainability-report.pdf,"...Emissions - Category 6 Business Travel MT CO2e 19,825 Total Scope 1 + Scope 2 Market Based + Scope 3 Business Travel MT CO2e 28,261 GHG Emission Offsets and Net Emissions for 2023 Purchased GHG Emission Offsets MT CO2e 28,811 Net Emissions CO2e (Scope 1 + Scope 2 Market Based + S",,,,,,,,,
16,,119,r119_christiandior,CHRISTIAN DIOR,迪奥公司,Scope 1,范围1,,,,,2,tCO2e,2e-06,True,False,True,1,Scope 3,review_required,缺少有效的 MtCO2e 折算值,report_page_anchor,table_column_anchor,114,ChristianDior_2024_Annual_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\ChristianDior_2024_Annual_Report.pdf,"... and Vigilance Plan 112 Annual Report as of December 31, 2024 GHG emissions - Scopes 1 and 2 Scope 1 emissions are those generated mainly through the combustion of fuel oil and natural gas, as well as the leaking of refrigerant fluids. Scope 2 emissions are those generated indire",,,,,,,,,
17,,145,r145_siemens,SIEMENS,西门子,Scope 1,范围1,,,,,22,tCO2e,2.2e-05,True,False,True,1,Scope 3,review_required,缺少有效的 MtCO2e 折算值；上下文像基准/目标/进度值，不是清单排放值,report_page_scan,table_column_anchor,85,SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,"...how challenging it will be to reduce emissions while at the same time serving our customers. Scope 1 & 2 In fiscal year 2024, our Scope 1 and 2 emissions increased by around 9% or 17 metric tons, resulting in a Scope 1 and 2 intensity of 5.71×10-6 t CO2e/€ of revenue in 2024 comp",,,,,,,,,
18,,198,r198_wilmarinternational,WILMAR INTERNATIONAL,丰益国际,Scope 1,范围1,Market-Based,市场法,Operational control boundary,运营控制边界,12.3,tCO2e,1.23e-05,True,False,True,1,Scope 3,review_required,缺少有效的 MtCO2e 折算值；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_anchor,table_column_anchor,25,24_0151_wilmar_2024_sr-v7-27-may.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\24_0151_wilmar_2024_sr-v7-27-may.pdf,"...ar’s emissions arise from our factories and upstream palm oil operations. In 2024, our total Scope 1 and Scope 2 (market-based) GHG emissions8 were 12.3 million tCO2e (2023: 12.8 million tCO2e^), including 0.5 million tCO2e9 (2023: 0.6 million tCO2e) from land use change. Given t",,,,,,,,,
19,,198,r198_wilmarinternational,WILMAR INTERNATIONAL,丰益国际,Scope 2,范围2,Market-Based,市场法,Operational control boundary,运营控制边界,12.8,tCO2e,1.28e-05,True,False,True,1,Scope 3,review_required,缺少有效的 MtCO2e 折算值；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_anchor,table_column_anchor,25,24_0151_wilmar_2024_sr-v7-27-may.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\24_0151_wilmar_2024_sr-v7-27-may.pdf,"...ns arise from our factories and upstream palm oil operations. In 2024, our total Scope 1 and Scope 2 (market-based) GHG emissions8 were 12.3 million tCO2e (2023: 12.8 million tCO2e^), including 0.5 million tCO2e9 (2023: 0.6 million tCO2e) from land use change. Given the decrease ",,,,,,,,,
20,,234,r234_panasonicholdings,PANASONIC HOLDINGS,松下控股公司,Scope 2,范围2,,,,,3,tCO2e,3e-06,True,False,True,1,Scope 1,review_required,缺少有效的 MtCO2e 折算值；Scope 2 未明确市场法/位置法口径,report_page_scan,table_column_anchor,155,2025_Sustainability Date Book PANASONIC HOLDINGS.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2025_Sustainability Date Book PANASONIC HOLDINGS.pdf,...m energy use (tCO2e) • Scope 1 GHG emissions (including the breakdown of the GHGs) (tCO2e) • Scope 2 GHG emissions (including the breakdown of the GHGs) (tCO2e) • CO2 emissions for logistics (tCO2e) 4 • Scope 3 GHG emissions Category11 (Use of sold products) (tCO2e) • Amount of r,,,,,,,,,
21,,264,r264_riotintogroup,RIO TINTO GROUP,力拓集团,Scope 1,范围1,,,Equity boundary,权益边界,23,MtCO2e,23.0,True,False,True,1,Scope 3,review_required,上下文像基准/目标/进度值，不是清单排放值,report_page_anchor,year_table_row_anchor,74,2024-RIO TINTO GROUP-annual-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-RIO TINTO GROUP-annual-report.pdf,Performance against target: Scope 1 and 2 GHG emissions - adjusted equity basis (Baseline1) Equity GHG emissions (Mt CO2e) 2024 2023 2018 Adjusted (Baseline) Scope 1 and 2 emissions2 30.7 33.9 Carbon credits3 1.1 0 Baseline net Scope 1 and 2 emissions 29.6 33.9 Emissions target b,,,,,,,,,
22,,268,r268_bhpgroup,BHP GROUP,必和必拓集团,Scope 1,范围1,,,Operational control boundary,运营控制边界,7.4,MtCO2e,7.4,True,False,True,1,Scope 3,review_required,上下文像基准/目标/进度值，不是清单排放值,report_page_anchor,year_table_row_anchor,51,250819_bhpannualreport2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\250819_bhpannualreport2025.pdf,"...trol basis (MtCO2-e, unless otherwise indicated) FY2025 FY2024 FY2023 Total operations basis Scope 1 emissions 7.4 8.1 8.0 Scope 2 emissions 1.3 1.9 1.9 Total operational GHG emissions 8.7 10.0 9.9 Location-based Scope 2 emissions 3.1 3.7 3.8 Operational GHG emissions intensity (",,,,,,,,,
23,,268,r268_bhpgroup,BHP GROUP,必和必拓集团,Scope 2,范围2,Location-Based,位置法,,,3.1,MtCO2e,3.1,True,False,True,1,Scope 3,review_required,上下文像基准/目标/进度值，不是清单排放值,report_page_anchor,year_table_row_anchor,51,250819_bhpannualreport2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\250819_bhpannualreport2025.pdf,...sions 7.4 8.1 8.0 Scope 2 emissions 1.3 1.9 1.9 Total operational GHG emissions 8.7 10.0 9.9 Location-based Scope 2 emissions 3.1 3.7 3.8 Operational GHG emissions intensity (tCO2-e per tonne of copper equivalent production) 1.6 1.8 1.7 Notes - Definition: Scope 3 emissions refer,,,,,,,,,
24,,295,r295_zffriedrichshafen,ZF FRIEDRICHSHAFEN,采埃孚,Scope 1,范围1,,,,,1,tCO2e,1e-06,True,False,True,1,Scope 3,review_required,缺少有效的 MtCO2e 折算值；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信；上下文像基准/目标/进度值，不是清单排放值,report_page_anchor,year_table_row_anchor,68,ZF_AnnualReport24.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\ZF_AnnualReport24.pdf,"Gross GHG emissions of Scope 1, 2 and 3 and total GHG emissions in million tons (CO2-aquivalent) 2024 2023 2019 Baseline Scope 1 1) 0.229 0.247 0.406 Scope 2 1) location-based 1) 1.144 1.184 1.437 market-based 1) 0.649 0.805 1.371 Scope 1 + Scope 2 emissions (market-based) 0.878 ",,,,,,,,,
25,,344,r344_continental,CONTINENTAL,德国大陆集团,Scope 1,范围1,,,,,7,tCO2e,7e-06,True,False,True,1,Scope 3,review_required,缺少有效的 MtCO2e 折算值；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信；上下文像基准/目标/进度值，不是清单排放值,report_page_anchor,year_table_row_anchor,142,CONTINENTAL annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\CONTINENTAL annual-report-2024.pdf,...G 2024 Annual Report Management Report Sustainability Report - Environmental Information 139 Scope 1 and Scope 2 GHG emissions Retrospective Milestones and target years Base year 2023 2024 ∆ PY in % 2025 2030 2035 Reduction rate (Annual % target / Base year) Scope 1 GHG emissions,,,,,,,,,
26,,346,r346_dow,DOW,陶氏公司,Scope 2,范围2,,,,,3.11,tCO2e,3.11e-06,True,False,True,1,Scope 1,review_required,缺少有效的 MtCO2e 折算值；Scope 2 未明确市场法/位置法口径,report_page_scan,year_table_row_anchor,115,DOW-2024-progress-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\DOW-2024-progress-report.pdf,... % Scope 1 Emissions From Power Sold to Third-party/Grid1 4.70 5.04 5.45 5.74 -1.04 -18.12 % Scope 2 (Market) 3.11 3.20 4.19 6.22 -3.11 -50.00 % Scope 2 (Location)2 3.44 3.36 3.45 3.95 -0.51 -12.91 % Gross Scope 1 & 2 (Market) 29.74 29.97 31.48 34.98 -5.24 -14.98 % Scope 1 & 2 GH,,,,,,,,,
27,,356,r356_thermofisherscientific,THERMO FISHER SCIENTIFIC,赛默飞世尔科技公司,Scope 3,范围3,,,,,304,tCO2e,0.00030399999999999996,True,False,True,1,Scope 1,review_required,缺少有效的 MtCO2e 折算值；上下文像基准/目标/进度值，不是清单排放值,report_page_anchor,table_column_anchor,66,2023-THERMO FISHER SCIENTIFIC-CSR-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2023-THERMO FISHER SCIENTIFIC-CSR-Report.pdf,...2e/M USD revenue 8.0 6.0 5.3 Scope 1 and 2 GHG intensity MTCO2e/M USD revenue 16.3 13.3 13.1 Scope 3 GHG intensity MTCO2e/M USD revenue 341 291 264 Value chain GHG intensity MTCO2e/M USD revenue 358 304 277 Customer GHG allocation (scope 1 and 2 and upstream 3)31 MTCO2e/M USD rev,,,,,,,,,
28,,356,r356_thermofisherscientific,THERMO FISHER SCIENTIFIC,赛默飞世尔科技公司,Scope 3,范围3,Spend-based,支出法,,,304,tCO2e,0.00030399999999999996,True,False,True,1,Scope 1,review_required,缺少有效的 MtCO2e 折算值；上下文像基准/目标/进度值，不是清单排放值,report_page_scan,table_column_anchor,66,2023-THERMO FISHER SCIENTIFIC-CSR-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2023-THERMO FISHER SCIENTIFIC-CSR-Report.pdf,...2e/M USD revenue 8.0 6.0 5.3 Scope 1 and 2 GHG intensity MTCO2e/M USD revenue 16.3 13.3 13.1 Scope 3 GHG intensity MTCO2e/M USD revenue 341 291 264 Value chain GHG intensity MTCO2e/M USD revenue 358 304 277 Customer GHG allocation (scope 1 and 2 and upstream 3)31 MTCO2e/M USD rev,,,,,,,,,
29,,376,r376_abbottlaboratories,ABBOTT LABORATORIES,雅培公司,Scope 2,范围2,Location-Based,位置法,,,23,tCO2e,2.3e-05,True,False,True,1,Scope 3,review_required,缺少有效的 MtCO2e 折算值,report_page_scan,year_table_row_anchor,55,Abbott-2024-Global-Sustainability-Report-June-2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Abbott-2024-Global-Sustainability-Report-June-2025.pdf,"...CO2e Emissions Purchased Energy (Scope 2) Market-Based CO2e Emissions q, t Purchased Energy (Scope 2) Location-Based CO2e Emissionst 894 973 489 13 502 393 472 904 975 495 10 504 400 471 932 1,017 515 17 532 400 485 987 1,063 525 12 537 450 526 2024 -1%o 2023 2022 SCOPE 1 AND 2 C",,,,,,,,,
30,,387,r387_schneiderelectric,SCHNEIDER ELECTRIC,施耐德电气,Scope 3,范围3,,,,,8,MtCO2e,8.0,True,False,True,1,Scope 1,review_required,上下文像基准/目标/进度值，不是清单排放值,report_page_scan,table_column_anchor,39,2024-SCHNEIDER ELECTRIC-sustainability-report_tcm564-513141.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-SCHNEIDER ELECTRIC-sustainability-report_tcm564-513141.pdf,"...ating suppliers are required to quantify their operational carbon footprint (Scopes 1 and 2; Scope 3 is optional), make public commitments for their reduction targets, implement action to achieve reduction, and share the emissions reduction progress with Schneider Electric. The p",,,,,,,,,
31,,387,r387_schneiderelectric,SCHNEIDER ELECTRIC,施耐德电气,Scope 3,范围3,Supplier-specific and industry-average factors,供应商特定数据与行业平均因子,,,8,MtCO2e,8.0,True,False,True,1,Scope 1,review_required,上下文像基准/目标/进度值，不是清单排放值,report_page_scan,table_column_anchor,39,2024-SCHNEIDER ELECTRIC-sustainability-report_tcm564-513141.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-SCHNEIDER ELECTRIC-sustainability-report_tcm564-513141.pdf,"...ating suppliers are required to quantify their operational carbon footprint (Scopes 1 and 2; Scope 3 is optional), make public commitments for their reduction targets, implement action to achieve reduction, and share the emissions reduction progress with Schneider Electric. The p",,,,,,,,,
32,,413,r413_honeywellinternational,HONEYWELL INTERNATIONAL,霍尼韦尔国际公司,Scope 2,范围2,Location-Based,位置法,,,"9,097,005",tCO2e,9.097005,True,False,True,1,Scope 1,review_required,上下文像基准/目标/进度值，不是清单排放值,report_page_scan,table_column_anchor,61,HONEYWELL INTERNATIONAL-2025-impact-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\HONEYWELL INTERNATIONAL-2025-impact-report.pdf,"...2024 Greenhouse Gas (GHG) Emissions1 Scope 1 GHG emissions, metric tons CO2e 711,239 750,530 Scope 2 GHG emissions, location-based, metric tons CO2e 662,573 666,603 Total Scope 1 & 2 emissions, location-based 1,373,812 1,417,133 GHG intensity, Scope 1 & 2 location-based, metric t",,,,,,,,,
