company_id,company_name,world500_rank,industry_section_code,industry_section_name_zh,industry_section_name_en,source_type_primary_or_secondary,evidence_layer,reported_ratio,source_file,page,snippet,matched_keyword,calculation_method_context,is_explicit_reported_ratio,is_supplier_specific_data,is_spend_based,is_average_data,is_source_mix_inference,confidence,review_status
r386_inditex公司,Inditex,386,F,批发和零售业,Wholesale and Retail Trade,primary,explicit_reported_primary_data_percentage,67,INDITEX Sustainability report2024.pdf,262,"d data: 54% Scope 3: Primary data: 67%, Estimated data: 33% DEFRA (Department for Environment Food & Rural Affairs), 2024. Scope 1: Primary data: 46%, Estimated data: 54% Scope 3: Primary data: 67%, Estimated data: 33% DEFRA (Department for Environment Food & ... Scope 1: Primary data: 46%, Estimated data: 54% Scope 3: Primary data: 67%, Estimated data: 33% DEFRA (Department",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_08
r469_novonordisk,NOVO NORDISK,469,C,制造业,Manufacturing,primary,explicit_reported_primary_data_percentage,12,novo-nordisk-annual-report-2024.pdf,57,"Primary data In 2024, approximately 12% of scope 3 emissions were calculated using primary data. In 2024, approximately 12% of scope 3 emissions were calculated using primary data. In 2024, approximately 12% of scope 3 emissions were calculated using primary data.",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_10
r482_jerónimomartins公司,Jerónimo Martins,482,F,批发和零售业,Wholesale and Retail Trade,primary,explicit_reported_primary_data_percentage,12.3,Jerónimo Martins公司-nfr-corporate-responsibility-jeronimomartins-ar24.pdf,33,"Primary data In 2024, emissions calculated on the basis of primary data accounted for 12.3% of total scope 3 emissions. In 2024, emissions calculated on the basis of primary data accounted for 12.3% of total scope 3 emissions. In 2024, emissions calculated on the basis of primary data accounted for 12.3% of total scope 3 emissions.",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_10
r283_intesasanpaolo,INTESA SANPAOLO,283,J,金融业,Finance,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,2024_INTESA SANPAOLO-Climate_Report.pdf,102,Regarding Scope 2 Location Based emissions the raise is mainly due to an increase (13%) in the average emission factor of the national energy mix.,explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_07 | seed_batch_07 | seed_batch_07
r283_intesasanpaolo,INTESA SANPAOLO,283,J,金融业,Finance,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,2024_INTESA SANPAOLO-Climate_Report.pdf,114,RCIAL REAL ESTATE (CRE) ■ IRON & STEEL ■ OIL & GAS ■ POWER GENERATION ■ RESIDENTIAL REAL ESTATE (RRE) AGRICULTURE – PRIMARY FARMING Key perimeter and baselining design choices and considerations Value chain in scope Focus on primary farming,explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_07 | seed_batch_07 | seed_batch_07
r283_intesasanpaolo,INTESA SANPAOLO,283,J,金融业,Finance,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,2024_INTESA SANPAOLO-Climate_Report.pdf,114,RCIAL REAL ESTATE (CRE) ■ IRON & STEEL ■ OIL & GAS ■ POWER GENERATION ■ RESIDENTIAL REAL ESTATE (RRE) AGRICULTURE – PRIMARY FARMING Key perimeter and baselining design choices and considerations Value chain in scope Focus on primary farming,explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_07 | seed_batch_07 | seed_batch_07
r445_salesforce,SALESFORCE,445,C,制造业,Manufacturing,primary,supplier_specific_data,,salesforce-fy24-stakeholder-impact-report.pdf,101,"Supplier-specific revenue intensity emission factors, calculated by using the supplier's scope 1, 2 (LBM and MBM) and upstream scope 3 emissions, obtained from CDP data, and dividing it by total revenue;",supplier specific data,Method-row source-mix inference,false,true,false,false,false,,seed_batch_09 | seed_batch_09 | seed_batch_09
r445_salesforce,SALESFORCE,445,C,制造业,Manufacturing,primary,supplier_specific_data,,salesforce-fy24-stakeholder-impact-report.pdf,101,"Supplier-specific revenue intensity emission factors, calculated by using the supplier's scope 1, 2 (LBM and MBM) and upstream scope 3 emissions, obtained from CDP data, and dividing it by total revenue;",supplier specific data,Method-row source-mix inference,false,true,false,false,false,,seed_batch_09 | seed_batch_09 | seed_batch_09
r445_salesforce,SALESFORCE,445,C,制造业,Manufacturing,primary,supplier_specific_data,,salesforce-fy24-stakeholder-impact-report.pdf,101,"Supplier-specific revenue intensity emission factors, calculated by using the supplier's scope 1, 2 (LBM and MBM) and upstream scope 3 emissions, obtained from CDP data, and dividing it by total revenue;",supplier specific data,Method-row source-mix inference,false,true,false,false,false,,seed_batch_09 | seed_batch_09 | seed_batch_09
r487_heineken,HEINEKEN,487,C,制造业,Manufacturing,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,heineken_n_v_annual_report_2024_final_20feb2025.pdf,250,This is consistent with the perimeter applied for reporting Scope 1 and 2 GHG emissions. – HEINEKEN follows CDP guidance for determining energy consumption from energy sources. – Energy consumption is considered as derived from a renewable,explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_11 | seed_batch_11 | seed_batch_11
r487_heineken,HEINEKEN,487,C,制造业,Manufacturing,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,heineken_n_v_annual_report_2024_final_20feb2025.pdf,251,"s to GHG emissions from entities HEINEKEN operationally controls. – To calculate Scope 1 and 2 GHG emissions, the GHG Protocol Corporate Standard (version 2004) and Scope 2 Guidance (version 2015) methodology are applied. – Energy consumpti",explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_11 | seed_batch_11 | seed_batch_11
r487_heineken,HEINEKEN,487,C,制造业,Manufacturing,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,heineken_n_v_annual_report_2024_final_20feb2025.pdf,251,"s to GHG emissions from entities HEINEKEN operationally controls. – To calculate Scope 1 and 2 GHG emissions, the GHG Protocol Corporate Standard (version 2004) and Scope 2 Guidance (version 2015) methodology are applied. – Energy consumpti",explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_11 | seed_batch_11 | seed_batch_11
r481_arrowelectronics,ARROW ELECTRONICS,481,F,批发和零售业,Wholesale and Retail Trade,primary,supplier_specific_data,,2024-ARROW ELECTRONICS-Corporate-Stewardship-and-Impact-Report-1.pdf,36,ded a new fleet management tool to improve the accuracy of fleet fuel use and emissions reporting • Incorporated supplier-specific data into our Scope 3 Category 1 “purchased goods and services” inventory • Transitioned the majority of our,supplier specific data,Method-row source-mix inference,false,true,false,false,false,,seed_batch_10 | seed_batch_10 | seed_batch_10
r481_arrowelectronics,ARROW ELECTRONICS,481,F,批发和零售业,Wholesale and Retail Trade,primary,supplier_specific_data,,2024-ARROW ELECTRONICS-Corporate-Stewardship-and-Impact-Report-1.pdf,36,ded a new fleet management tool to improve the accuracy of fleet fuel use and emissions reporting • Incorporated supplier-specific data into our Scope 3 Category 1 “purchased goods and services” inventory • Transitioned the majority of our,supplier specific data,Method-row source-mix inference,false,true,false,false,false,,seed_batch_10 | seed_batch_10 | seed_batch_10
r481_arrowelectronics,ARROW ELECTRONICS,481,F,批发和零售业,Wholesale and Retail Trade,primary,supplier_specific_data,,2024-ARROW ELECTRONICS-Corporate-Stewardship-and-Impact-Report-1.pdf,36,ded a new fleet management tool to improve the accuracy of fleet fuel use and emissions reporting • Incorporated supplier-specific data into our Scope 3 Category 1 “purchased goods and services” inventory • Transitioned the majority of our,supplier specific data,Method-row source-mix inference,false,true,false,false,false,,seed_batch_10 | seed_batch_10 | seed_batch_10
r358_omvgroup,OMV GROUP,358,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,entire-omv-ar24.pdf,111,"The GHG targets in the annual bonus (i.e., reducing Scope 1 and 2 emissions) and the LTIP (i.e., reducing the carbon intensity of energy supply) are clearly linked and directly derived from the OMV GHG emissions reduction targets for 2030 a",explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_14 | seed_batch_14 | seed_batch_14
r358_omvgroup,OMV GROUP,358,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,entire-omv-ar24.pdf,209,us 2024 [MDR-T-80j] 0.2% methane intensity (2023: 0.3%) This voluntary target is monitored and reviewed annually. [E1-4.33] Additional performance parameters that contribute to managing OMV’s decarbonization include:  Reducing carbon inten,explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_14 | seed_batch_14 | seed_batch_14
r358_omvgroup,OMV GROUP,358,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,entire-omv-ar24.pdf,216,Scope 1 GHG emissions are calculated by multiplying activity data with emission factors.,explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_14 | seed_batch_14 | seed_batch_14
r036_fordmotor,FORD MOTOR,36,C,制造业,Manufacturing,primary,explicit_reported_primary_data_percentage,7,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,193,Primary data Primary data obtained from suppliers or value chain partners has been used to calculate 7% of significant scope 3 GHG emissions (E1-6 AR 46g). Primary data obtained from suppliers or value chain partners has been used to calculate 7% of significant scope 3 GHG emissions (E1-6 AR ... Primary data obtained from suppliers or value chain partners has been used to calculate 7% of significant scope 3 GHG emis…,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_02 | seed_batch_02 | seed_batch_02 | seed_batch_02
r036_fordmotor,FORD MOTOR,36,C,制造业,Manufacturing,primary,explicit_reported_primary_data_percentage,7,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,13,ted $76.8 million in charitable contributions ●$2.4 billion invested in communities globally since 1949 ●1.8 million employee volunteer hours since 2005 through the Ford Volunteer Corps PLANET ●356 million metric tons of greenhouse gases (G,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_02 | seed_batch_02 | seed_batch_02 | seed_batch_02
r036_fordmotor,FORD MOTOR,36,C,制造业,Manufacturing,primary,explicit_reported_primary_data_percentage,7,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,13,ted $76.8 million in charitable contributions ●$2.4 billion invested in communities globally since 1949 ●1.8 million employee volunteer hours since 2005 through the Ford Volunteer Corps PLANET ●356 million metric tons of greenhouse gases (G,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_02 | seed_batch_02 | seed_batch_02 | seed_batch_02
r036_fordmotor,FORD MOTOR,36,C,制造业,Manufacturing,primary,explicit_reported_primary_data_percentage,7,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,14,SUSTAINABILITY ASPIRATIONS TARGETS AND KEY PERFORMANCE INDICATORS PROGRESS UN SUSTAINABLE DEVELOPMENT GOALS Climate Change Achieve carbon neutrality no later than 2050 →Read More: In Achieving Carbon Neutrality on p.60 VEHICLES Reduce Scope,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_02 | seed_batch_02 | seed_batch_02 | seed_batch_02
r016_mckesson,MCKESSON,16,F,批发和零售业,Wholesale and Retail Trade,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,McKesson Impact Report 2024.pdf,62,n of FY24 Proxy See Risk Factors: General Risks section of FY24 Form 10-K Metrics & Target a) Disclose the metrics used by the organization to assess climate- related risks and opportunities in line with its strategy and risk management pr,explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_01 | seed_batch_01 | seed_batch_01
r016_mckesson,MCKESSON,16,F,批发和零售业,Wholesale and Retail Trade,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,McKesson Impact Report 2024.pdf,62,n of FY24 Proxy See Risk Factors: General Risks section of FY24 Form 10-K Metrics & Target a) Disclose the metrics used by the organization to assess climate- related risks and opportunities in line with its strategy and risk management pr,explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_01 | seed_batch_01 | seed_batch_01
r016_mckesson,MCKESSON,16,F,批发和零售业,Wholesale and Retail Trade,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,McKesson Impact Report 2024.pdf,62,n of FY24 Proxy See Risk Factors: General Risks section of FY24 Form 10-K Metrics & Target a) Disclose the metrics used by the organization to assess climate- related risks and opportunities in line with its strategy and risk management pr,explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_01 | seed_batch_01 | seed_batch_01
r247_repsol,REPSOL,247,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",primary,explicit_reported_primary_data_percentage,91.7,REPSOL consolidated-statement-non-financial-information-sustainability-information-2024.pdf,136,"data pr... Other considerations • The percentage of Scope 3 emissions calculated using primary data obtained from suppliers or other partners in the... Other considerations • The percentage of Scope 3 emissions calculated using primary data obtained from suppliers or other partners in the value chain is 91.7%, including data provided by flight travel agencies for category 6, category 15 em",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_06 | seed_batch_06 | seed_batch_06 | seed_batch_06
r247_repsol,REPSOL,247,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",primary,explicit_reported_primary_data_percentage,91.7,REPSOL consolidated-statement-non-financial-information-sustainability-information-2024.pdf,134,Methodology for calculating GHG emissions Scope 1 and 2 emissions are those derived from operations and processes at the Company's facilities.,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_06 | seed_batch_06 | seed_batch_06 | seed_batch_06
r247_repsol,REPSOL,247,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",primary,explicit_reported_primary_data_percentage,91.7,REPSOL consolidated-statement-non-financial-information-sustainability-information-2024.pdf,135,Category 6: Business travel This category is estimated based on 2023 data.,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_06 | seed_batch_06 | seed_batch_06 | seed_batch_06
r247_repsol,REPSOL,247,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",primary,explicit_reported_primary_data_percentage,91.7,REPSOL consolidated-statement-non-financial-information-sustainability-information-2024.pdf,135,Category 6: Business travel This category is estimated based on 2023 data.,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_06 | seed_batch_06 | seed_batch_06 | seed_batch_06
r469_novonordisk,NOVO NORDISK,469,C,制造业,Manufacturing,primary,explicit_reported_primary_data_percentage,12,novo-nordisk-annual-report-2024.pdf,57,"Primary data In 2024, approximately 12% of scope 3 emissions were calculated using primary data. In 2024, approximately 12% of scope 3 emissions were calculated using primary data. In 2024, approximately 12% of scope 3 emissions were calculated using primary data.",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_10 | seed_batch_10 | seed_batch_10 | seed_batch_10
r469_novonordisk,NOVO NORDISK,469,C,制造业,Manufacturing,primary,explicit_reported_primary_data_percentage,12,novo-nordisk-annual-report-2024.pdf,57,"In 2024, approximately 12% of scope 3 emissions were calculated using primary data.",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_10 | seed_batch_10 | seed_batch_10 | seed_batch_10
r469_novonordisk,NOVO NORDISK,469,C,制造业,Manufacturing,primary,explicit_reported_primary_data_percentage,12,novo-nordisk-annual-report-2024.pdf,57,"ssion factors and volume conversions. • Capital goods (category 2) updates include adjusting existing spend-based factors, using supplier-specific information when available, and developing new spend-based factors from bills of material. •",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_10 | seed_batch_10 | seed_batch_10 | seed_batch_10
r469_novonordisk,NOVO NORDISK,469,C,制造业,Manufacturing,primary,explicit_reported_primary_data_percentage,12,novo-nordisk-annual-report-2024.pdf,57,"ssion factors and volume conversions. • Capital goods (category 2) updates include adjusting existing spend-based factors, using supplier-specific information when available, and developing new spend-based factors from bills of material. •",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_10 | seed_batch_10 | seed_batch_10 | seed_batch_10
r374_lufthansagroup,LUFTHANSA GROUP,374,G,交通运输、仓储和邮政业,"Transport, Storage and Post",primary,explicit_reported_primary_data_percentage,89.47,LH-AR-2024-e.pdf,180,Primary data Investments The percentage of primary data used for all Scope 3 emissions is 89.47%. Investments The percentage of primary data used for all Scope 3 emissions is 89.47%. Investments The percentage of primary data used for all Scope 3 emissions is 89.47%.,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_12 | seed_batch_12 | seed_batch_12 | seed_batch_12
r374_lufthansagroup,LUFTHANSA GROUP,374,G,交通运输、仓储和邮政业,"Transport, Storage and Post",primary,explicit_reported_primary_data_percentage,89.47,LH-AR-2024-e.pdf,176,"Low uncertainty, as based on primary data High Carbon data ­validated by audit company Müller- BBM No further action needed E1-6 Gross Scopes 1, 2, 3 and Total GHG emissions 48b Percentage of Scope 1 GHG emissions covered by the EU ETS Base",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_12 | seed_batch_12 | seed_batch_12 | seed_batch_12
r374_lufthansagroup,LUFTHANSA GROUP,374,G,交通运输、仓储和邮政业,"Transport, Storage and Post",primary,explicit_reported_primary_data_percentage,89.47,LH-AR-2024-e.pdf,176,"ription of the assumptions and methodology Sources of measurement uncertainty, if applicable Resulting accuracy level External validation Planned measures for accuracy improvement, if applicable E1-6 Gross Scopes 1, 2, 3 and Total GHG emiss",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_12 | seed_batch_12 | seed_batch_12 | seed_batch_12
r374_lufthansagroup,LUFTHANSA GROUP,374,G,交通运输、仓储和邮政业,"Transport, Storage and Post",primary,explicit_reported_primary_data_percentage,89.47,LH-AR-2024-e.pdf,178,"For the other emissions data in this category (B, C and D), data is retrieved from third parties and estimation methods are used, which means there may be measurement uncertainty A) High, B to D) Medium Carbon data validated by audit compan",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_12 | seed_batch_12 | seed_batch_12 | seed_batch_12
r027_cardinalhealth,CARDINAL HEALTH,27,F,批发和零售业,Wholesale and Retail Trade,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,cardinal-health-fy24-ESG-report.pdf,105,"The following table contains details regarding boundaries, activity data, and emissions factors used for each Scope 3 category: Scope 3 Category Methodology Emissions Factors Purchased goods and services Emissions are calculated using a hyb",explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_01 | seed_batch_01 | seed_batch_01
r027_cardinalhealth,CARDINAL HEALTH,27,F,批发和零售业,Wholesale and Retail Trade,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,cardinal-health-fy24-ESG-report.pdf,105,"The following table contains details regarding boundaries, activity data, and emissions factors used for each Scope 3 category: Scope 3 Category Methodology Emissions Factors Purchased goods and services Emissions are calculated using a hyb",explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_01 | seed_batch_01 | seed_batch_01
r027_cardinalhealth,CARDINAL HEALTH,27,F,批发和零售业,Wholesale and Retail Trade,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,cardinal-health-fy24-ESG-report.pdf,105,"The following table contains details regarding boundaries, activity data, and emissions factors used for each Scope 3 category: Scope 3 Category Methodology Emissions Factors Purchased goods and services Emissions are calculated using a hyb",explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_01 | seed_batch_01 | seed_batch_01
r297_sanofi,SANOFI,297,C,制造业,Manufacturing,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,SANOFI-sustainability-statement-2024--ESG-Report-.pdf,133,Scope 2 indirect emissions resulting from energy purchased externally are taken into account as follows: • emissions linked to electricity generation: emission factors are taken from data published i.e by the International Energy Agency OEC,explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_07 | seed_batch_07 | seed_batch_07
r297_sanofi,SANOFI,297,C,制造业,Manufacturing,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,SANOFI-sustainability-statement-2024--ESG-Report-.pdf,133,Scope 2 indirect emissions resulting from energy purchased externally are taken into account as follows: • emissions linked to electricity generation: emission factors are taken from data published i.e by the International Energy Agency OEC,explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_07 | seed_batch_07 | seed_batch_07
r297_sanofi,SANOFI,297,C,制造业,Manufacturing,primary_secondary_mixed,explicit_primary_secondary_mention_without_ratio,,SANOFI-sustainability-statement-2024--ESG-Report-.pdf,134,"% modelled 0n primary data and assumed waste treatment, 50% modeled based on unused medicinal products study GHG calculation: 100% cross-industry emission factors 15.",explicit primary secondary mention without ratio,Method-row source-mix inference,false,false,false,false,false,,seed_batch_07 | seed_batch_07 | seed_batch_07
r082_allianz,ALLIANZ,82,J,金融业,Finance,primary,explicit_reported_primary_data_percentage,34,en-allianz-group-annual-report-2024.pdf,102,Primary data The percentage of Scope 3 emissions in our GHG inventory calculated using primary data is 34 % across our proprietary investments and own operations. The percentage of Scope 3 emissions in our GHG inventory calculated using primary data is 34 % across our proprietary investments and own... The percentage of Scope 3 emissions in our GHG inventory calculated using primary data is 34 % across our proprieta…,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_03 | seed_batch_03 | seed_batch_03 | seed_batch_03
r082_allianz,ALLIANZ,82,J,金融业,Finance,primary,explicit_reported_primary_data_percentage,34,en-allianz-group-annual-report-2024.pdf,102,The percentage of Scope 3 emissions in our GHG inventory calculated using primary data is 34 % across our proprietary investments and own operations.,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,,seed_batch_03 | seed_batch_03 | seed_batch_03 | seed_batch_03
