queue_id,company_id,report_id,inventory_year,scope_en,gas,disclosed_gwp_version_en,candidate_gwp_version_en,time_horizon_years,standard_basis_en,fossil_or_biogenic_ch4_basis,applies_to_factor_id,applies_to_emission_record_id,evidence_page,source_file,extraction_snippet,review_decision,reviewer_note,confidence_level
gwp_00011,r007_apple,,,Scope 3,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r007_apple_Scope 3__11,105,Apple_Environmental_Progress_Report_2025.pdf,Derived as comprehensive carbon footprint minus disclosed Scope 1 and Scope 2 values.,,,
gwp_00012,r007_apple,,,Scope 3,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r007_apple_Scope 3__12,106,Apple_Environmental_Progress_Report_2025.pdf,Auto-verified from page 106; value 35.73 MMtCO2e.,,,
gwp_00013,r008_unitedhealthgroup,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r008_unitedhealthgroup__4_13,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,"* Denotes 2024 metrics that have been externally assured for the year ended December 31, 2024. Please see our 2024 Assurance Statement. 1 Energy and emissions data is calculated and reported in accordance with the Greenhouse Gas Protocol...",,,
gwp_00014,r008_unitedhealthgroup,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r008_unitedhealthgroup_Scope 1__14,81,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,Mt CO2e; assured scope table.,,,
gwp_00015,r008_unitedhealthgroup,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r008_unitedhealthgroup_Scope 2__15,81,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,Mt CO2e; market-based Scope 2 used for the net-zero framing.,,,
gwp_00016,r008_unitedhealthgroup,,,Scope 3,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r008_unitedhealthgroup_Scope 3__16,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,Mt CO2e; full Scope 3 inventory.,,,
gwp_00017,r008_unitedhealthgroup,,,Scope 3,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r008_unitedhealthgroup_Scope 3__17,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,"Auto-extracted from page 82; value 13,811,453 TCO2e.",,,
gwp_00018,r011_volkswagen,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r011_volkswagen__1_18,66,2023_Volkswagen_Group_Sustainability_Report.pdf,"66 Decarbonization KPIs Unit 2023 2022 Notes and comments Europe EU27, United Kingdom, Norway and Iceland Gas drives (natural gas and LPG) number of vehicles ­produced/ percentage change 7,104/ -53.4 15,240/ -56.4 Hybrid drives number of...",,,
gwp_00019,r011_volkswagen,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r011_volkswagen_Scope 1__19,66,2023_Volkswagen_Group_Sustainability_Report.pdf,Mt CO2e; 2023 absolute emissions.,,,
gwp_00020,r011_volkswagen,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r011_volkswagen_Scope 2__20,66,2023_Volkswagen_Group_Sustainability_Report.pdf,Mt CO2e; 2023 absolute emissions.,,,
gwp_00021,r011_volkswagen,,,Scope 3,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r011_volkswagen_Scope 3__21,66,2023_Volkswagen_Group_Sustainability_Report.pdf,Mt CO2e; 2023 total Scope 3 inventory.,,,
gwp_00022,r013_shell,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r013_shell__1_22,375,shell-annual-report-2024.pdf,"The detailed energy consumption data available from assets not operated by Shell vary. When available, the data are used. When not available, the data for material assets are estimated based on energy consumption to greenhouse gas ratios...",,,
gwp_00023,r013_shell,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r013_shell__1_23,99,shell-annual-report-2024.pdf,"Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driven by lower sales of oil products. Emiss...",,,
gwp_00024,r013_shell,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r013_shell__3_24,103,shell-annual-report-2024.pdf,"Scope 3, Category 3: fuel and energy-related activities (not included in Scope 1 and 2) This category includes well-to-wire emissions from purchased third-party electricity sold by Shell, calculated using a market-based method. Emissions...",,,
gwp_00025,r013_shell,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r013_shell__9_25,99,shell-annual-report-2024.pdf,"Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driven by lower sales of oil products. Emiss...",,,
gwp_00026,r013_shell,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r013_shell__11_26,99,shell-annual-report-2024.pdf,"Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driven by lower sales of oil products. Emiss...",,,
gwp_00027,r013_shell,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r013_shell__11_27,375,shell-annual-report-2024.pdf,"The detailed energy consumption data available from assets not operated by Shell vary. When available, the data are used. When not available, the data for material assets are estimated based on energy consumption to greenhouse gas ratios...",,,
gwp_00028,r013_shell,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r013_shell__11_28,99,shell-annual-report-2024.pdf,"Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driven by lower sales of oil products. Emiss...",,,
gwp_00029,r013_shell,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r013_shell_Scope 1__29,109,shell-annual-report-2024.pdf,Page 109 reports GHG emissions in million tonnes of CO2e under the operational control boundary; 2024 Total global direct Scope 1 is 50 MtCO2e.,,,
gwp_00030,r013_shell,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r013_shell_Scope 2__30,109,shell-annual-report-2024.pdf,Page 109 reports location-based Total global energy indirect Scope 2 emissions under the operational control boundary at 8 MtCO2e for 2024.,,,
gwp_00031,r013_shell,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r013_shell_Scope 2__31,109,shell-annual-report-2024.pdf,Page 109 reports market-based Total global energy indirect Scope 2 emissions under the operational control boundary at 8 MtCO2e for 2024.,,,
gwp_00032,r013_shell,,,Scope 3,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r013_shell_Scope 3__32,99,shell-annual-report-2024.pdf,"See ""Basis of preparation - absolute Scope 1, 2 and 3 emissions"" on page 100-101. [D] In 2024, we revised Scope 3 Category 1 for 2023 (from 154 million tonnes CO2e to 130 million tonnes CO2e), for 2022 (from 144 million tonnes CO2e to 136 m",,,
gwp_00033,r016_mckesson,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r016_mckesson__1_33,64,McKesson Impact Report 2024.pdf,"McKesson’s GHG and energy-use data table GHG emissions in metric tons CO2e 1, 2, 4, 9, 10, 11 FY20 FY23 FY24 Direct (Scope 1) GHG emissions 88,219 79,293 79,848 Indirect (Scope 2) GHG emissions - Location-Based 190,289 140,582 153,783 In...",,,
gwp_00034,r016_mckesson,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r016_mckesson__2_34,64,McKesson Impact Report 2024.pdf,"McKesson’s GHG and energy-use data table GHG emissions in metric tons CO2e 1, 2, 4, 9, 10, 11 FY20 FY23 FY24 Direct (Scope 1) GHG emissions 88,219 79,293 79,848 Indirect (Scope 2) GHG emissions - Location-Based 190,289 140,582 153,783 In...",,,
gwp_00035,r016_mckesson,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r016_mckesson__3_35,64,McKesson Impact Report 2024.pdf,"McKesson’s GHG and energy-use data table GHG emissions in metric tons CO2e 1, 2, 4, 9, 10, 11 FY20 FY23 FY24 Direct (Scope 1) GHG emissions 88,219 79,293 79,848 Indirect (Scope 2) GHG emissions - Location-Based 190,289 140,582 153,783 In...",,,
gwp_00036,r016_mckesson,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r016_mckesson__4_36,64,McKesson Impact Report 2024.pdf,"McKesson’s GHG and energy-use data table GHG emissions in metric tons CO2e 1, 2, 4, 9, 10, 11 FY20 FY23 FY24 Direct (Scope 1) GHG emissions 88,219 79,293 79,848 Indirect (Scope 2) GHG emissions - Location-Based 190,289 140,582 153,783 In...",,,
gwp_00037,r016_mckesson,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r016_mckesson__5_37,64,McKesson Impact Report 2024.pdf,"McKesson’s GHG and energy-use data table GHG emissions in metric tons CO2e 1, 2, 4, 9, 10, 11 FY20 FY23 FY24 Direct (Scope 1) GHG emissions 88,219 79,293 79,848 Indirect (Scope 2) GHG emissions - Location-Based 190,289 140,582 153,783 In...",,,
gwp_00038,r016_mckesson,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r016_mckesson__6_38,64,McKesson Impact Report 2024.pdf,"McKesson’s GHG and energy-use data table GHG emissions in metric tons CO2e 1, 2, 4, 9, 10, 11 FY20 FY23 FY24 Direct (Scope 1) GHG emissions 88,219 79,293 79,848 Indirect (Scope 2) GHG emissions - Location-Based 190,289 140,582 153,783 In...",,,
gwp_00039,r016_mckesson,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r016_mckesson__7_39,64,McKesson Impact Report 2024.pdf,"McKesson’s GHG and energy-use data table GHG emissions in metric tons CO2e 1, 2, 4, 9, 10, 11 FY20 FY23 FY24 Direct (Scope 1) GHG emissions 88,219 79,293 79,848 Indirect (Scope 2) GHG emissions - Location-Based 190,289 140,582 153,783 In...",,,
gwp_00040,r016_mckesson,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r016_mckesson_Scope 1__40,64,McKesson Impact Report 2024.pdf,Auto-verified from page 64; value 2 tCO2e.,,,
gwp_00041,r016_mckesson,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r016_mckesson_Scope 2__41,69,McKesson Impact Report 2024.pdf,location-based Auto-verified from page 69; value 1 tCO2e.,,,
gwp_00042,r016_mckesson,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r016_mckesson_Scope 2__42,69,McKesson Impact Report 2024.pdf,tons CO2e] • Gross GHG emissions (Scope 1 + Scope 2 Market-based) [ metric tons CO2e] • Scope 3 GHG emissions [metric tons CO2e] Category 1 - Purchased goods and services Category 2 - Capital goods Category 3 - Fuel- and energy-related acti,,,
gwp_00043,r017_alphabet公司,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r017_alphabet公司__1_43,105,google-2025-environmental-report.pdf,"Environmental metrics data tables Greenhouse gas emissions Greenhouse gas emissions inventory Unit 2019 2020 2021 2022 2023 2024 Scope 1 tCO e 81,900 55,800 64,100 91,200 79,400 73,100 2 Scope 2 Scope 2 (location-based) tCO2e 5,116,900 5...",,,
gwp_00044,r017_alphabet公司,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r017_alphabet公司__2_44,105,google-2025-environmental-report.pdf,"Environmental metrics data tables Greenhouse gas emissions Greenhouse gas emissions inventory Unit 2019 2020 2021 2022 2023 2024 Scope 1 tCO e 81,900 55,800 64,100 91,200 79,400 73,100 2 Scope 2 Scope 2 (location-based) tCO2e 5,116,900 5...",,,
gwp_00045,r017_alphabet公司,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r017_alphabet公司__3_45,105,google-2025-environmental-report.pdf,"Environmental metrics data tables Greenhouse gas emissions Greenhouse gas emissions inventory Unit 2019 2020 2021 2022 2023 2024 Scope 1 tCO e 81,900 55,800 64,100 91,200 79,400 73,100 2 Scope 2 Scope 2 (location-based) tCO2e 5,116,900 5...",,,
gwp_00046,r017_alphabet公司,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r017_alphabet公司__4_46,105,google-2025-environmental-report.pdf,"Environmental metrics data tables Greenhouse gas emissions Greenhouse gas emissions inventory Unit 2019 2020 2021 2022 2023 2024 Scope 1 tCO e 81,900 55,800 64,100 91,200 79,400 73,100 2 Scope 2 Scope 2 (location-based) tCO2e 5,116,900 5...",,,
gwp_00047,r017_alphabet公司,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r017_alphabet公司__5_47,105,google-2025-environmental-report.pdf,"Environmental metrics data tables Greenhouse gas emissions Greenhouse gas emissions inventory Unit 2019 2020 2021 2022 2023 2024 Scope 1 tCO e 81,900 55,800 64,100 91,200 79,400 73,100 2 Scope 2 Scope 2 (location-based) tCO2e 5,116,900 5...",,,
gwp_00048,r017_alphabet公司,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r017_alphabet公司__6_48,105,google-2025-environmental-report.pdf,"Environmental metrics data tables Greenhouse gas emissions Greenhouse gas emissions inventory Unit 2019 2020 2021 2022 2023 2024 Scope 1 tCO e 81,900 55,800 64,100 91,200 79,400 73,100 2 Scope 2 Scope 2 (location-based) tCO2e 5,116,900 5...",,,
gwp_00049,r017_alphabet公司,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r017_alphabet公司__7_49,105,google-2025-environmental-report.pdf,"Environmental metrics data tables Greenhouse gas emissions Greenhouse gas emissions inventory Unit 2019 2020 2021 2022 2023 2024 Scope 1 tCO e 81,900 55,800 64,100 91,200 79,400 73,100 2 Scope 2 Scope 2 (location-based) tCO2e 5,116,900 5...",,,
gwp_00050,r017_alphabet公司,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r017_alphabet公司__11_50,105,google-2025-environmental-report.pdf,"Environmental metrics data tables Greenhouse gas emissions Greenhouse gas emissions inventory Unit 2019 2020 2021 2022 2023 2024 Scope 1 tCO e 81,900 55,800 64,100 91,200 79,400 73,100 2 Scope 2 Scope 2 (location-based) tCO2e 5,116,900 5...",,,
gwp_00051,r017_alphabet公司,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r017_alphabet公司_Scope 1__51,105,google-2025-environmental-report.pdf,"Manual PDF-page validation accepted this direct-use Scope value. Source file: google-2025-environmental-report.pdf. PDF page: 105. Reported value: 73,100 tCO2e.",,,
gwp_00052,r017_alphabet公司,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r017_alphabet公司_Scope 2__52,105,google-2025-environmental-report.pdf,"Manual PDF-page validation accepted this direct-use Scope value. Source file: google-2025-environmental-report.pdf. PDF page: 105. Reported value: 3,059,100 tCO2e. Scope 2 reporting method: Market-Based. Review note: Candidate method lab...",,,
gwp_00053,r017_alphabet公司,,,Scope 3,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r017_alphabet公司_Scope 3__53,105,google-2025-environmental-report.pdf,"Manual PDF-page validation accepted this direct-use Scope value. Source file: google-2025-environmental-report.pdf. PDF page: 105. Reported value: 12,053,000 tCO2e.",,,
gwp_00054,r019_trafiguragroup,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r019_trafiguragroup__1_54,26,2024_trafigura_sustainability_report.pdf,"...vestments 263,467 373,524 266,160 Areas where we have lower sphere of influence Category 1 Purchased goods and services 264,782,000 224,019,713 261,782,645 Areas where we have limited sphere of influence Category 10 Processing of sold produ",,,
gwp_00055,r019_trafiguragroup,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r019_trafiguragroup__3_55,26,2024_trafigura_sustainability_report.pdf,Scope 3 value chain GHG emissions Scope 3 emissions relate to the GHG emissions outside of our own operations and control. We report on Scope 3 value chain emissions associated with those categories that we considered most relevant and m...,,,
gwp_00056,r019_trafiguragroup,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r019_trafiguragroup__6_56,26,2024_trafigura_sustainability_report.pdf,"...tegory 4 Upstream transportation and distribution 5,738,026 5,003,273 5,609,381 Category 6 Business travel 38,754 31,336 11,526 Category 8 Upstream leased assets 9,109,065 8,127,671 7,086,167 Category 14 Franchises 82,511 89,698 80,645 Cate",,,
gwp_00057,r019_trafiguragroup,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r019_trafiguragroup__8_57,26,2024_trafigura_sustainability_report.pdf,"...n 5,738,026 5,003,273 5,609,381 Category 6 Business travel 38,754 31,336 11,526 Category 8 Upstream leased assets 9,109,065 8,127,671 7,086,167 Category 14 Franchises 82,511 89,698 80,645 Category 15 Investments 263,467 373,524 266,160 Area",,,
gwp_00058,r019_trafiguragroup,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r019_trafiguragroup__10_58,26,2024_trafigura_sustainability_report.pdf,"...782,000 224,019,713 261,782,645 Areas where we have limited sphere of influence Category 10 Processing of sold products 1,122,146 1,261,877 916,241 Category 11 Use of sold products 42,724,110 46,749,302 52,628,293 Carbon transparency across",,,
gwp_00059,r019_trafiguragroup,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r019_trafiguragroup__11_59,26,2024_trafigura_sustainability_report.pdf,"...f influence Category 10 Processing of sold products 1,122,146 1,261,877 916,241 Category 11 Use of sold products 42,724,110 46,749,302 52,628,293 Carbon transparency across commodity value chains Our efforts to measure and reduce the carbon",,,
gwp_00060,r019_trafiguragroup,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r019_trafiguragroup__14_60,26,2024_trafigura_sustainability_report.pdf,"...4 31,336 11,526 Category 8 Upstream leased assets 9,109,065 8,127,671 7,086,167 Category 14 Franchises 82,511 89,698 80,645 Category 15 Investments 263,467 373,524 266,160 Areas where we have lower sphere of influence Category 1 Purchased g",,,
gwp_00061,r019_trafiguragroup,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r019_trafiguragroup__15_61,26,2024_trafigura_sustainability_report.pdf,"...ssets 9,109,065 8,127,671 7,086,167 Category 14 Franchises 82,511 89,698 80,645 Category 15 Investments 263,467 373,524 266,160 Areas where we have lower sphere of influence Category 1 Purchased goods and services 264,782,000 224,019,713 26",,,
gwp_00062,r021_jpmorganchase,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r021_jpmorganchase_Scope 1__62,27,JPMORGAN CHASE-Climate-Report-2024.pdf,Auto-verified from page 27; value 115 MtCO2e.,,,
gwp_00063,r022_industrialandcommercialbankofchina,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r022_industrialandcommercialbankofchina_Scope 1__63,45,ICBC_2024_Sustainability_Report.pdf,Auto-verified from page 45; value 99.6 ktCO2e.,,,
gwp_00064,r022_industrialandcommercialbankofchina,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r022_industrialandcommercialbankofchina_Scope 2__64,45,ICBC_2024_Sustainability_Report.pdf,"Auto-verified from page 45; value 1,776 ktCO2e.",,,
gwp_00065,r023_totalenergies,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies__1_65,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,107 Sustainability & Climate 2025 Progress Report Indirect GHG emissions - Scope 3 - Category 11 Scope 3 - Category 111 Mt CO2e 410 400* 400* 389* 351 342 of which Europe: EU 27 + Norway + UK + Switzerland Mt CO2e 256 215* 220* 191* 212 ...,,,
gwp_00066,r023_totalenergies,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies__2_66,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,107 Sustainability & Climate 2025 Progress Report Indirect GHG emissions - Scope 3 - Category 11 Scope 3 - Category 111 Mt CO2e 410 400* 400* 389* 351 342 of which Europe: EU 27 + Norway + UK + Switzerland Mt CO2e 256 215* 220* 191* 212 ...,,,
gwp_00067,r023_totalenergies,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies__3_67,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,107 Sustainability & Climate 2025 Progress Report Indirect GHG emissions - Scope 3 - Category 11 Scope 3 - Category 111 Mt CO2e 410 400* 400* 389* 351 342 of which Europe: EU 27 + Norway + UK + Switzerland Mt CO2e 256 215* 220* 191* 212 ...,,,
gwp_00068,r023_totalenergies,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies__4_68,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,107 Sustainability & Climate 2025 Progress Report Indirect GHG emissions - Scope 3 - Category 11 Scope 3 - Category 111 Mt CO2e 410 400* 400* 389* 351 342 of which Europe: EU 27 + Norway + UK + Switzerland Mt CO2e 256 215* 220* 191* 212 ...,,,
gwp_00069,r023_totalenergies,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies__8_69,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,107 Sustainability & Climate 2025 Progress Report Indirect GHG emissions - Scope 3 - Category 11 Scope 3 - Category 111 Mt CO2e 410 400* 400* 389* 351 342 of which Europe: EU 27 + Norway + UK + Switzerland Mt CO2e 256 215* 220* 191* 212 ...,,,
gwp_00070,r023_totalenergies,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies__9_70,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,107 Sustainability & Climate 2025 Progress Report Indirect GHG emissions - Scope 3 - Category 11 Scope 3 - Category 111 Mt CO2e 410 400* 400* 389* 351 342 of which Europe: EU 27 + Norway + UK + Switzerland Mt CO2e 256 215* 220* 191* 212 ...,,,
gwp_00071,r023_totalenergies,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies__10_71,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,107 Sustainability & Climate 2025 Progress Report Indirect GHG emissions - Scope 3 - Category 11 Scope 3 - Category 111 Mt CO2e 410 400* 400* 389* 351 342 of which Europe: EU 27 + Norway + UK + Switzerland Mt CO2e 256 215* 220* 191* 212 ...,,,
gwp_00072,r023_totalenergies,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies__11_72,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,107 Sustainability & Climate 2025 Progress Report Indirect GHG emissions - Scope 3 - Category 11 Scope 3 - Category 111 Mt CO2e 410 400* 400* 389* 351 342 of which Europe: EU 27 + Norway + UK + Switzerland Mt CO2e 256 215* 220* 191* 212 ...,,,
gwp_00073,r023_totalenergies,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies__12_73,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,107 Sustainability & Climate 2025 Progress Report Indirect GHG emissions - Scope 3 - Category 11 Scope 3 - Category 111 Mt CO2e 410 400* 400* 389* 351 342 of which Europe: EU 27 + Norway + UK + Switzerland Mt CO2e 256 215* 220* 191* 212 ...,,,
gwp_00074,r023_totalenergies,,,,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies__15_74,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,107 Sustainability & Climate 2025 Progress Report Indirect GHG emissions - Scope 3 - Category 11 Scope 3 - Category 111 Mt CO2e 410 400* 400* 389* 351 342 of which Europe: EU 27 + Norway + UK + Switzerland Mt CO2e 256 215* 220* 191* 212 ...,,,
gwp_00075,r023_totalenergies,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies_Scope 1__75,106,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,Mt CO2e; 2024 ESRS perimeter.,,,
gwp_00076,r023_totalenergies,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r023_totalenergies_Scope 2__76,106,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,Mt CO2e; market-based and aligned to the 2024 ESRS perimeter.,,,
