review_priority,queue_priority,auto_promote_allowed,recommended_action_en,recommended_action_zh,technology_id,technology_name_en,company_id,company_name_en,company_name_zh,world500_rank,industry_section_code,industry_section_en,current_signal_status,validated_project_evidence_count,validated_project_names_en,validated_project_pages,validated_project_source_files,missing_to_project_gate,company_timeline_years,company_cost_signal_present,company_evidence_count,candidate_decision_bucket,candidate_decision_status,candidate_decision_rationale_en,candidate_decision_rationale_zh,evidence_boundary,sample_pages,sample_source_files,company_sample_snippet_en
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r367_canadianimperialbankofcommerce,CANADIAN IMPERIAL BANK OF COMMERCE,加拿大帝国商业银行,367,J,Finance,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2024,no,7,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,(1) 2024 purchased carbon removals relate to reforestation projects that adhere to the AB32 Compliance; Climate Action Reserve voluntary market standard. (2) All Scope 3 emissions are calculated and disclosed using the following reporting s
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r421_jardinematheson,JARDINE MATHESON,怡和集团,421,C,Manufacturing,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2024,no,12,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,"Jardines Sustainability Report 2024 34 AAL Over 80% of AAL’s scope 1 and 2 emissions were attributed to methane emissions from processing Palm Oil Mill Effluent (POME) at the palm oil mills, and the use of chemical fertilisers."
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r449_nationalaustraliabank,NATIONAL AUSTRALIA BANK,澳大利亚国民银行,449,J,Finance,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2024,no,4,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,"e 1, Scope 2 (market-based method) and selected Scope 3 (as determined by NAB) net GHG emissions for the year ended 30 June 2024 (after renewable energy) 76,837 2 Actual quantity of carbon offsets purchased and retired for the year ended 30"
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r480_ecopetrol,ECOPETROL,哥伦比亚国家石油公司,480,B,Mining,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2021 | 2022,no,23,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,"nt Programme (UNEP) for the quality and detail of its methane emissions management and reporting plan for both operated and non-operated assets. Completed third-party verification of the GHG inventory for Scopes 1 and 2 for 2021, 2022, and"
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,circular_recycling,"Circularity, recycling, and waste recovery",r098_eni,ENI,埃尼石油公司,98,D,"Electricity, Heat, Gas and Water Production and Supply",company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2020,no,4,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,31 | 32 | 34 | 31 | 32,FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf,2020 ENVIRONMENT Net Carbon Footprint Eni Scope 1+2 (mln ton CO2eq.) 23.6 Net Carbon Footprint upstream Scope 1+2 (mln ton Co2eq.) 6.8 Reuse of fresh water (%) 90 LOCAL COMMUNITIES Taxes paid (€ bln) 5.8 People reached with local developmen
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,circular_recycling,"Circularity, recycling, and waste recovery",r166_vinci,VINCI,万喜集团,166,E,Construction,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2030,no,4,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,31 | 32 | 34 | 31 | 32,FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf,Acting for the climate Optimising resources thanks to the circular economy Preserving natural environments • Reduce direct greenhouse gas emissions (Scopes 1 and 2) by 40% from 2018 levels by 2030 • Reduce indirect upstream and downstream e
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,circular_recycling,"Circularity, recycling, and waste recovery",r183_airbus,AIRBUS,空中客车公司,183,C,Manufacturing,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2024,no,11,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,31 | 32 | 34 | 31 | 32,FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf,"erationally controlled entities ✔ tons 89,387 82,402 * GRI: Global Reporting Initiative Circularity Unit 2024 Products covered by a LCA* All commercial aircraft Current proportion of previous generation aircraft in global commercial aircraf"
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,circular_recycling,"Circularity, recycling, and waste recovery",r196_hitachi,HITACHI,日立,196,C,Manufacturing,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2025,no,19,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,31 | 32 | 34 | 31 | 32,FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf,"S targets. We’re also taking pillar-specific action. For the Planet pillar, we’re taking concrete steps toward decarbonization, circular economy, and nature positive, in line with our Environmental Vision. In fiscal 2025, the Science Based"
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,circular_recycling,"Circularity, recycling, and waste recovery",r251_renault,RENAULT,雷诺,251,C,Manufacturing,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2024,no,12,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,31 | 32 | 34 | 31 | 32,FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf,s produced by the Group in 2024 LEAD THE RACE IN LOW-CARBON MATERIALS ADOPT A FRUGAL APPROACH AIM TO REDUCE WEIGHT MAXIMIZE THE USE OF RECYCLED MATERIALS EACH OF THE GROUP’S FOUR BRANDS HAS DEFINED AN ECO-DESIGN PROMISE IN RELATION WITH ITS
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,circular_recycling,"Circularity, recycling, and waste recovery",r283_intesasanpaolo,INTESA SANPAOLO,意大利联合圣保罗银行,283,J,Finance,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2023 | 2024,no,4,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,31 | 32 | 34 | 31 | 32,FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf,"for disposal Kg per FTE 3,349 3,781 38.3 33.8 2024 201 3,148 2023 256 3,524 Purchased Paper (t) Not recycled paper Recycled paper Kg per FTE 3,696 4,094 41.5 37.3 2024 1,433 2,262 2023 1,703 2,391 Energy consumption (GWh) MWh per FTE 2024 5"
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,circular_recycling,"Circularity, recycling, and waste recovery",r290_phoenixpharma,PHOENIX PHARMA,菲尼克斯医药公司,290,F,Wholesale and Retail Trade,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2024,no,3,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,31 | 32 | 34 | 31 | 32,FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf,"Introduction General information Social Governance Imprint 13 SUSTAINABILITY REPORT 2024/25 Environment Climate and energy Circular economy Carbon footprint In calculating our carbon footprint, we follow the Greenhouse Gas Protocol (GHG Pro"
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,circular_recycling,"Circularity, recycling, and waste recovery",r386_inditex公司,Inditex,Inditex,386,F,Wholesale and Retail Trade,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2020 | 2025,no,4,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,31 | 32 | 34 | 31 | 32,FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf,Estimated emissions Emissions t CO2 eq 2025 / 25% reduction in water consumption in our supply chain with respect to 2020 levels. / 100% lower-impact polyester and linen. / Circularity services such as Zara Pre-Owned in key markets. / Use o
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,circular_recycling,"Circularity, recycling, and waste recovery",r489_3m公司,3M,3M,489,C,Manufacturing,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2025,no,6,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,31 | 32 | 34 | 31 | 32,FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf | FY2025-Walmart-ESG-Report.pdf,3M | 2025 Global Impact Report 29 Circularity Climate Innovation Introduction Communities Governance Appendix Our workplace Task Force on Climate-Related Financial Disclosures (TCFD) recommendations Severe weather and long-term climate tren
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,electrified_transport,Electrified transport,r036_fordmotor,FORD MOTOR,福特汽车公司,36,C,Manufacturing,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2024 | 2025,no,3,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,5 | 5 | 5.0 | 13 | 13,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf | 2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf | 2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf | 2024-AT&T-sustainability-report.pdf | 2024-AT&T-sustainability-report.pdf,2024. This includes electric vehicles and plug-in hybrid electric vehicles. Ford Integrated Sustainability and Financial Report 2025 05 → 4 9% reduction in absolute global operations greenhouse gas (GHG) emissions2 since 2017. Science Based
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,electrified_transport,Electrified transport,r177_alimentationcouchetard公司,Alimentation Couche-Tard,Alimentation Couche-Tard,177,F,Wholesale and Retail Trade,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2025,no,8,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,5 | 5 | 5.0 | 13 | 13,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf | 2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf | 2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf | 2024-AT&T-sustainability-report.pdf | 2024-AT&T-sustainability-report.pdf,Sustainability Report © 2025 59 Category 3: Energy and Fuel Activities Our Category 3 data covers upstream emissions from the generation of purchased electricity that is sold to our EV charger customers.
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,electrified_transport,Electrified transport,r324_americaninternationalgroup,AMERICAN INTERNATIONAL GROUP,美国国际集团,324,J,Finance,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2024,no,8,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,5 | 5 | 5.0 | 13 | 13,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf | 2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf | 2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf | 2024-AT&T-sustainability-report.pdf | 2024-AT&T-sustainability-report.pdf,"to control heating, ventilation, air conditioning and other equipment • Transition to more fuel-efficient fleet models • Switch to hybrid and electric vehicles where feasible Procuring renewable energy • In 2024, 11% of our energy consumpti"
