decision_id,source_queue,decision_bucket,decision_status,company_id,company_name_en,world500_rank,series_id,series_name_en,review_priority,match_status,evidence_gate,pages,source_files,decision_reason_en,next_action_en
GHG-SERIES-ACCEPTED-0011,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r017_alphabet公司,Alphabet,17,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,80 | 98 | 112,google-2025-environmental-report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0012,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r017_alphabet公司,Alphabet,17,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,80 | 98 | 112,google-2025-environmental-report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0013,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r017_alphabet公司,Alphabet,17,ghg_scope3_calculation_guidance,GHG Protocol Scope 3 Calculation Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,80 | 98 | 112,google-2025-environmental-report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0014,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r017_alphabet公司,Alphabet,17,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,80 | 98 | 112,google-2025-environmental-report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0015,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r021_jpmorganchase,JPMORGAN CHASE,21,ghg_financial_industry_standard,Global GHG Accounting and Reporting Standard for the Financial Industry,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,25,JPMORGAN CHASE-Climate-Report-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0016,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r023_totalenergies,TOTALENERGIES,23,ghg_scope3_calculation_guidance,GHG Protocol Scope 3 Calculation Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,18 | 117,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0017,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r023_totalenergies,TOTALENERGIES,23,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,18 | 117,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0018,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r027_cardinalhealth,CARDINAL HEALTH,27,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,54 | 80 | 103 | 104,cardinal-health-fy24-ESG-report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0019,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r027_cardinalhealth,CARDINAL HEALTH,27,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,104 | 54,cardinal-health-fy24-ESG-report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0020,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r027_cardinalhealth,CARDINAL HEALTH,27,ghg_scope3_calculation_guidance,GHG Protocol Scope 3 Calculation Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,105 | 54,cardinal-health-fy24-ESG-report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0021,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r027_cardinalhealth,CARDINAL HEALTH,27,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,104 | 54 | 105 | 103,cardinal-health-fy24-ESG-report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0022,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r029_chevron,CHEVRON,29,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,28,chevron-sustainability-highlights-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0023,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r029_chevron,CHEVRON,29,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,28,chevron-sustainability-highlights-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0024,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r029_chevron,CHEVRON,29,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,28,chevron-sustainability-highlights-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0025,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r036_fordmotor,FORD MOTOR,36,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,44 | 195 | 239,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0026,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r038_bankofamerica,BANK OF AMERICA,38,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,82 | 20,BankOfAmerica_Sustainability_2024_Report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0027,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r038_bankofamerica,BANK OF AMERICA,38,ghg_financial_industry_standard,Global GHG Accounting and Reporting Standard for the Financial Industry,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,29 | 50 | 73 | 120 | 122,BankOfAmerica_Sustainability_2024_Report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0028,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r038_bankofamerica,BANK OF AMERICA,38,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,82 | 20,BankOfAmerica_Sustainability_2024_Report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0029,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r038_bankofamerica,BANK OF AMERICA,38,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,120 | 122 | 123 | 20,BankOfAmerica_Sustainability_2024_Report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0030,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r045_citigroup,CITIGROUP,45,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,26 | 64,global-sustainability-report-2024-CITIGROUP.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0031,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r045_citigroup,CITIGROUP,45,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,26 | 64,global-sustainability-report-2024-CITIGROUP.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0032,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r045_citigroup,CITIGROUP,45,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,19 | 27,global-sustainability-report-2024-CITIGROUP.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0033,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r048_homedepot,HOME DEPOT,48,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,45,2024_ESG_Report_The_Home_Depot.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0034,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r049_electricitédefrance,ELECTRICITÉ DE FRANCE,49,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,674 | 193,edf-urd-annual-financial-report-2024-en-accessible.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0035,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r050_marathonpetroleum,MARATHON PETROLEUM,50,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,56,2024_SustainabilityReport-MARATHON PETROLEUM.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0036,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r060_walgreensbootsalliance,WALGREENS BOOTS ALLIANCE,60,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,68,WALGREENS BOOTS ALLIANCE-Impact-Report-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0037,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r061_valeroenergy,VALERO ENERGY,61,ghg_project_protocol,GHG Protocol Project Protocol,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,14 | 21,VALERO ENERGY-2024 ESG Report 0823 FINAL pages.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0038,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r062_bancosantander,BANCO SANTANDER,62,ghg_financial_industry_standard,Global GHG Accounting and Reporting Standard for the Financial Industry,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,56 | 46,BANCO SANTANDER-estado-sostenibilidad-2024-es.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0039,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r065_mitsubishi,MITSUBISHI,65,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,69 | 65,MITSUBISHI-ESG-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0040,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r067_hsbcholdings,HSBC HOLDINGS,67,ghg_financial_industry_standard,Global GHG Accounting and Reporting Standard for the Financial Industry,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,50 | 52 | 55,HSBC HOLDINGS-250219-annual-report-and-accounts-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0041,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r073_hyundaimotor,HYUNDAI MOTOR,73,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,40 | 140,HYUNDAI MOTOR-hmc-2025-sustainability-report-en-v13.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0042,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r073_hyundaimotor,HYUNDAI MOTOR,73,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,40 | 141,HYUNDAI MOTOR-hmc-2025-sustainability-report-en-v13.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0043,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r073_hyundaimotor,HYUNDAI MOTOR,73,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,142 | 40,HYUNDAI MOTOR-hmc-2025-sustainability-report-en-v13.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0044,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r077_deutschetelekom,DEUTSCHE TELEKOM,77,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,25 | 116,DEUTSCHE TELEKOM-cr_en_2022_dt_final.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0045,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r082_allianz,ALLIANZ,82,ghg_financial_industry_standard,Global GHG Accounting and Reporting Standard for the Financial Industry,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,75 | 76 | 84 | 85,en-allianz-group-annual-report-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0046,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r090_target,TARGET,90,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,6,TARGET-2024-Sustainability-and-Governance-Report-Appendix.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0047,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r096_nestlé,NESTLÉ,96,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,21 | 109,NESTLÉ-non-financial-statement-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0048,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r096_nestlé,NESTLÉ,96,ghg_project_protocol,GHG Protocol Project Protocol,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,41,NESTLÉ-non-financial-statement-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0049,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r097_enel,ENEL,97,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,131 | 145,ENEL-integrated-annual-report_2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0050,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r098_eni,ENI,98,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,159 | 23,ENI-Annual-Report-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0051,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r098_eni,ENI,98,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,23 | 164 | 159,ENI-Annual-Report-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0052,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r101_eon,E.ON,101,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,41 | 43,E.ON-GB24-gesamt-EN_final.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0053,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r101_eon,E.ON,101,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,41 | 43,E.ON-GB24-gesamt-EN_final.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0054,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r105_boschgroup,BOSCH GROUP,105,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,8 | 17 | 29,bosch-sustainability-report-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
