review_batch,priority,company_id,company_name_en,company_name_zh,sector_focus,field_checked,field_type,report_expected_value,asset_value,unit,evidence_page_expected,evidence_page_asset,source_file,source_kind,acceptance_tier,status,issue_label,reviewer_note
oil_gas_focus_2026-05-05,P1,r013_shell,SHELL,壳牌公司,Oil and gas,Scope 3 Category 3 fuel- and energy-related activities,scope3,117,117 MtCO2,MtCO2e,99,99,shell-annual-report-2024.pdf,report_page_scan,C3 category value candidate inferred from nearby numeric context; review required,asset_match,,Main energy product sales Scope 3 category table.
oil_gas_focus_2026-05-05,P1,r013_shell,SHELL,壳牌公司,Oil and gas,Scope 3 Category 9 downstream transportation,scope3,3,3 MtCO2e,MtCO2e,99,99,shell-annual-report-2024.pdf,report_page_scan,C1 explicit category value with industry-comparable coverage; high-priority review,asset_match,,Main energy product sales Scope 3 category table.
oil_gas_focus_2026-05-05,P0,r023_totalenergies,TOTALENERGIES,道达尔能源公司,Oil and gas,Scope 1 ESRS perimeter,scope,43,43.0 MtCO2e,MtCO2e,106,106,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,Validated structured value; ESRS perimeter.
oil_gas_focus_2026-05-05,P0,r023_totalenergies,TOTALENERGIES,道达尔能源公司,Oil and gas,Scope 2 market-based ESRS perimeter,scope,2,2.0 MtCO2e,MtCO2e,106,106,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,Validated structured value; ESRS perimeter.
oil_gas_focus_2026-05-05,P0,r023_totalenergies,TOTALENERGIES,道达尔能源公司,Oil and gas,Scope 3 Category 11 use of sold products,scope3,342,342 MtCO2e,MtCO2e,107,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,report_page_scan,C1 explicit category value with industry-comparable coverage; high-priority review,asset_match,,Latest-year value in category table.
oil_gas_focus_2026-05-05,P1,r023_totalenergies,TOTALENERGIES,道达尔能源公司,Oil and gas,Scope 3 Category 1 purchased goods and services,scope3,28,28 MtCO2e,MtCO2e,107,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,report_page_scan,C1 explicit category value with industry-comparable coverage; high-priority review,asset_match,,Latest-year value in other Scope 3 categories table.
oil_gas_focus_2026-05-05,P1,r023_totalenergies,TOTALENERGIES,道达尔能源公司,Oil and gas,Scope 3 Category 15 investments,scope3,14,14 MtCO2e,MtCO2e,107,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,report_page_scan,C2 explicit category value candidate; review required,asset_match,,Latest-year value; avoid prior false positive where year was captured.
oil_gas_focus_2026-05-05,P0,r029_chevron,CHEVRON,雪佛龙,Oil and gas,Scope 1 equity emissions,scope,54,54.0 MtCO2e,MtCO2e,10,10,chevron-sustainability-highlights-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,Equity emissions table.
oil_gas_focus_2026-05-05,P0,r029_chevron,CHEVRON,雪佛龙,Oil and gas,Scope 2 market-based equity emissions,scope,4,4.0 MtCO2e,MtCO2e,12,12,chevron-sustainability-highlights-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,Equity emissions table.
oil_gas_focus_2026-05-05,P0,r029_chevron,CHEVRON,雪佛龙,Oil and gas,Scope 2 location-based equity emissions,scope,4,4.0 MtCO2e,MtCO2e,12,12,chevron-sustainability-highlights-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,Equity emissions table; location-based reporting started in 2023.
oil_gas_focus_2026-05-05,P1,r029_chevron,CHEVRON,雪佛龙,Oil and gas,Scope 3 Category 11 sales method equity emissions,scope3,717,717 MtCO2e,MtCO2e,13,13,chevron-sustainability-highlights-2024.pdf,report_page_anchor,C1 explicit category value with industry-comparable coverage; high-priority review,asset_match,,"Equity emissions table, sales method row."
oil_gas_focus_2026-05-05,P0,r029_chevron,CHEVRON,雪佛龙,Oil and gas,Scope 1 operated emissions,scope,53,53.0 MtCO2e,MtCO2e,14,14,chevron-sustainability-highlights-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,Operated emissions table.
oil_gas_focus_2026-05-05,P0,r029_chevron,CHEVRON,雪佛龙,Oil and gas,Scope 2 market-based operated emissions,scope,2,2.0 MtCO2e,MtCO2e,16,16,chevron-sustainability-highlights-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,Operated emissions table.
oil_gas_focus_2026-05-05,P0,r029_chevron,CHEVRON,雪佛龙,Oil and gas,Scope 2 location-based operated emissions,scope,2,2.0 MtCO2e,MtCO2e,16,16,chevron-sustainability-highlights-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,Operated emissions table.
oil_gas_focus_2026-05-05,P1,r029_chevron,CHEVRON,雪佛龙,Oil and gas,Scope 3 Category 11 production method operated emissions,scope3,616,616 MtCO2e,MtCO2e,17,17,chevron-sustainability-highlights-2024.pdf,report_page_scan,C1 explicit category value with industry-comparable coverage; high-priority review,asset_match,,"Operated emissions table, production method row."
oil_gas_focus_2026-05-05,P1,r029_chevron,CHEVRON,雪佛龙,Oil and gas,Scope 3 Category 11 throughput method operated emissions,scope3,324,324 MtCO2e,MtCO2e,17,17,chevron-sustainability-highlights-2024.pdf,report_page_scan,C1 explicit category value with industry-comparable coverage; high-priority review,asset_match,,"Operated emissions table, throughput method row."
oil_gas_focus_2026-05-05,P0,r012_exxonmobil,EXXON MOBIL,埃克森美孚,Oil and gas,Matched report numeric coverage,source_gap,,,,,,EXXON MOBIL-sustainability-report-2025.pdf,,,source_gap,missing_numeric_candidate,Matched Sustainability Report points readers to Advancing Climate Solutions / metrics pages; no stable Scope 1/2/3 numeric table is present in the matched report text.
