batch_id,validation_status,technology_id,company_id,company_name_en,world500_rank,project_name_en,measure_name_en,timeline_years,cost_or_investment_en,abatement_effect_en,evidence_page,source_file,snippet_en,decision_reason_en
TECH-COST-P0-0011,review_missing_or_unquantified_cost_evidence,renewable_power,r001_walmart,,,Building Onsite Energy Generation,"Investing in onsite solutions such as solar panels, wind turbines, and energy storage systems",2024 | 2030,Report states many onsite solutions include cost advantages; no quantified cost is disclosed in this snippet.,,29,FY2025-Walmart-ESG-Report.pdf,"Building Onsite Energy Generation: We are investing in onsite solutions such as solar panels, wind turbines, and energy storage systems to reduce dependency on external power sources. Many of these solutions include cost advantages as well. Between 2024 and the end of 2030, we aim to enable up to 10 gigawatts (GW) of new clean energy projects.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0012,review_missing_or_unquantified_cost_evidence,electrified_transport,r001_walmart,,,Class 8 Heavy-Duty and Yard Truck Innovations,Piloting electric semi-trucks and using electric yard trucks at some facilities,2024,,Report states electric yard trucks demonstrated over a 75% emissions reduction per hour of operation compared to diesel-powered vehicles.,31,FY2025-Walmart-ESG-Report.pdf,"Class 8 Heavy-Duty and Yard Truck Innovations: We support the development of new technologies like renewable diesel, battery-electric, and hydrogen fuels through feasibility testing and collaboration with manufacturers. For example, we are piloting electric semi-trucks in our fleet and currently use electric yard trucks at some facilities, which have demonstrated over a 75% emissions reduction, per hour of operation, compared to diesel-powered vehicles.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0013,review_missing_or_unquantified_cost_evidence,electrified_transport,r002_amazoncom,,,Electric delivery fleet expansion,Deploying electric delivery vans globally and chargers at delivery stations,2024 | 2025 | 2030,,Report describes the eActros 600 heavy goods vehicles joining Amazon's Europe network as zero-tailpipe-emission vehicles; no quantified CO2e avoided amount is disclosed in this snippet.,9,2024-amazon-sustainability-report.pdf,"Expanding our electric delivery fleet by delivering 1.5 billion packages to customers using more than 31,400 electric delivery vans and other EVs. To support our expanding EV network, we installed 11,770 chargers at 50 delivery stations, creating the largest private charging network in the U.S. In early 2025, we also announced our largest order of zero-tailpipe-emission heavy goods vehicles, with more than 200 new Mercedes-Benz Trucks eActros 600 vehicles set to join our transportation network in Europe.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0014,review_missing_or_unquantified_cost_evidence,low_carbon_fuels,r002_amazoncom,,,Scaling lower-carbon fuels,Procured blended sustainable aviation fuel,2024,,,9,2024-amazon-sustainability-report.pdf,"Scaling lower-carbon fuels. In 2024, Amazon procured 3.7 million gallons of blended sustainable aviation fuel (SAF).","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0015,review_missing_or_unquantified_cost_evidence,renewable_power,r002_amazoncom,,,Global renewable energy project portfolio,"Renewable energy projects globally, including new projects in 2024",2024,,,9,2024-amazon-sustainability-report.pdf,"621 Total renewable energy projects globally, including 124 new projects, representing 34 GW of capacity.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0016,review_missing_or_unquantified_cost_evidence,renewable_power,r007_apple,,,Supplier Clean Energy Program,Transitioning the energy used to manufacture Apple products to renewable energy,2015 | 2024 | 2030,,Report shows 21.8 million metric tons avoided from supplier clean energy in Apple's comprehensive carbon footprint graphic.,12,Apple_Environmental_Progress_Report_2025.pdf,"Apple's comprehensive carbon footprint shows avoided emissions including 21.8M avoided Supplier clean energy, alongside supplier energy efficiency, direct emissions abatement, low-carbon materials, and use of renewable electricity.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0017,review_missing_or_unquantified_cost_evidence,renewable_power,r023_totalenergies,,,Danish Fields and Cottonwood solar power plants,Commissioned solar power plants with co-located battery storage in southeast Texas,2024,,,24,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,"In 2024, TotalEnergies commissioned Danish Fields (720 MW) and Cottonwood (455 MW), two solar power plants with co-located battery storage in southeast Texas. These new projects are part of a portfolio of more than 8 GW of renewable assets in operation in the country.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0018,review_missing_or_unquantified_cost_evidence,energy_efficiency,r031_samsungelectronics,,,LNG use reduction and waste heat recovery,Reduce LNG boiler usage through expansion of waste heat recovery,2023 | 2024 | 2030 | 2050,,Report identifies reduced LNG boiler usage through waste heat recovery as part of Samsung Electronics' DS Division GHG Emission Reduction Roadmap to achieve net zero Scope 1 and 2 emissions.,20,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,"To reduce the use of LNG boilers, Samsung Electronics will expand the utilization of waste heat and consider introducing electric heat sources. The roadmap includes reducing LNG boiler usage through expansion of waste heat recovery and expanding the utilization of the waste heat recovery system.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0019,review_missing_or_unquantified_cost_evidence,renewable_power,r031_samsungelectronics,,,Korea DS Division solar PPA,PPA with SK E&S and Samsung C&T for renewable energy from a 60 MW solar power plant,2023 | 2024 | 2025,,,21,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,"The DS Division signed a PPA with SK E&S in Nov. 2023 and with Samsung C&T in Mar. 2024 to supply approximately 76.2 GWh of renewable energy annually from a 60 MW solar power plant for 20 years for a total of 1,466 GWh of renewable energy, starting in 2025. So far, Samsung has installed a total of 2.8 MW of solar power generation facilities and generated 2.8 GWh of energy in 2023 for on-site use.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0020,review_missing_or_unquantified_cost_evidence,renewable_power,r236_pfizer,,,Spain and United States solar VPPAs,VPPAs covering solar projects expected to generate RECs for North America and EU purchased electricity,2025,,,31,Pfizer_2024_Impact_Report_02JUN2025.pdf,"Pfizer invests in no- and low-carbon technologies at its sites and through VPPAs that enable sourcing of renewable energy. VPPAs covering solar projects in Spain and the United States, coming online in 2025, are expected to generate RECs to cover approximately 100% of Pfizer's purchased electricity needs in North America and the EU.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0021,review_missing_or_unquantified_cost_evidence,low_carbon_fuels,r237_deltaairlines,,,Cleaner Fuel SAF scale-up,"SAF deliveries, long-term offtake agreements, Minnesota SAF Hub collaboration, and MSP blending facility launch",2024 | 2025,,"Report states 13M+ gallons of SAF uplifted in 2024 and 119,781 metric tons CO2e avoided.",43,delta-difference-2024-report.pdf,"Cleaner Fuel: Delta signed millions of gallons in long-term offtake agreements with existing and emerging SAF producers. In 2024, Delta more than tripled SAF deliveries compared to 2023, for a total of over 13 million gallons. Delta also collaborated through the Minnesota SAF Hub to produce the first-ever batch of Minnesota crop-based SAF and announced the launching of a SAF blending facility to serve MSP airport. The page states 13M+ gallons of SAF uplifted in 2024 and 119,781 metric tons CO2e avoided.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0022,review_missing_or_unquantified_cost_evidence,renewable_power,r264_riotintogroup,,,Ngarluma Country 80 MW solar farm,Development of an 80 MW solar farm near Karratha to supply renewable energy to Pilbara operations,2024,,Report states the project has potential to reduce natural gas used for generation across Pilbara operations by up to 11% and could reduce emissions by up to 120 kt CO2e when complete.,27,2024-RIO TINTO GROUP-annual-report.pdf,"Together with the Ngarluma Aboriginal Corporation, Rio Tinto is progressing the development of an 80 MW solar farm on Ngarluma Country, near Karratha, to supply renewable energy to Pilbara operations. When complete, this project has the potential to reduce the amount of natural gas currently used for generation across Pilbara operations by up to 11%, and could reduce Rio Tinto's emissions by up to 120 kt CO2e.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0023,review_missing_or_unquantified_cost_evidence,renewable_power,r264_riotintogroup,,,"Monte Cristo, Overberg, and Khangela renewable electricity agreements",Executed wind VPPA and signed wind PPAs to abate Scope 2 emissions and support Richards Bay Minerals,2024 | 2025,,Monte Cristo VPPA is described as abating regional Scope 2 emissions; other abatement is tied to renewable electricity developments.,53,2024-RIO TINTO GROUP-annual-report.pdf,Other renewable electricity developments: commenced construction of solar PV at Gove (10 MW) and Amrun mine (12 MW); executed wind Virtual Power Purchase Agreement (VPPA) (78.5 MW) at Monte Cristo in the US to abate regional Scope 2 emissions; completed construction and commenced operating Diavik diamond mine solar plant (3 MW); commissioned a 5 MW solar plant and commenced construction of Kennecott solar Phase 2 (25 MW); signed a 230 MW wind PPA at Overberg for Richards Bay Minerals and a 140 MW wind PPA at Khangela.,"Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0024,review_missing_or_unquantified_cost_evidence,battery_storage,r264_riotintogroup,,,Yindjibarndi Energy Corporation renewable energy project,"Project in development including 75 MW solar and potential wind, solar, and battery energy storage systems collaboration",2024,,,27,2024-RIO TINTO GROUP-annual-report.pdf,"Rio Tinto is exploring a renewable energy project with the Yindjibarndi Energy Corporation. Currently in development by YEC, the project includes 75 MW of solar on a greenfield site west of Millstream Chichester National Park on Yindjibarndi Country. It is the first project the parties are exploring together since signing an MOU to collaborate on potential renewable energy opportunities, including wind and solar power and battery energy storage systems.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0025,review_missing_or_unquantified_cost_evidence,renewable_power,r052_phillips66公司,,,Rodeo Renewable Energy Complex solar facility,30.2-megawatt solar facility with NextEra Energy Resources subsidiary to power the Rodeo Complex,2025,Report states renewable power solutions reduce operating costs; no quantified cost is disclosed in this snippet.,"Facility is expected to avoid approximately 33,000 metric tons of carbon dioxide emissions a year and reduce the complex's grid power demand by 50%.",14,Phillips_66_Sustainability_and_People_Report_2025.pdf,"Increasing Renewable Power: Phillips 66 states that it teamed up with a subsidiary of NextEra Energy Resources LLC to power its Rodeo Complex with a 30.2-megawatt solar facility. The facility is designed to generate approximately 60,000 MWh/year of electricity, reduce the complex's grid power demand by 50%, and is expected to avoid approximately 33,000 metric tons of carbon dioxide emissions a year. The facility became fully operational in 2025.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0026,review_missing_or_unquantified_cost_evidence,low_carbon_fuels,r052_phillips66公司,,,Rodeo Renewable Energy Complex conversion,Conversion of the San Francisco Refinery in Rodeo into renewable fuels production,2024,,Report states the complex produces renewable fuels including renewable diesel and SAF with lower life-cycle GHG emissions than conventional fuels.,12,Phillips_66_Sustainability_and_People_Report_2025.pdf,"Expanding Renewable Fuels Production: Phillips 66 states that in 2024 it completed the conversion of its San Francisco Refinery in Rodeo, California, into the Rodeo Renewable Energy Complex. The Rodeo Complex achieved its full processing capacity of 50,000 barrels per day, or 800 million gallons per year, of renewable feedstocks and began producing sustainable aviation fuel.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0027,review_missing_or_unquantified_cost_evidence,renewable_power,r098_eni,,,Plenitude EDPR photovoltaic acquisition and BlueFloat Energy-Sener offshore wind partnership,Agreement to acquire 0.38 GW of photovoltaic capacity in the US and partnership for offshore wind farms in Spain,2024,,,18,eni-for-2024-just-transition.pdf,Main events: Plenitude signed an agreement with EDPR to acquire 0.38 GW of photovoltaic generation capacity in the US. Eni also reports entry into the BlueFloat Energy-Sener Renewable investments partnership for the development of offshore wind farms in Spain.,"Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0028,review_missing_or_unquantified_cost_evidence,renewable_power,r114_royalaholddelhaize,,,Ahold Delhaize virtual power purchase agreement for five solar power plants,Signed a virtual power purchase agreement supporting financing and construction of five solar power plants,2024,,Report states the VPPA corresponds to approximately 30% of total electricity usage in its European brands.,11,2024_ahold_delhaize_annual_report.pdf,Green power: Ahold Delhaize signed a virtual power purchase agreement to support the financing and construction of five solar power plants. The report states this corresponds to approximately 30% of the total electricity usage in its European brands.,"Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0029,review_missing_or_unquantified_cost_evidence,renewable_power,r117_adm公司,,,Brazil wind turbine project,Construction of a wind turbine project in Brazil as part of Scope 1 and 2 footprint reduction projects,2023,,Report states ADM delivered a 14.7% reduction in its Scope 1 and 2 footprint in 2023 from projects including transition from coal to natural gas and construction of a wind turbine project in Brazil.,3,final_archer-daniels-midland-adm_2023-corporate-sustainability-report.pdf,ADM states that in 2023 it delivered a 14.7% reduction in its Scope 1 and 2 footprint from projects like transitioning facilities from coal to natural gas and construction of a wind turbine project in Brazil.,"Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0030,review_missing_or_unquantified_cost_evidence,renewable_power,r480_ecopetrol,,,La Cira Infantas solar farm,56 MWp solar farm in Barrancabermeja for self-consumption,2024,Report states the initiative is part of a reduction of approximately USD 1.6 million in gas consumption.,"Expected to generate up to 76.3 GWh per year and reduce 18,000 tons of CO2 equivalent emissions at Barrancabermeja.",6,2024-ECOPETROL-integrated-management-report.pdf,"Ecopetrol states that in 2024 it inaugurated the La Cira Infantas solar farm in Barrancabermeja, with an installed capacity of 56 MWp for self-consumption, expected to generate up to 76.3 gigawatt-hours per year. The initiative is part of a reduction of approximately USD 1.6 million in gas consumption and 18,000 tons in CO2 equivalent emissions at Barrancabermeja.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0031,review_missing_or_unquantified_cost_evidence,renewable_power,r349_fomentoeconómicomexicano公司,,,Proximity Mexico solar panels at work centers,"Installed 20,250 solar panels at work centers and sourced renewable energy in Proximity Mexico operations",2024,,Report states around 65% of energy consumption in Proximity Mexico came from renewable sources; quantified emissions reduction is not disclosed in this snippet.,44,FEMSA_2024_Annual_Report.pdf,"FEMSA reports that in Proximity Mexico around 65% of energy consumption came from renewable sources and that 20,250 solar panels were installed at work centers. The same page also reports more than 400 electric vehicles in operations.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0032,review_missing_or_unquantified_cost_evidence,renewable_power,r379_日本kddi电信公司,,,Perovskite solar cells on pole-type base stations,"Deployment and social implementation of thin, lightweight perovskite solar cells wrapped around pole-type base stations",2024,,Report states the technology is intended to enable space-efficient power generation compared with traditional solar panels; quantified abatement is not disclosed in this snippet.,20,kddi_sir2024_e.pdf,"KDDI reports that it is focusing on deployment and social implementation of perovskite solar cells, characterized as thin, lightweight, and flexible. The report states these cells can be wrapped around poles installed on pole-type base stations, allowing space-efficient and effective power generation compared to traditional solar panels.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0033,review_missing_or_unquantified_cost_evidence,renewable_power,r400_gsk,,,RE100 renewable electricity procurement and onsite generation program,Purchased renewable electricity and onsite renewably generated electricity as part of Scope 2 renewable electricity target,2024 | 2025 | 2030,,Report states 90% imported renewable electricity in 2024 and energy table reports 852 GWh purchased renewable electricity plus 22 GWh onsite renewably generated electricity.,24,GSK-responsible-business-performance-report-2024.pdf,"GSK reports renewable electricity performance in 2024, including purchased renewable electricity of 852 GWh and onsite renewably generated electricity of 22 GWh. The report also states that GSK reached 90% imported renewable electricity in 2024 and has targets for 100% imported renewable electricity by 2025 and 100% renewable electricity, imported and generated, by 2030.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0034,review_missing_or_unquantified_cost_evidence,renewable_power,r478_siemensenergy,,,Renewable electricity for all Siemens Energy facilities,Using renewable electricity in all facilities around the globe as a lever for climate-neutral operations,2023 | 2030,,Report identifies renewable electricity in all facilities as one lever for reducing Siemens Energy's carbon footprint; quantified abatement is not disclosed in this snippet.,7,SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,"Siemens Energy states that its goal is to be climate neutral within operations by 2030. One lever is using renewable electricity in all facilities around the globe, a target the company says it reached in fiscal year 2023. The same passage also notes reducing energy consumption, increasing electrification in processes and buildings, and transforming the entire car fleet to 100% electric vehicles.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0035,review_missing_or_unquantified_cost_evidence,renewable_power,r487_heineken,,,Brazil and Vietnam biomass use and Spain concentrated solar thermal breweries,Using biomass at two large operating companies and concentrated solar thermal at two Spanish breweries,2024,,Report presents these as success cases for decarbonising operations; quantified abatement is not disclosed in this snippet.,4,heineken_n_v_annual_report_2024_final_20feb2025.pdf,"HEINEKEN reports success cases for decarbonising operations: two of its largest operating companies, Brazil and Vietnam, are using biomass, and two of its breweries in Spain are using concentrated solar thermal to harness the power of the sun.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0036,review_missing_or_unquantified_cost_evidence,electrified_transport,r478_siemensenergy,,,Siemens Energy 100% electric car fleet transformation,Transforming the entire car fleet to 100% electric vehicles as part of climate-neutral operations by 2030,2023 | 2030,,Report identifies fleet electrification as one lever for reducing Siemens Energy's operational carbon footprint; quantified abatement is not disclosed in this snippet.,7,SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,"Siemens Energy states that its goal is to be climate neutral within operations by 2030. One lever is using renewable electricity in all facilities around the globe, a target the company says it reached in fiscal year 2023. The same passage also notes reducing energy consumption, increasing electrification in processes and buildings, and transforming the entire car fleet to 100% electric vehicles.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0037,review_missing_or_unquantified_cost_evidence,energy_efficiency,r478_siemensenergy,,,Siemens Energy process and building electrification program,Increasing electrification in processes and buildings while reducing energy consumption,2023 | 2030,,Report identifies energy consumption reduction and electrification in processes and buildings as operational decarbonization levers; quantified abatement is not disclosed in this snippet.,7,SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,"Siemens Energy states that its goal is to be climate neutral within operations by 2030. One lever is using renewable electricity in all facilities around the globe, a target the company says it reached in fiscal year 2023. The same passage also notes reducing energy consumption, increasing electrification in processes and buildings, and transforming the entire car fleet to 100% electric vehicles.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0038,review_missing_or_unquantified_cost_evidence,renewable_power,r120_nippontelegraphandtelephone,,,Green Power Investment and NTT GX Inno,Bringing Green Power Investment Corporation into the Group and launching NTT GX Inno to leverage renewable energy infrastructure,2024,M&A option and acquisition disclosed; transaction amount is not disclosed in this snippet.,Report states the initiative strengthens solutions that contribute to customers' green transformations; quantified abatement is not disclosed in this snippet.,15,NIPPON TELEGRAPH AND TELEPHONE-integrated_report_24e_p.pdf,"NTT reports that outside the communications business, in the environment and energy field, it brought Green Power Investment Corporation into the Group and is expanding renewable energy sources. It also launched NTT GX Inno, a brand of solutions for green transformation, to leverage renewable energy infrastructure, technology and expertise to strengthen solutions that contribute to customers' green transformations.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
