trace_review_priority_rank,world500_rank,company_id,company_name_en,company_name_zh,source_trace_gap_type,source_trace_gap_type_zh,blocking_stage,required_action_zh,acceptance_criteria_zh,has_matched_report,report_match_status,matched_source_file,recommended_source_file,page_count,review_queue_issue_type,evidence_ledger_count_raw,traceable_evidence_row_count,accepted_traceable_evidence_count,formal_traceable_evidence_count,candidate_traceable_evidence_count,missing_source_file_row_count,missing_evidence_page_row_count,missing_snippet_row_count,source_attribution_mismatch_count,reviewer_confirm_parent_report,reviewer_confirm_page_text_available,reviewer_added_evidence_rows,reviewer_decision,reviewer_note_zh
11,83,r083_chinapostgroup,CHINA POST GROUP,中国邮政集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
12,87,r087_goldmansachsgroup,GOLDMAN SACHS GROUP,高盛集团,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched_manual,,,0,,0,0,0,0,0,0,0,0,0,,,,,
13,88,r088_freddiemac,FREDDIE MAC,房地美,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
14,92,r092_humana,HUMANA,哈门那公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
15,99,r099_petrobras,PETROBRAS,巴西国家石油公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
16,102,r102_gazprom,GAZPROM,俄罗斯天然气工业股份公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
146,104,r104_sociétégénérale,SOCIÉTÉ GÉNÉRALE,法国兴业银行,no_evidence_ledger,已匹配报告但未抽证据,P1_evidence_extraction,从已匹配母公司报告重新抽取标准、方法、数据来源、Scope 数值和原文片段，至少形成一条正式可追溯证据。,从已匹配母公司报告中至少抽取一条正式证据：source_file、page、原文片段、判定依据必须完整，并说明标准/方法/数据来源/排放值中的哪一类事实。,True,matched_auto_high,SOCIÉTÉ GÉNÉRALE-ag-2025-bilan-social-2024-fr.pdf,,33,evidence_gap,0,0,0,0,0,0,0,0,0,,,,,
17,106,r106_cofco,COFCO,中粮集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
18,109,r109_pemex,PEMEX,墨西哥石油公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
19,118,r118_créditagricole,CRÉDIT AGRICOLE,法国农业信贷银行,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
20,138,r138_zhejiangrongshengholdinggroup,ZHEJIANG RONGSHENG HOLDING GROUP,浙江荣盛控股集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
21,142,r142_xiamenitgholdinggroup,XIAMEN ITG HOLDING GROUP,厦门国贸控股集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
22,147,r147_aviationindustrycorpofchina,AVIATION INDUSTRY CORP. OF CHINA,中国航空工业集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
23,155,r155_energytransfer公司,Energy Transfer公司,Energy Transfer公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
24,160,r160_chinanorthindustriesgroup,CHINA NORTH INDUSTRIES GROUP,中国兵器工业集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
25,161,r161_pacificconstructiongroup,PACIFIC CONSTRUCTION GROUP,太平洋建设集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
26,167,r167_petronas,PETRONAS,马来西亚国家石油公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
27,170,r170_shaanxicoalandchemicalindustry,SHAANXI COAL & CHEMICAL INDUSTRY,陕西煤业化工集团有限责任公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
28,171,r171_shenghongholdinggroup,SHENGHONG HOLDING GROUP,盛虹控股集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
29,172,r172_basf,BASF,巴斯夫公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
30,173,r173_chinapolygroup,CHINA POLY GROUP,中国保利集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
31,175,r175_shandongweiqiaopioneeringgroup,SHANDONG WEIQIAO PIONEERING GROUP,山东魏桥创业集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
32,180,r180_oilandnaturalgas,OIL & NATURAL GAS,印度石油天然气公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
33,187,r187_xmxyg,XMXYG,厦门象屿集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
34,188,r188_rtx,RTX,雷神技术公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
35,194,r194_koc集团,KOC集团,KOC集团,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
36,210,r210_unilever,UNILEVER,联合利华,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
37,213,r213_jinnengholdinggroup,JINNENG HOLDING GROUP,晋能控股集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
38,216,r216_sberbank,SBERBANK,俄罗斯联邦储蓄银行,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
39,218,r218_progressive,PROGRESSIVE,前进保险公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
147,219,r219_internationalbusinessmachines,INTERNATIONAL BUSINESS MACHINES,国际商业机器公司,source_attribution_mismatch,证据来源归属不匹配,P1_evidence_extraction,核对 evidence_ledger 的 source_file 是否属于该公司母公司报告；跨公司来源必须删除或重新归属。,核对证据来源是否属于该公司母公司报告；跨公司来源必须删除、重新匹配或重新抽取。,False,unmatched,,,0,report_unmatched,4,4,0,0,0,0,0,0,4,,,,,
40,229,r229_merck,MERCK,默沙东,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
41,232,r232_industrialbank,INDUSTRIAL BANK,兴业银行股份有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
42,233,r233_poscoholdings,POSCO HOLDINGS,浦项制铁控股公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
43,238,r238_chinahuanenggroup,CHINA HUANENG GROUP,中国华能集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,AIA GROUP-Main-ESG-Report_CH.pdf,AIA GROUP-Main-ESG-Report_CH.pdf,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
44,239,r239_chinaenergyengineeringgroup,CHINA ENERGY ENGINEERING GROUP,中国能源建设集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
45,240,r240_dongfengmotor,DONGFENG MOTOR,东风汽车集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
46,242,r242_publixsupermarkets,PUBLIX SUPER MARKETS,大众超级市场公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
47,243,r243_zhejianghengyigroup,ZHEJIANG HENGYI GROUP,浙江恒逸集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,Geely-Holding-Group-Sustainability-Report-2024-ZH.pdf,Geely-Holding-Group-Sustainability-Report-2024-ZH.pdf,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
48,245,r245_assicurazionigenerali,ASSICURAZIONI GENERALI,意大利忠利保险公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,daimler-truck-ir-annual-report-2024-incl-combined-management-report-dth-ag.pdf,daimler-truck-ir-annual-report-2024-incl-combined-management-report-dth-ag.pdf,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
49,249,r249_hbisgroup,HBIS GROUP,河钢集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
50,253,r253_chinaelectronicstechnologygroup,CHINA ELECTRONICS TECHNOLOGY GROUP,中国电子科技集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
51,254,r254_nationwide,NATIONWIDE,美国全国保险公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
52,256,r256_statepowerinvestment,STATE POWER INVESTMENT,国家电力投资集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
53,265,r265_tsingshanholdinggroup,TSINGSHAN HOLDING GROUP,青山控股集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
54,267,r267_coscoshipping,COSCO SHIPPING,中国远洋海运集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
55,274,r274_deutschebahn,DEUTSCHE BAHN,德国联邦铁路公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,nachhaltigkeitskennzahlen_DB_2024.pdf,nachhaltigkeitskennzahlen_DB_2024.pdf,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
56,276,r276_tysonfoods,TYSON FOODS,泰森食品,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
57,277,r277_mideagroup,MIDEA GROUP,美的集团股份有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
58,279,r279_chinaunitednetworkcommunications,CHINA UNITED NETWORK COMMUNICATIONS,中国联合网络通信股份有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
59,280,r280_libertymutualinsurancegroup,LIBERTY MUTUAL INSURANCE GROUP,美国利宝互助保险集团,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
60,281,r281_bankofnovascotia,BANK OF NOVA SCOTIA,加拿大丰业银行,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
61,284,r284_saintgobain,SAINT-GOBAIN,圣戈班集团,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
62,285,r285_shaanxiyanchangpetroleumgroup,SHAANXI YANCHANG PETROLEUM (GROUP),陕西延长石油（集团）有限责任公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
