validation_status,missing_fields,evidence_boundary,technology_id,technology_name_en,company_id,company_name_en,company_name_zh,world500_rank,industry_section_code,industry_section_en,subtype_id,subtype_en,project_name_en,measure_name_en,implementation_stage,timeline_years,cost_or_investment_en,cost_or_investment_review_note_en,cost_evidence_status,abatement_effect_en,evidence_page,source_file,report_title_en,snippet_en
valid_project_evidence,,page_level_project_or_measure_evidence,electrified_transport,Electrified transport,r163_sysco,SYSCO,西斯科公司,163,F,Wholesale and Retail Trade,fleet_ev_and_charging_hub,Fleet EV deployment and charging hub,Sysco Riverside EV Hub and global fleet EV deployment,"Deploying an additional 110 EVs across global fleets and completing the Riverside, California EV Hub",deployed progress reported in FY2024 sustainability reporting,2024,,Report snippet does not disclose quantified EV or hub cost.,cost_not_disclosed_or_unquantified_review_note,Report snippet states the measure supported Scope 1 and 2 reductions; quantified CO2e abatement is not disclosed in this snippet.,9,Sysco FY24 Sustainability Report.pdf,Sysco FY24 Sustainability Report,"PROGRESS: Supported Scope 1 and 2 reductions by deploying an additional 110 EVs across our global fleets, completing our Riverside, California, EV Hub."
valid_project_evidence,,page_level_project_or_measure_evidence,electrified_transport,Electrified transport,r246_ciscosystems,CISCO SYSTEMS,思科公司,246,C,Manufacturing,building_and_fleet_electrification_bundle,Building and fleet electrification investment bundle,Cisco US$39 million decarbonization investment bundle,Investing in building and fleet electrification projects as part of a bundled Scope 1 and 2 reduction plan,planned investment from fiscal 2023 onward,2023,"Approximately US$39 million is disclosed for the combined renewable energy, energy efficiency, and building and fleet electrification project bundle; the snippet does not allocate cost by technology.",,accepted_project_cost_or_investment_evidence,Report snippet states the investment is intended to reduce Scope 1 and 2 emissions and support near-term target progress; quantified CO2e abatement is not disclosed in this snippet.,31,CISCO SYSTEMS purpose-report-2024.pdf,Cisco Purpose Report 2024,"To reduce Scope 1 and 2 emissions and make progress on our near-term target, we plan to invest approximately US$39 million in renewable energy, energy efficiency, and building and fleet electrification projects from fiscal 2023 onward."
valid_project_evidence,,page_level_project_or_measure_evidence,electrified_transport,Electrified transport,r329_astrazeneca,ASTRAZENECA,阿斯利康,329,C,Manufacturing,fleet_battery_electric_vehicles,Battery-electric company fleet,AstraZeneca global fleet battery-electric vehicle transition,Transitioning the global fleet to battery electric vehicles,2024 milestone reached,2024,,Report snippet does not disclose quantified fleet electrification cost.,cost_not_disclosed_or_unquantified_review_note,Report snippet states over 60% of the global fleet was battery electric vehicles; quantified CO2e abatement is not disclosed in this snippet.,116,AstraZeneca_AR_2024.pdf,AstraZeneca Annual Report 2024,"In 2024, we reached the significant milestone of over 60% of our global fleet being battery electric vehicles."
valid_project_evidence,,page_level_project_or_measure_evidence,electrified_transport,Electrified transport,r353_woolworthsgroup,WOOLWORTHS GROUP,伍尔沃斯集团,353,F,Wholesale and Retail Trade,fleet_electric_vehicles,Fleet electric vehicles,Woolworths fleet electric vehicles,Deploying 75 electric vehicles in the company fleet,fleet transition disclosed in 2025 sustainability reporting,2025,,Report snippet does not disclose quantified electric-vehicle cost.,cost_not_disclosed_or_unquantified_review_note,"Report snippet states direct emissions had been reduced by 22.9% from the F23 baseline, but does not isolate the contribution of electric vehicles.",4,2025_WOOLWORTHS GROUP_Sustainability_Report_Interactive_SPREADS.pdf,Woolworths Group Sustainability Report 2025,"We are committed to aligning with a 1.5°C future, having reduced our direct emissions by 22.9% from our F23 baseline, with a pathway to 100% renewable electricity by 2025 and 75 electric vehicles in our fleet."
valid_project_evidence,,page_level_project_or_measure_evidence,electrified_transport,Electrified transport,r478_siemensenergy,SIEMENS ENERGY,西门子能源,478,D,"Electricity, Heat, Gas and Water Production and Supply",fleet_ev,Owned fleet EV transition,Siemens Energy 100% electric car fleet transformation,Transforming the entire car fleet to 100% electric vehicles as part of climate-neutral operations by 2030,in progress toward 2030 climate-neutral operations target,2023 | 2030,,,missing_project_cost_or_investment_evidence,Report identifies fleet electrification as one lever for reducing Siemens Energy's operational carbon footprint; quantified abatement is not disclosed in this snippet.,7,SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,Siemens Energy Sustainability Report 2024,"Siemens Energy states that its goal is to be climate neutral within operations by 2030. One lever is using renewable electricity in all facilities around the globe, a target the company says it reached in fiscal year 2023. The same passage also notes reducing energy consumption, increasing electrification in processes and buildings, and transforming the entire car fleet to 100% electric vehicles."
valid_project_evidence,,page_level_project_or_measure_evidence,energy_efficiency,Advanced clean power and energy efficiency,r031_samsungelectronics,SAMSUNG ELECTRONICS,三星电子,31,C,Manufacturing,industrial_energy_efficiency,Industrial waste-heat recovery,LNG use reduction and waste heat recovery,Reduce LNG boiler usage through expansion of waste heat recovery,roadmap execution and expansion,2023 | 2024 | 2030 | 2050,,,missing_project_cost_or_investment_evidence,Report identifies reduced LNG boiler usage through waste heat recovery as part of Samsung Electronics' DS Division GHG Emission Reduction Roadmap to achieve net zero Scope 1 and 2 emissions.,20,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,Samsung Electronics Sustainability Report 2024,"To reduce the use of LNG boilers, Samsung Electronics will expand the utilization of waste heat and consider introducing electric heat sources. The roadmap includes reducing LNG boiler usage through expansion of waste heat recovery and expanding the utilization of the waste heat recovery system."
valid_project_evidence,,page_level_project_or_measure_evidence,energy_efficiency,Advanced clean power and energy efficiency,r048_homedepot,HOME DEPOT,家得宝,48,F,Wholesale and Retail Trade,energy_saving_products_energy_star,Energy-saving products and ENERGY STAR products,Customer GHG reduction through purchase and proper use of energy-saving products,Estimated customer emissions reduction from ENERGY STAR and other energy-saving products,estimated customer-use reduction reported for FY2023/FY2024 metrics,2023 | 2024,,,missing_project_cost_or_investment_evidence,"Estimated customer GHG emissions reduction from energy-saving products, including ENERGY STAR products; snippet states 2.5 million MT CO2e in 2023 for ENERGY STAR.",95,2024_ESG_Report_The_Home_Depot.pdf,The Home Depot 2024 ESG Report,"Estimated reduction of customers? GHG emissions through the purchase and proper use of energy-saving products (MT CO2e) (includes ENERGY STAR, 2.5 million MT in 2023)."
valid_project_evidence,,page_level_project_or_measure_evidence,energy_efficiency,Advanced clean power and energy efficiency,r098_eni,ENI,埃尼石油公司,98,D,"Electricity, Heat, Gas and Water Production and Supply",upstream_energy_saving_projects,Upstream energy-saving projects,"Energy saving projects, mainly upstream projects",Primary energy savings compared to baseline consumption,implemented and quantified in 2024 reporting,2024,,,missing_project_cost_or_investment_evidence,Energy-saving projects delivered over 308 ktoe/year primary energy savings and approximately 778 thousand tonnes CO2eq emission reduction.,166,ENI-Annual-Report-2024.pdf,Eni Annual Report 2024,"primary energy savings compared to baseline consumption of over 308 ktoe/year deriving mainly from upstream projects (over 82%), with a benefit in terms of emission reduction of approximately 778 thousand tonnes of CO2eq."
valid_project_evidence,,page_level_project_or_measure_evidence,energy_efficiency,Advanced clean power and energy efficiency,r246_ciscosystems,CISCO SYSTEMS,思科公司,246,C,Manufacturing,facility_energy_efficiency_investment_bundle,Facility energy-efficiency investment bundle,Cisco US$39 million decarbonization investment bundle,Investing in energy-efficiency projects as part of a bundled Scope 1 and 2 reduction plan,planned investment from fiscal 2023 onward,2023,"Approximately US$39 million is disclosed for the combined renewable energy, energy efficiency, and building and fleet electrification project bundle; the snippet does not allocate cost by technology.",,accepted_project_cost_or_investment_evidence,Report snippet states the investment is intended to reduce Scope 1 and 2 emissions and support near-term target progress; quantified CO2e abatement is not disclosed in this snippet.,31,CISCO SYSTEMS purpose-report-2024.pdf,Cisco Purpose Report 2024,"To reduce Scope 1 and 2 emissions and make progress on our near-term target, we plan to invest approximately US$39 million in renewable energy, energy efficiency, and building and fleet electrification projects from fiscal 2023 onward."
valid_project_evidence,,page_level_project_or_measure_evidence,energy_efficiency,Advanced clean power and energy efficiency,r261_intel,INTEL,英特尔公司,261,C,Manufacturing,green_bond_efficiency_projects,Green bond-funded efficiency and abatement projects,Intel Green Bond project allocation,"Allocating green bond proceeds to HVAC upgrades, heat recovery, greenhouse gas abatement systems and water reclaim facility upgrades",projects funded and reported in 2024 Green Bond Report,2022 | 2024,"Cumulative USD 639 million allocation, about 51% of a USD 1.25 billion green bond issued in 2022.",,accepted_project_cost_or_investment_evidence,"Project areas include energy efficiency, renewable electricity and greenhouse gas abatement systems; quantified CO2e abatement is not disclosed in this snippet.",6,INTEL CSR-2024-25-Full-Report.pdf,Intel Corporate Responsibility Report 2024-25,"Intel states that in its second Annual Green Bond Report, published in 2024, it outlined the allocation of a cumulative USD 639 million, approximately 51% of a USD 1.25 billion green bond issued in 2022. Eligible project areas include pollution prevention and control, water stewardship, energy efficiency, renewable electricity, circular economy and waste management, and green buildings. Recent projects included HVAC upgrades and heat recovery projects, purchases of greenhouse gas abatement systems, and upgrades of water reclaim facilities in Arizona and Oregon."
valid_project_evidence,,page_level_project_or_measure_evidence,energy_efficiency,Advanced clean power and energy efficiency,r261_intel,INTEL,英特尔公司,261,C,Manufacturing,green_bond_efficiency_and_abatement_projects,Green-bond funded efficiency and GHG abatement projects,Intel Green Bond eligible green projects,"Allocating green bond proceeds to HVAC upgrades, heat recovery projects, GHG abatement systems, renewable electricity, and green buildings",green bond allocation reported in 2024,2022 | 2024,"Report discloses cumulative allocation of USD 639 million, approximately 51% of a USD 1.25 billion green bond issued in 2022.",,accepted_project_cost_or_investment_evidence,"Report identifies energy efficiency, renewable electricity, green buildings, HVAC upgrades, heat recovery, and greenhouse gas abatement systems as eligible or recent projects; quantified project CO2e abatement is not disclosed in this snippet.",6,INTEL CSR-2024-25-Full-Report.pdf,Intel Corporate Responsibility Report 2024-25,"Intel reports USD 639 million for green projects in its second Annual Green Bond Report, published in 2024, representing approximately 51% of a USD 1.25 billion green bond issued in 2022. Eligible project areas include pollution prevention and control, water stewardship, energy efficiency, renewable electricity, circular economy and waste management, and green buildings. Recent projects included HVAC upgrades and heat recovery projects, purchases of greenhouse gas abatement systems, and upgrades of water reclaim facilities in Arizona and Oregon."
valid_project_evidence,,page_level_project_or_measure_evidence,energy_efficiency,Advanced clean power and energy efficiency,r426_qualcomm,QUALCOMM,高通,426,C,Manufacturing,global_facility_energy_efficiency_investments,Global facility energy-efficiency investments,Qualcomm global facilities energy-efficiency investments,Cumulative investments in energy efficiency for global facilities,cumulative investments disclosed in 2024 corporate responsibility reporting,2024,,Report snippet identifies cumulative investments but does not disclose quantified investment cost.,cost_not_disclosed_or_unquantified_review_note,Report snippet states annual avoided CO2e emissions from cumulative energy-efficiency investments for global facilities; the visible snippet does not include the numeric avoided-emissions value.,50,2024-qualcomm-corporate-responsibility-report.pdf,Qualcomm Corporate Responsibility Report 2024,Annual avoided emissions of CO2e due to cumulative investments made for energy efficiency for global facilities.
valid_project_evidence,,page_level_project_or_measure_evidence,energy_efficiency,Advanced clean power and energy efficiency,r478_siemensenergy,SIEMENS ENERGY,西门子能源,478,D,"Electricity, Heat, Gas and Water Production and Supply",industrial_electrification,Process and building electrification,Siemens Energy process and building electrification program,Increasing electrification in processes and buildings while reducing energy consumption,in progress toward 2030 climate-neutral operations target,2023 | 2030,,,missing_project_cost_or_investment_evidence,Report identifies energy consumption reduction and electrification in processes and buildings as operational decarbonization levers; quantified abatement is not disclosed in this snippet.,7,SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,Siemens Energy Sustainability Report 2024,"Siemens Energy states that its goal is to be climate neutral within operations by 2030. One lever is using renewable electricity in all facilities around the globe, a target the company says it reached in fiscal year 2023. The same passage also notes reducing energy consumption, increasing electrification in processes and buildings, and transforming the entire car fleet to 100% electric vehicles."
valid_project_evidence,,page_level_project_or_measure_evidence,hydrogen_methanol,"Hydrogen, methanol, and ammonia",r001_walmart,WALMART,沃尔玛,1,F,Wholesale and Retail Trade,fuel_cell,Hydrogen fuel cell vehicles and forklifts,Operationalizing New Technologies,"Piloting heavy-duty battery EVs and hydrogen fuel cell vehicles, including liquid hydrogen-operated forklifts",piloting and transition,2024,,,missing_project_cost_or_investment_evidence,,31,FY2025-Walmart-ESG-Report.pdf,Walmart ESG Report FY2025,"Operationalizing New Technologies: We are piloting innovative technologies, including heavy-duty battery EVs and hydrogen fuel cell vehicles, including transitioning to liquid hydrogen-operated forklifts and opening the first industrial-scale renewable hydrogen plant in Latin America which aims to power our hydrogen-powered forklifts in Chile."
valid_project_evidence,,page_level_project_or_measure_evidence,hydrogen_methanol,"Hydrogen, methanol, and ammonia",r208_sumitomomitsuifinancialgroup,SUMITOMO MITSUI FINANCIAL GROUP,日本三井住友金融集团,208,J,Finance,hydrogen_fund,Hydrogen fund equity investment,Japan Hydrogen Fund equity participation,Providing equity through the Japan Hydrogen Fund as part of transition finance case studies,equity participation disclosed,2025,,Equity participation disclosed; amount is not quantified in this snippet.,cost_not_disclosed_or_unquantified_review_note,Hydrogen abatement is not quantified in this snippet.,27,SUMITOMO MITSUI FINANCIAL GROUP sustainability_report_e_2025.pdf,Sumitomo Mitsui Financial Group Sustainability Report 2025,"The Transition Finance Playbook case study states that SMFG is also providing equity through the Japan Hydrogen Fund, alongside the CCS infrastructure finance and the green loan supporting a SAF production project."
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_fuels,Low-carbon fuels,r002_amazoncom,AMAZON.COM,亚马逊,2,F,Wholesale and Retail Trade,saf,Sustainable aviation fuel,Scaling lower-carbon fuels,Procured blended sustainable aviation fuel,procured,2024,,,missing_project_cost_or_investment_evidence,,9,2024-amazon-sustainability-report.pdf,Amazon Sustainability Report 2024,"Scaling lower-carbon fuels. In 2024, Amazon procured 3.7 million gallons of blended sustainable aviation fuel (SAF)."
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_fuels,Low-carbon fuels,r052_phillips66公司,Phillips 66,Phillips 66,52,D,"Electricity, Heat, Gas and Water Production and Supply",renewable_diesel,Renewable diesel and sustainable aviation fuel production,Rodeo Renewable Energy Complex conversion,Conversion of the San Francisco Refinery in Rodeo into renewable fuels production,completed conversion and full processing capacity achieved,2024,,,missing_project_cost_or_investment_evidence,Report states the complex produces renewable fuels including renewable diesel and SAF with lower life-cycle GHG emissions than conventional fuels.,12,Phillips_66_Sustainability_and_People_Report_2025.pdf,Phillips 66 Sustainability and People Report 2025,"Expanding Renewable Fuels Production: Phillips 66 states that in 2024 it completed the conversion of its San Francisco Refinery in Rodeo, California, into the Rodeo Renewable Energy Complex. The Rodeo Complex achieved its full processing capacity of 50,000 barrels per day, or 800 million gallons per year, of renewable feedstocks and began producing sustainable aviation fuel."
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_fuels,Low-carbon fuels,r107_itochu,ITOCHU,日本伊藤忠商事株式会社,107,L,Leasing and Business Services,saf_certificate,SAF certificate and SAF flight initiative,SAF Flight Initiative / Certificate of CO2 Reduction Effect by SAF,Purchased certificate of CO2 reduction effect by SAF through All Nippon Airways SAF Flight Initiative,certificate applied in FYE 2024,2024,,,missing_project_cost_or_investment_evidence,SAF certificate applied in FYE 2024 with a GHG reduction effect of 50 t-CO2e.,110,ITOCHU-ESG report 2024.pdf,ITOCHU ESG Report 2024,"In FYE 2024, the GHG reduction effect of 50 t-CO2e was included applying ?Certificate of CO2 Reduction Effect by SAF? which we purchased through ?SAF Flight Initiative? offered by All Nippon Airways Co., Ltd."
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_fuels,Low-carbon fuels,r208_sumitomomitsuifinancialgroup,SUMITOMO MITSUI FINANCIAL GROUP,日本三井住友金融集团,208,J,Finance,saf,Sustainable aviation fuel project finance,Green loan to Twelve SAF production project,"Providing a USD 20 million green loan to Twelve, a company that converts CO2 into chemical products, supporting a SAF production project",green loan provided,2025,USD 20 million green loan.,,accepted_project_cost_or_investment_evidence,Report snippet states SAF has a 90% reduction in CO2 emissions; boundary and baseline require project-level follow-up.,27,SUMITOMO MITSUI FINANCIAL GROUP sustainability_report_e_2025.pdf,Sumitomo Mitsui Financial Group Sustainability Report 2025,"The Transition Finance Playbook case study states that SMFG is providing a green loan of USD 20 million to Twelve, a company with technology that converts CO2 into chemical products, supporting a SAF production project. The same snippet states SAF has a 90% reduction in CO2 emissions."
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_fuels,Low-carbon fuels,r208_sumitomomitsuifinancialgroup,SUMITOMO MITSUI FINANCIAL GROUP,日本三井住友金融集团,208,J,Finance,saf_green_loan,Sustainable aviation fuel green loan,Green loan to Twelve for SAF production,"Providing a green loan to Twelve, a company converting CO2 into chemical products, to support a SAF production project",green loan disclosed as case-study finance,2025,Report discloses a green loan of USD 20 million to Twelve.,,accepted_project_cost_or_investment_evidence,Report states SAF has 90% CO2 emissions reduction in the case-study snippet.,27,SUMITOMO MITSUI FINANCIAL GROUP sustainability_report_e_2025.pdf,Sumitomo Mitsui Financial Group Sustainability Report 2025,"SMFG reports project finance for CCS infrastructure in the UK and a green loan for a new technology venture in the US. The page states SMFG provided a green loan of USD 20 million to Twelve, a company with technology that converts CO2 into chemical products, supporting a SAF production project. The same case-study snippet states SAF has 90% reduction in CO2 emissions."
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_fuels,Low-carbon fuels,r237_deltaairlines,DELTA AIR LINES,达美航空,237,G,"Transport, Storage and Post",saf,Sustainable aviation fuel procurement,Cleaner Fuel SAF scale-up,"SAF deliveries, long-term offtake agreements, Minnesota SAF Hub collaboration, and MSP blending facility launch","procured, delivered, and partnership scale-up",2024 | 2025,,,missing_project_cost_or_investment_evidence,"Report states 13M+ gallons of SAF uplifted in 2024 and 119,781 metric tons CO2e avoided.",43,delta-difference-2024-report.pdf,Delta Difference 2024 Report,"Cleaner Fuel: Delta signed millions of gallons in long-term offtake agreements with existing and emerging SAF producers. In 2024, Delta more than tripled SAF deliveries compared to 2023, for a total of over 13 million gallons. Delta also collaborated through the Minnesota SAF Hub to produce the first-ever batch of Minnesota crop-based SAF and announced the launching of a SAF blending facility to serve MSP airport. The page states 13M+ gallons of SAF uplifted in 2024 and 119,781 metric tons CO2e avoided."
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_fuels,Low-carbon fuels,r264_riotintogroup,RIO TINTO GROUP,力拓集团,264,B,Mining,sustainable_biofuel_supply_chains,Sustainable biofuel supply chains,Rio Tinto sustainable biofuel supply-chain investment lever,Investing in sustainable biofuel supply chains as part of own-operations decarbonization,strategic investment lever disclosed in 2024 annual reporting,2030 | 2050,,Report snippet uses investment wording but does not disclose quantified biofuel supply-chain cost.,cost_not_disclosed_or_unquantified_review_note,Report snippet presents the measure alongside own-operations targets of 50% reduction by 2030 and net zero by 2050; project-specific CO2e abatement is not disclosed in this snippet.,44,2024-RIO TINTO GROUP-annual-report.pdf,Rio Tinto Group Annual Report 2024,"Increase renewable power to >90%. Develop low-carbon technologies for minerals and metals processing, refining and smelting. Invest in sustainable biofuel supply chains."
