retrieval_priority_rank,world500_rank,company_id,company_name_en,company_name_zh,gap_class,recommended_action_en,recommended_action_zh,acceptance_criteria_zh,forbidden_match_patterns_zh,confirmed_source_file,confirmed_source_path,confirmed_report_year,reviewer_decision,reviewer_note
367,87,r087_goldmansachsgroup,GOLDMAN SACHS GROUP,高盛集团,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
368,88,r088_freddiemac,FREDDIE MAC,房地美,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
369,92,r092_humana,HUMANA,哈门那公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
370,99,r099_petrobras,PETROBRAS,巴西国家石油公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
371,102,r102_gazprom,GAZPROM,俄罗斯天然气工业股份公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
372,106,r106_cofco,COFCO,中粮集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
373,109,r109_pemex,PEMEX,墨西哥石油公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
374,118,r118_créditagricole,CRÉDIT AGRICOLE,法国农业信贷银行,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
375,138,r138_zhejiangrongshengholdinggroup,ZHEJIANG RONGSHENG HOLDING GROUP,浙江荣盛控股集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
376,142,r142_xiamenitgholdinggroup,XIAMEN ITG HOLDING GROUP,厦门国贸控股集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
377,147,r147_aviationindustrycorpofchina,AVIATION INDUSTRY CORP. OF CHINA,中国航空工业集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
378,155,r155_energytransfer公司,Energy Transfer公司,Energy Transfer公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
379,160,r160_chinanorthindustriesgroup,CHINA NORTH INDUSTRIES GROUP,中国兵器工业集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
380,161,r161_pacificconstructiongroup,PACIFIC CONSTRUCTION GROUP,太平洋建设集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
381,167,r167_petronas,PETRONAS,马来西亚国家石油公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
382,170,r170_shaanxicoalandchemicalindustry,SHAANXI COAL & CHEMICAL INDUSTRY,陕西煤业化工集团有限责任公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
383,171,r171_shenghongholdinggroup,SHENGHONG HOLDING GROUP,盛虹控股集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
384,172,r172_basf,BASF,巴斯夫公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
385,173,r173_chinapolygroup,CHINA POLY GROUP,中国保利集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
386,175,r175_shandongweiqiaopioneeringgroup,SHANDONG WEIQIAO PIONEERING GROUP,山东魏桥创业集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
387,180,r180_oilandnaturalgas,OIL & NATURAL GAS,印度石油天然气公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
388,187,r187_xmxyg,XMXYG,厦门象屿集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
389,188,r188_rtx,RTX,雷神技术公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
390,194,r194_koc集团,KOC集团,KOC集团,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
391,210,r210_unilever,UNILEVER,联合利华,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
392,213,r213_jinnengholdinggroup,JINNENG HOLDING GROUP,晋能控股集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
393,216,r216_sberbank,SBERBANK,俄罗斯联邦储蓄银行,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
394,218,r218_progressive,PROGRESSIVE,前进保险公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
355,219,r219_internationalbusinessmachines,INTERNATIONAL BUSINESS MACHINES,国际商业机器公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
395,229,r229_merck,MERCK,默沙东,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
396,232,r232_industrialbank,INDUSTRIAL BANK,兴业银行股份有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
397,233,r233_poscoholdings,POSCO HOLDINGS,浦项制铁控股公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
398,238,r238_chinahuanenggroup,CHINA HUANENG GROUP,中国华能集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
399,239,r239_chinaenergyengineeringgroup,CHINA ENERGY ENGINEERING GROUP,中国能源建设集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
400,240,r240_dongfengmotor,DONGFENG MOTOR,东风汽车集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
401,242,r242_publixsupermarkets,PUBLIX SUPER MARKETS,大众超级市场公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
402,243,r243_zhejianghengyigroup,ZHEJIANG HENGYI GROUP,浙江恒逸集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
403,245,r245_assicurazionigenerali,ASSICURAZIONI GENERALI,意大利忠利保险公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
404,249,r249_hbisgroup,HBIS GROUP,河钢集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
405,253,r253_chinaelectronicstechnologygroup,CHINA ELECTRONICS TECHNOLOGY GROUP,中国电子科技集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
406,254,r254_nationwide,NATIONWIDE,美国全国保险公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
407,256,r256_statepowerinvestment,STATE POWER INVESTMENT,国家电力投资集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
408,265,r265_tsingshanholdinggroup,TSINGSHAN HOLDING GROUP,青山控股集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
409,267,r267_coscoshipping,COSCO SHIPPING,中国远洋海运集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
410,274,r274_deutschebahn,DEUTSCHE BAHN,德国联邦铁路公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
411,276,r276_tysonfoods,TYSON FOODS,泰森食品,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
412,277,r277_mideagroup,MIDEA GROUP,美的集团股份有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
413,279,r279_chinaunitednetworkcommunications,CHINA UNITED NETWORK COMMUNICATIONS,中国联合网络通信股份有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
414,280,r280_libertymutualinsurancegroup,LIBERTY MUTUAL INSURANCE GROUP,美国利宝互助保险集团,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
