work_item_no,priority,requirement_id,issue_id,issue_status_key,requirement_status_key,can_claim_requirement_complete,queue_file,queue_rows,next_action_zh,blocking_risk_zh,acceptance_gate_en
11,P0,R2_TOTAL_EMISSIONS_RANKING_DESC,emissions_ranking,partial,partial,False,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv,41,按 Scope 1、Scope 2 方法/数值、Scope 3 缺口队列补齐完整强证据总量。,partial 总量若混入主排行，会导致企业总排放排序不可比。,"Only companies with complete strong Scope 1 + selected Scope 2 value/method + Scope 3 evidence, plus explicit finance Scope 3 boundary where applicable, can enter the comparable total-emissions ranking."
12,P0,R2_TOTAL_EMISSIONS_RANKING_DESC,emissions_ranking,partial,partial,False,assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv,45,按 Scope 1、Scope 2 方法/数值、Scope 3 缺口队列补齐完整强证据总量。,partial 总量若混入主排行，会导致企业总排放排序不可比。,"Only companies with complete strong Scope 1 + selected Scope 2 value/method + Scope 3 evidence, plus explicit finance Scope 3 boundary where applicable, can enter the comparable total-emissions ranking."
13,P0,R2_TOTAL_EMISSIONS_RANKING_DESC,emissions_ranking,partial,partial,False,assets/data/world500/workbench/world500_emissions_finance_scope3_boundary_review_queue.csv,0,按 Scope 1、Scope 2 方法/数值、Scope 3 缺口队列补齐完整强证据总量。,partial 总量若混入主排行，会导致企业总排放排序不可比。,"Only companies with complete strong Scope 1 + selected Scope 2 value/method + Scope 3 evidence, plus explicit finance Scope 3 boundary where applicable, can enter the comparable total-emissions ranking."
14,P0,R2_TOTAL_EMISSIONS_RANKING_DESC,emissions_ranking,partial,partial,False,assets/data/world500/workbench/world500_emissions_selected_evidence_element_review_queue.csv,9,按 Scope 1、Scope 2 方法/数值、Scope 3 缺口队列补齐完整强证据总量。,partial 总量若混入主排行，会导致企业总排放排序不可比。,"Only companies with complete strong Scope 1 + selected Scope 2 value/method + Scope 3 evidence, plus explicit finance Scope 3 boundary where applicable, can enter the comparable total-emissions ranking."
15,P0,R2_TOTAL_EMISSIONS_RANKING_DESC,emissions_ranking,partial,partial,False,assets/data/world500/workbench/world500_emissions_unit_scale_review_queue.csv,4,按 Scope 1、Scope 2 方法/数值、Scope 3 缺口队列补齐完整强证据总量。,partial 总量若混入主排行，会导致企业总排放排序不可比。,"Only companies with complete strong Scope 1 + selected Scope 2 value/method + Scope 3 evidence, plus explicit finance Scope 3 boundary where applicable, can enter the comparable total-emissions ranking."
16,Monitor,R3_STANDARD_ROLE_FULL_GRAPH_AND_SCOPE_LANGUAGE,standard_full_graph_runtime,implemented,implemented_with_review_queue,False,,0,后续每次改 reporting_views 或 full-graph 生成器后跑全量 HTML/PNG hash 校验。,当前是展示层风险；数据更新后未同步生成会重新漂移。,All full-screen graph pages must embed parseable JSON and must not contain fetch-based or image fallback rendering.
17,P2,R3_STANDARD_ROLE_FULL_GRAPH_AND_SCOPE_LANGUAGE,scope_language_policy,implemented_with_review_queue,implemented_with_review_queue,False,assets/data/world500/workbench/world500_non_ghg_scope_wording_review_queue.csv,74,确认非 GHG 标准源文中的 Scope 词只作为引用展示，不进入标准自身术语。,Scope 术语若进入非 GHG 标准口径，会造成标准体系概念错误。,Scope 1/2/3 wording must remain GHG Protocol context or source quotation only; non-GHG standard language must use direct/indirect emissions wording.
18,P1,R4_TECHNOLOGY_PATH_AXIS,technology_path_axis,partial,partial,False,assets/data/world500/workbench/world500_technology_company_evidence_backfill_queue.csv,61,把关键词信号升级到公司级项目证据，补时间节点和成本/投资证据边界。,关键词信号若被当成项目级技术应用或成本证据，会夸大减碳路径结论。,"Technology-company relationships need company-specific project, timeline, cost/investment, or abatement evidence before being treated as validated technology-path evidence."
19,P1,R4_TECHNOLOGY_PATH_AXIS,technology_path_axis,partial,partial,False,assets/data/world500/workbench/world500_technology_timeline_validation_queue.csv,150,把关键词信号升级到公司级项目证据，补时间节点和成本/投资证据边界。,关键词信号若被当成项目级技术应用或成本证据，会夸大减碳路径结论。,"Technology-company relationships need company-specific project, timeline, cost/investment, or abatement evidence before being treated as validated technology-path evidence."
20,P1,R4_TECHNOLOGY_PATH_AXIS,technology_path_axis,partial,partial,False,assets/data/world500/workbench/world500_technology_cost_validation_queue.csv,221,把关键词信号升级到公司级项目证据，补时间节点和成本/投资证据边界。,关键词信号若被当成项目级技术应用或成本证据，会夸大减碳路径结论。,"Technology-company relationships need company-specific project, timeline, cost/investment, or abatement evidence before being treated as validated technology-path evidence."
21,P1,R5_PRIMARY_SECONDARY_BUBBLE,primary_secondary_bubble,partial,partial,False,assets/data/world500/workbench/world500_primary_secondary_source_origin_backfill_queue.csv,145,把来源结构比例与真实计算权重区分开，优先补原文明示 primary data 百分比。,来源结构比例若被当成真实计算权重，会误导初级数据质量判断。,Primary-data ratios must distinguish explicit reported calculation weights from method-row source-mix inference.
22,P1,R5_PRIMARY_SECONDARY_BUBBLE,primary_secondary_bubble,partial,partial,False,assets/data/world500/workbench/world500_primary_secondary_unknown_share_review_queue.csv,143,把来源结构比例与真实计算权重区分开，优先补原文明示 primary data 百分比。,来源结构比例若被当成真实计算权重，会误导初级数据质量判断。,Primary-data ratios must distinguish explicit reported calculation weights from method-row source-mix inference.
23,P1,R5_PRIMARY_SECONDARY_BUBBLE,primary_secondary_bubble,partial,partial,False,assets/data/world500/workbench/world500_primary_secondary_calculation_weight_validation_queue.csv,161,把来源结构比例与真实计算权重区分开，优先补原文明示 primary data 百分比。,来源结构比例若被当成真实计算权重，会误导初级数据质量判断。,Primary-data ratios must distinguish explicit reported calculation weights from method-row source-mix inference.
24,Monitor,R6_STATIC_PNG_SYNC_SUPPORTING_GATE,static_png_sync,implemented,implemented,True,,0,后续 reporting_views.json 更新后重跑 sync_reporting_static_figures.py。,页面和汇报 PNG 若不同源，会造成 GitHub 页面与汇报材料不一致。,"After reporting_views.json changes, regenerate static PNGs and manifest so source hash and figure hashes match."
