ledger_id,record_type,decision_bucket,decision_status,evidence_gate,auto_promote_allowed,available_rank,complete_rank,company_id,company_name_en,company_name_zh,world500_rank,industry_section_code,total_mtco2e,scope1_mtco2e,scope2_mtco2e,scope2_method_en,scope3_mtco2e,scope3_boundary_class_en,scope3_boundary_basis_en,selected_evidence_missing_elements,inventory_years,missing_scopes,candidate_scope,candidate_value_mtco2e,candidate_inventory_year,candidate_scope2_method,candidate_evidence_page,candidate_source_file,candidate_repair_priority,p0_review_bucket,p0_all_basic_signals_present,p0_scale_risk_note,safe_use_en,safe_use_zh
EMISSIONS-RANKING-0011,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,11,,r114_royalaholddelhaize,ROYAL AHOLD DELHAIZE,皇家阿霍德德尔海兹集团,114,F,66.143,1.695,0.889,Market-Based,63.559,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
EMISSIONS-RANKING-0012,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,12,,r357_magnainternational,MAGNA INTERNATIONAL,麦格纳国际,357,C,60.181438,0.43626699999999996,1.0897299999999999,Unspecified,58.655440999999996,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,Scope 2 scope2_method,2021,Scope 2 method | Evidence Scope 2 scope2_method,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0013,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,13,,r013_shell,SHELL,壳牌公司,13,B,58,50,8,Market-Based,,,,,2024,Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0014,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,14,,r270_unitedairlinesholdings,UNITED AIRLINES HOLDINGS,联合航空控股公司,270,G,52.105234,38.520027,,,13.585206999999999,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2019,Scope 2,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0015,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,15,,r125_ptt,PTT,泰国国家石油有限公司,125,D,41.4502,40.5,0.95,Market-Based,0.0002,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024 | 2021,Inventory year alignment,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0016,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,16,,r278_americanairlinesgroup,AMERICAN AIRLINES GROUP,美国航空集团,278,G,39.782019,39.604835,0.17718399999999998,Market-Based,,,,,2024,Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0017,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,17,,r486_linde,LINDE,林德集团,486,C,37.413,16.47,20.942999999999998,Market-Based,,,,,2024,Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0018,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,18,,r007_apple,APPLE,苹果公司,7,C,35.79701,0.06371,0.0033,Market-Based,35.73,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
EMISSIONS-RANKING-0019,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,19,,r395_pbfenergy公司,PBF Energy,PBF Energy,395,D,30.46,10.46,20,Location-Based,,,,,2024 | 2013,Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0020,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,20,,r132_orlen,ORLEN,波兰国营石油公司,132,D,28.510855,28.510844,,,1.1e-05,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,Scope 2,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0021,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,21,,r443_crh公司,CRH,CRH,443,C,27.237619,27.237619,,,,,,,2024,Scope 2 | Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0022,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,22,,r369_jsainsbury,J. SAINSBURY,森宝利公司,369,F,25.652904,,,,25.652904,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,Scope 1 | Scope 2,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0023,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,23,,r061_valeroenergy,VALERO ENERGY,瓦莱罗能源公司,61,D,24.9,24.9,,,,,,,2023,Scope 2 | Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0024,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,24,,r191_generalelectric,GENERAL ELECTRIC,通用电气公司,191,C,23,,,,23,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,Scope 1 | Scope 2,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0025,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,25,,r392_coop集团,Coop,Coop,392,F,22.881958,0.203296,0.045606,Market-Based,22.633056,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
EMISSIONS-RANKING-0026,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,26,,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,J,18.349044,0.105782,0.265661,Market-Based,17.977601,financed_emissions_or_pcaf,"Scope 3 evidence text contains PCAF, financed/portfolio/insurance-associated emissions, loans and investments, or Category 15 wording.",,2024,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
EMISSIONS-RANKING-0027,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,27,,r049_electricitédefrance,ELECTRICITÉ DE FRANCE,法国电力公司,49,I,17.66,17,0.66,Unspecified,,,,Scope 2 scope2_method,2024,Scope 2 method | Scope 3 | Evidence Scope 2 scope2_method,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0028,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,28,,r024_glencore,GLENCORE,嘉能可,24,B,16.2,16.2,,,,,,,2024,Scope 2 | Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0029,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,29,,r352_bestbuy,BEST BUY,百思买,352,F,16.000444,0.185561,0.082445,Market-Based,15.732438,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2025,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
EMISSIONS-RANKING-0030,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,30,,r487_heineken,HEINEKEN,喜力公司,487,C,14.9,,0.1,Unspecified,14.8,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,Scope 2 scope2_method,2024,Scope 1 | Scope 2 method | Evidence Scope 2 scope2_method,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0031,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,31,,r398_compassgroup,COMPASS GROUP,康帕斯集团,398,H,11.965107,,,,11.965107,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,Scope 1 | Scope 2,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0032,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,32,,r079_uniper公司,Uniper,Uniper,79,D,9.5,9.5,,,,,,,2019,Scope 2 | Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0033,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,33,,r066_metaplatforms公司,Meta Platforms,Meta Platforms,66,F,7.494573,0.048951999999999996,,,7.445621,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2023,Scope 2,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0034,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,34,,r455_elililly,ELI LILLY,美国礼来公司,455,C,6.174,,,,6.1739999999999995,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,Scope 1 | Scope 2,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0035,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,35,,r320_orange公司,Orange,Orange,320,I,5.361,,,,5.361,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2023,Scope 1 | Scope 2,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0036,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,36,,r297_sanofi,SANOFI,赛诺菲,297,C,4.196976,0.298485,0.075864,Market-Based,3.822627,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
EMISSIONS-RANKING-0037,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,37,,r421_jardinematheson,JARDINE MATHESON,怡和集团,421,C,4.1195,0.11950000000000001,4,Market-Based,,,,,2024,Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0038,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,38,,r431_elo集团,ELO,ELO,431,F,4.044,2.0220000000000002,2.0220000000000002,Market-Based,,,,,2022,Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0039,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,39,,r101_eon,E.ON,意昂集团,101,D,3.66,,3.66,Location-Based,,,,,2024,Scope 1 | Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0040,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,40,,r345_raízen公司,Raízen,Raízen,345,D,3.179507,3.17950682,,,,,,,2024,Scope 2 | Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0041,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,41,,r017_alphabet公司,Alphabet,Alphabet,17,I,3.1322,0.0731,3.0591,Market-Based,,,,,2024,Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0042,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,42,,r165_pertamina,PERTAMINA,印尼国家石油公司,165,D,2.90836,2.021,0.88736,Unspecified,,,,Scope 2 scope2_method,2021 | 2023,Scope 2 method | Scope 3 | Evidence Scope 2 scope2_method,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
