source,target,relation,relation_zh,evidence_page
report:microsoft__2025__environmental_sustainability_report,standard:tcfd,uses_standard,采用标准,88
report:totalenergies__2025__sustainability_and_climate_progress_report,standard:ghg_protocol,uses_standard,采用标准,117
report:totalenergies__2025__sustainability_and_climate_progress_report,standard:gri,uses_standard,采用标准,4
report:totalenergies__2025__sustainability_and_climate_progress_report,standard:esrs_csrd,uses_standard,采用标准,4
report:totalenergies__2025__sustainability_and_climate_progress_report,standard:ipieca,uses_standard,采用标准,117
report:unitedhealth__2024__sustainability_report,standard:ghg_protocol,uses_standard,采用标准,80
report:unitedhealth__2024__sustainability_report,standard:sbti,uses_standard,采用标准,33
report:unitedhealth__2024__sustainability_report,standard:pcaf,uses_standard,采用标准,35
report:volkswagen__2023__sustainability_report,standard:ghg_protocol,uses_standard,采用标准,62
report:volkswagen__2023__sustainability_report,standard:sbti,uses_standard,采用标准,61
report:volkswagen__2023__sustainability_report,standard:iso_14040_14044,uses_standard,采用标准,61
report:volkswagen__2023__sustainability_report,standard:gri,uses_standard,采用标准,3
report:walmart__2025__esg_report,standard:ghg_protocol,uses_standard,采用标准,7
report:walmart__2025__esg_report,standard:iso_14064_3,uses_standard,采用标准,7
report:walmart__2025__esg_report,standard:ifrs_s2,uses_standard,采用标准,107
report:walmart__2025__esg_report,standard:gri,uses_standard,采用标准,106
report:walmart__2025__esg_report,standard:sasb,uses_standard,采用标准,106
report:byd__2024__sustainability_report,standard:hkex_esg_reporting_code,uses_standard,采用标准,153
report:byd__2024__sustainability_report,standard:isae_3000_revised,uses_standard,采用标准,153
report:byd__2024__sustainability_report,standard:isae_3410,uses_standard,采用标准,153
report:amazon__2024__sustainability_report,emission:amazon__2024__sustainability_report:amazon:scope_1,discloses_emission,披露排放,
company:amazon,emission:amazon__2024__sustainability_report:amazon:scope_1,reports_emission,报告排放,
emission:amazon__2024__sustainability_report:amazon:scope_1,scope:scope_1,for_scope,对应排放范围,
report:amazon__2024__sustainability_report,emission:amazon__2024__sustainability_report:amazon:scope_2,discloses_emission,披露排放,
company:amazon,emission:amazon__2024__sustainability_report:amazon:scope_2,reports_emission,报告排放,
emission:amazon__2024__sustainability_report:amazon:scope_2,scope:scope_2,for_scope,对应排放范围,
report:amazon__2024__sustainability_report,emission:amazon__2024__sustainability_report:amazon:scope_3,discloses_emission,披露排放,
company:amazon,emission:amazon__2024__sustainability_report:amazon:scope_3,reports_emission,报告排放,
emission:amazon__2024__sustainability_report:amazon:scope_3,scope:scope_3,for_scope,对应排放范围,
report:apple__2025__environmental_progress_report,emission:apple__2025__environmental_progress_report:apple:scope_1,discloses_emission,披露排放,
company:apple,emission:apple__2025__environmental_progress_report:apple:scope_1,reports_emission,报告排放,
emission:apple__2025__environmental_progress_report:apple:scope_1,scope:scope_1,for_scope,对应排放范围,
report:apple__2025__environmental_progress_report,emission:apple__2025__environmental_progress_report:apple:scope_2,discloses_emission,披露排放,
company:apple,emission:apple__2025__environmental_progress_report:apple:scope_2,reports_emission,报告排放,
emission:apple__2025__environmental_progress_report:apple:scope_2,scope:scope_2,for_scope,对应排放范围,
report:apple__2025__environmental_progress_report,emission:apple__2025__environmental_progress_report:apple:scope_3,discloses_emission,披露排放,
company:apple,emission:apple__2025__environmental_progress_report:apple:scope_3,reports_emission,报告排放,
emission:apple__2025__environmental_progress_report:apple:scope_3,scope:scope_3,for_scope,对应排放范围,
report:byd__2024__sustainability_report,emission:byd__2024__sustainability_report:byd:scope_1,discloses_emission,披露排放,
company:byd,emission:byd__2024__sustainability_report:byd:scope_1,reports_emission,报告排放,
emission:byd__2024__sustainability_report:byd:scope_1,scope:scope_1,for_scope,对应排放范围,
report:byd__2024__sustainability_report,emission:byd__2024__sustainability_report:byd:scope_2,discloses_emission,披露排放,
company:byd,emission:byd__2024__sustainability_report:byd:scope_2,reports_emission,报告排放,
emission:byd__2024__sustainability_report:byd:scope_2,scope:scope_2,for_scope,对应排放范围,
report:byd__2024__sustainability_report,emission:byd__2024__sustainability_report:byd:scope_3,discloses_emission,披露排放,
company:byd,emission:byd__2024__sustainability_report:byd:scope_3,reports_emission,报告排放,
emission:byd__2024__sustainability_report:byd:scope_3,scope:scope_3,for_scope,对应排放范围,
company:geely,entity:geely_auto,has_business_unit,包含业务单元,
report:geely__2024__sustainability_report,emission:geely__2024__sustainability_report:geely_auto:scope_1,discloses_emission,披露排放,
entity:geely_auto,emission:geely__2024__sustainability_report:geely_auto:scope_1,reports_emission,报告排放,
emission:geely__2024__sustainability_report:geely_auto:scope_1,scope:scope_1,for_scope,对应排放范围,
company:geely,entity:geely_auto,has_business_unit,包含业务单元,
report:geely__2024__sustainability_report,emission:geely__2024__sustainability_report:geely_auto:scope_2,discloses_emission,披露排放,
entity:geely_auto,emission:geely__2024__sustainability_report:geely_auto:scope_2,reports_emission,报告排放,
emission:geely__2024__sustainability_report:geely_auto:scope_2,scope:scope_2,for_scope,对应排放范围,
company:geely,entity:geely_auto,has_business_unit,包含业务单元,
report:geely__2024__sustainability_report,emission:geely__2024__sustainability_report:geely_auto:scope_3,discloses_emission,披露排放,
entity:geely_auto,emission:geely__2024__sustainability_report:geely_auto:scope_3,reports_emission,报告排放,
emission:geely__2024__sustainability_report:geely_auto:scope_3,scope:scope_3,for_scope,对应排放范围,
report:microsoft__2025__environmental_sustainability_report,emission:microsoft__2025__environmental_sustainability_report:microsoft:scope_1,discloses_emission,披露排放,
company:microsoft,emission:microsoft__2025__environmental_sustainability_report:microsoft:scope_1,reports_emission,报告排放,
emission:microsoft__2025__environmental_sustainability_report:microsoft:scope_1,scope:scope_1,for_scope,对应排放范围,
report:microsoft__2025__environmental_sustainability_report,emission:microsoft__2025__environmental_sustainability_report:microsoft:scope_2,discloses_emission,披露排放,
company:microsoft,emission:microsoft__2025__environmental_sustainability_report:microsoft:scope_2,reports_emission,报告排放,
emission:microsoft__2025__environmental_sustainability_report:microsoft:scope_2,scope:scope_2,for_scope,对应排放范围,
report:microsoft__2025__environmental_sustainability_report,emission:microsoft__2025__environmental_sustainability_report:microsoft:scope_3,discloses_emission,披露排放,
company:microsoft,emission:microsoft__2025__environmental_sustainability_report:microsoft:scope_3,reports_emission,报告排放,
emission:microsoft__2025__environmental_sustainability_report:microsoft:scope_3,scope:scope_3,for_scope,对应排放范围,
report:totalenergies__2025__sustainability_and_climate_progress_report,emission:totalenergies__2025__sustainability_and_climate_progress_report:totalenergies:scope_1,discloses_emission,披露排放,
company:totalenergies,emission:totalenergies__2025__sustainability_and_climate_progress_report:totalenergies:scope_1,reports_emission,报告排放,
emission:totalenergies__2025__sustainability_and_climate_progress_report:totalenergies:scope_1,scope:scope_1,for_scope,对应排放范围,
report:totalenergies__2025__sustainability_and_climate_progress_report,emission:totalenergies__2025__sustainability_and_climate_progress_report:totalenergies:scope_2,discloses_emission,披露排放,
company:totalenergies,emission:totalenergies__2025__sustainability_and_climate_progress_report:totalenergies:scope_2,reports_emission,报告排放,
emission:totalenergies__2025__sustainability_and_climate_progress_report:totalenergies:scope_2,scope:scope_2,for_scope,对应排放范围,
report:totalenergies__2025__sustainability_and_climate_progress_report,emission:totalenergies__2025__sustainability_and_climate_progress_report:totalenergies:scope_3,discloses_emission,披露排放,
company:totalenergies,emission:totalenergies__2025__sustainability_and_climate_progress_report:totalenergies:scope_3,reports_emission,报告排放,
emission:totalenergies__2025__sustainability_and_climate_progress_report:totalenergies:scope_3,scope:scope_3,for_scope,对应排放范围,
report:unitedhealth__2024__sustainability_report,emission:unitedhealth__2024__sustainability_report:unitedhealth:scope_1,discloses_emission,披露排放,
company:unitedhealth,emission:unitedhealth__2024__sustainability_report:unitedhealth:scope_1,reports_emission,报告排放,
emission:unitedhealth__2024__sustainability_report:unitedhealth:scope_1,scope:scope_1,for_scope,对应排放范围,
report:unitedhealth__2024__sustainability_report,emission:unitedhealth__2024__sustainability_report:unitedhealth:scope_2,discloses_emission,披露排放,
company:unitedhealth,emission:unitedhealth__2024__sustainability_report:unitedhealth:scope_2,reports_emission,报告排放,
emission:unitedhealth__2024__sustainability_report:unitedhealth:scope_2,scope:scope_2,for_scope,对应排放范围,
report:unitedhealth__2024__sustainability_report,emission:unitedhealth__2024__sustainability_report:unitedhealth:scope_3,discloses_emission,披露排放,
company:unitedhealth,emission:unitedhealth__2024__sustainability_report:unitedhealth:scope_3,reports_emission,报告排放,
emission:unitedhealth__2024__sustainability_report:unitedhealth:scope_3,scope:scope_3,for_scope,对应排放范围,
report:volkswagen__2023__sustainability_report,emission:volkswagen__2023__sustainability_report:volkswagen:scope_1,discloses_emission,披露排放,
company:volkswagen,emission:volkswagen__2023__sustainability_report:volkswagen:scope_1,reports_emission,报告排放,
emission:volkswagen__2023__sustainability_report:volkswagen:scope_1,scope:scope_1,for_scope,对应排放范围,
report:volkswagen__2023__sustainability_report,emission:volkswagen__2023__sustainability_report:volkswagen:scope_2,discloses_emission,披露排放,
company:volkswagen,emission:volkswagen__2023__sustainability_report:volkswagen:scope_2,reports_emission,报告排放,
emission:volkswagen__2023__sustainability_report:volkswagen:scope_2,scope:scope_2,for_scope,对应排放范围,
report:volkswagen__2023__sustainability_report,emission:volkswagen__2023__sustainability_report:volkswagen:scope_3,discloses_emission,披露排放,
company:volkswagen,emission:volkswagen__2023__sustainability_report:volkswagen:scope_3,reports_emission,报告排放,
emission:volkswagen__2023__sustainability_report:volkswagen:scope_3,scope:scope_3,for_scope,对应排放范围,
report:walmart__2025__esg_report,emission:walmart__2025__esg_report:walmart:scope_1,discloses_emission,披露排放,
company:walmart,emission:walmart__2025__esg_report:walmart:scope_1,reports_emission,报告排放,
emission:walmart__2025__esg_report:walmart:scope_1,scope:scope_1,for_scope,对应排放范围,
report:walmart__2025__esg_report,emission:walmart__2025__esg_report:walmart:scope_2,discloses_emission,披露排放,
company:walmart,emission:walmart__2025__esg_report:walmart:scope_2,reports_emission,报告排放,
emission:walmart__2025__esg_report:walmart:scope_2,scope:scope_2,for_scope,对应排放范围,
report:walmart__2025__esg_report,emission:walmart__2025__esg_report:walmart:scope_3,discloses_emission,披露排放,
company:walmart,emission:walmart__2025__esg_report:walmart:scope_3,reports_emission,报告排放,
emission:walmart__2025__esg_report:walmart:scope_3,scope:scope_3,for_scope,对应排放范围,
report:amazon__2024__sustainability_report,standard_ref:amazon__2024__sustainability_report__ghg_protocol,documents_standard_reference,记录标准引用事实,16
standard_ref:amazon__2024__sustainability_report__ghg_protocol,standard:ghg_protocol,references_standard,引用标准,16
standard_ref:amazon__2024__sustainability_report__ghg_protocol,standard_family:ghg_accounting_system,belongs_to_standard_family,属于标准体系,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,standard_role:accounting_standard,has_standard_role,具有标准角色,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,accounting_principle:relevance,references_accounting_principle,关联核算原则,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,accounting_principle:completeness,references_accounting_principle,关联核算原则,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,accounting_principle:consistency,references_accounting_principle,关联核算原则,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,accounting_principle:transparency,references_accounting_principle,关联核算原则,
standard_ref:amazon__2024__sustainability_report__ghg_protocol,accounting_principle:accuracy,references_accounting_principle,关联核算原则,
report:amazon__2024__sustainability_report,standard_ref:amazon__2024__sustainability_report__gri,documents_standard_reference,记录标准引用事实,3
standard_ref:amazon__2024__sustainability_report__gri,standard:gri,references_standard,引用标准,3
standard_ref:amazon__2024__sustainability_report__gri,standard_family:esg_disclosure_framework,belongs_to_standard_family,属于标准体系,
standard_ref:amazon__2024__sustainability_report__gri,standard_role:disclosure_standard,has_standard_role,具有标准角色,
standard_ref:amazon__2024__sustainability_report__gri,scope:enterprise_wide_disclosure,relates_to_scope,关联排放范围,
standard_ref:amazon__2024__sustainability_report__gri,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__gri,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__gri,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__gri,accounting_principle:materiality,references_accounting_principle,关联核算原则,
standard_ref:amazon__2024__sustainability_report__gri,accounting_principle:comparability,references_accounting_principle,关联核算原则,
report:amazon__2024__sustainability_report,standard_ref:amazon__2024__sustainability_report__sasb,documents_standard_reference,记录标准引用事实,3
standard_ref:amazon__2024__sustainability_report__sasb,standard:sasb,references_standard,引用标准,3
standard_ref:amazon__2024__sustainability_report__sasb,standard_family:industry_disclosure_framework,belongs_to_standard_family,属于标准体系,
standard_ref:amazon__2024__sustainability_report__sasb,standard_role:disclosure_guideline,has_standard_role,具有标准角色,
standard_ref:amazon__2024__sustainability_report__sasb,scope:enterprise_wide_disclosure,relates_to_scope,关联排放范围,
standard_ref:amazon__2024__sustainability_report__sasb,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__sasb,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__sasb,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__sasb,accounting_principle:financial_materiality,references_accounting_principle,关联核算原则,
report:amazon__2024__sustainability_report,standard_ref:amazon__2024__sustainability_report__tcfd,documents_standard_reference,记录标准引用事实,3
standard_ref:amazon__2024__sustainability_report__tcfd,standard:tcfd,references_standard,引用标准,3
standard_ref:amazon__2024__sustainability_report__tcfd,standard_family:climate_disclosure_framework,belongs_to_standard_family,属于标准体系,
standard_ref:amazon__2024__sustainability_report__tcfd,standard_role:disclosure_recommendation,has_standard_role,具有标准角色,
standard_ref:amazon__2024__sustainability_report__tcfd,scope:enterprise_wide_disclosure,relates_to_scope,关联排放范围,
standard_ref:amazon__2024__sustainability_report__tcfd,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__tcfd,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__tcfd,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:amazon__2024__sustainability_report__tcfd,accounting_principle:materiality,references_accounting_principle,关联核算原则,
standard_ref:amazon__2024__sustainability_report__tcfd,accounting_principle:consistency,references_accounting_principle,关联核算原则,
report:apple__2025__environmental_progress_report,standard_ref:apple__2025__environmental_progress_report__ghg_protocol,documents_standard_reference,记录标准引用事实,104
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,standard:ghg_protocol,references_standard,引用标准,104
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,standard_family:ghg_accounting_system,belongs_to_standard_family,属于标准体系,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,standard_role:accounting_standard,has_standard_role,具有标准角色,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,accounting_principle:relevance,references_accounting_principle,关联核算原则,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,accounting_principle:completeness,references_accounting_principle,关联核算原则,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,accounting_principle:consistency,references_accounting_principle,关联核算原则,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,accounting_principle:transparency,references_accounting_principle,关联核算原则,
standard_ref:apple__2025__environmental_progress_report__ghg_protocol,accounting_principle:accuracy,references_accounting_principle,关联核算原则,
report:apple__2025__environmental_progress_report,standard_ref:apple__2025__environmental_progress_report__iso_14064_3,documents_standard_reference,记录标准引用事实,104
standard_ref:apple__2025__environmental_progress_report__iso_14064_3,standard:iso_14064_3,references_standard,引用标准,104
standard_ref:apple__2025__environmental_progress_report__iso_14064_3,standard_family:iso_assurance_system,belongs_to_standard_family,属于标准体系,
standard_ref:apple__2025__environmental_progress_report__iso_14064_3,standard_role:verification_and_assurance_standard,has_standard_role,具有标准角色,
standard_ref:apple__2025__environmental_progress_report__iso_14064_3,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:apple__2025__environmental_progress_report__iso_14064_3,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:apple__2025__environmental_progress_report__iso_14064_3,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:apple__2025__environmental_progress_report__iso_14064_3,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:apple__2025__environmental_progress_report__iso_14064_3,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:apple__2025__environmental_progress_report__iso_14064_3,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:apple__2025__environmental_progress_report__iso_14064_3,accounting_principle:verifiability,references_accounting_principle,关联核算原则,
standard_ref:apple__2025__environmental_progress_report__iso_14064_3,accounting_principle:credibility,references_accounting_principle,关联核算原则,
report:apple__2025__environmental_progress_report,standard_ref:apple__2025__environmental_progress_report__iso_14067,documents_standard_reference,记录标准引用事实,106
standard_ref:apple__2025__environmental_progress_report__iso_14067,standard:iso_14067,references_standard,引用标准,106
standard_ref:apple__2025__environmental_progress_report__iso_14067,standard_family:iso_product_carbon_standard,belongs_to_standard_family,属于标准体系,
standard_ref:apple__2025__environmental_progress_report__iso_14067,standard_role:methodology_standard,has_standard_role,具有标准角色,
standard_ref:apple__2025__environmental_progress_report__iso_14067,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:apple__2025__environmental_progress_report__iso_14067,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:apple__2025__environmental_progress_report__iso_14067,accounting_principle:life_cycle_perspective,references_accounting_principle,关联核算原则,
report:apple__2025__environmental_progress_report,standard_ref:apple__2025__environmental_progress_report__iso_14040_14044,documents_standard_reference,记录标准引用事实,106
standard_ref:apple__2025__environmental_progress_report__iso_14040_14044,standard:iso_14040_14044,references_standard,引用标准,106
standard_ref:apple__2025__environmental_progress_report__iso_14040_14044,standard_family:iso_life_cycle_assessment_system,belongs_to_standard_family,属于标准体系,
standard_ref:apple__2025__environmental_progress_report__iso_14040_14044,standard_role:methodology_standard,has_standard_role,具有标准角色,
standard_ref:apple__2025__environmental_progress_report__iso_14040_14044,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:apple__2025__environmental_progress_report__iso_14040_14044,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:apple__2025__environmental_progress_report__iso_14040_14044,accounting_principle:life_cycle_perspective,references_accounting_principle,关联核算原则,
standard_ref:apple__2025__environmental_progress_report__iso_14040_14044,accounting_principle:completeness,references_accounting_principle,关联核算原则,
report:byd__2024__sustainability_report,standard_ref:byd__2024__sustainability_report__ghg_protocol,documents_standard_reference,记录标准引用事实,39
standard_ref:byd__2024__sustainability_report__ghg_protocol,standard:ghg_protocol,references_standard,引用标准,39
standard_ref:byd__2024__sustainability_report__ghg_protocol,standard_family:ghg_accounting_system,belongs_to_standard_family,属于标准体系,
standard_ref:byd__2024__sustainability_report__ghg_protocol,standard_role:accounting_standard,has_standard_role,具有标准角色,
standard_ref:byd__2024__sustainability_report__ghg_protocol,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:byd__2024__sustainability_report__ghg_protocol,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:byd__2024__sustainability_report__ghg_protocol,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:byd__2024__sustainability_report__ghg_protocol,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:byd__2024__sustainability_report__ghg_protocol,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:byd__2024__sustainability_report__ghg_protocol,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:byd__2024__sustainability_report__ghg_protocol,accounting_principle:relevance,references_accounting_principle,关联核算原则,
standard_ref:byd__2024__sustainability_report__ghg_protocol,accounting_principle:completeness,references_accounting_principle,关联核算原则,
standard_ref:byd__2024__sustainability_report__ghg_protocol,accounting_principle:consistency,references_accounting_principle,关联核算原则,
standard_ref:byd__2024__sustainability_report__ghg_protocol,accounting_principle:transparency,references_accounting_principle,关联核算原则,
standard_ref:byd__2024__sustainability_report__ghg_protocol,accounting_principle:accuracy,references_accounting_principle,关联核算原则,
report:byd__2024__sustainability_report,standard_ref:byd__2024__sustainability_report__iso_14067,documents_standard_reference,记录标准引用事实,46
standard_ref:byd__2024__sustainability_report__iso_14067,standard:iso_14067,references_standard,引用标准,46
standard_ref:byd__2024__sustainability_report__iso_14067,standard_family:iso_product_carbon_standard,belongs_to_standard_family,属于标准体系,
standard_ref:byd__2024__sustainability_report__iso_14067,standard_role:methodology_standard,has_standard_role,具有标准角色,
standard_ref:byd__2024__sustainability_report__iso_14067,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:byd__2024__sustainability_report__iso_14067,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:byd__2024__sustainability_report__iso_14067,accounting_principle:life_cycle_perspective,references_accounting_principle,关联核算原则,
report:byd__2024__sustainability_report,standard_ref:byd__2024__sustainability_report__gri,documents_standard_reference,记录标准引用事实,3
standard_ref:byd__2024__sustainability_report__gri,standard:gri,references_standard,引用标准,3
standard_ref:byd__2024__sustainability_report__gri,standard_family:esg_disclosure_framework,belongs_to_standard_family,属于标准体系,
standard_ref:byd__2024__sustainability_report__gri,standard_role:disclosure_standard,has_standard_role,具有标准角色,
