company_id,world500_rank,company_name_zh,company_name_en,diagnosis_category_zh,diagnosis_category_en,evidence_file,evidence_path,evidence_type,diagnosis_note_zh,diagnosis_note_en,confidence_level,diagnosis_rule
r142_xiamenitgholdinggroup,142,厦门国贸控股集团有限公司,XIAMEN ITG HOLDING GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“厦门国贸控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'XIAMEN ITG HOLDING GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r147_aviationindustrycorpofchina,147,中国航空工业集团有限公司,AVIATION INDUSTRY CORP. OF CHINA,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国航空工业集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'AVIATION INDUSTRY CORP. OF CHINA'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r155_energytransfer公司,155,Energy Transfer公司,Energy Transfer公司,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“Energy Transfer公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'Energy Transfer公司'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r160_chinanorthindustriesgroup,160,中国兵器工业集团有限公司,CHINA NORTH INDUSTRIES GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国兵器工业集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA NORTH INDUSTRIES GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r161_pacificconstructiongroup,161,太平洋建设集团有限公司,PACIFIC CONSTRUCTION GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“太平洋建设集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'PACIFIC CONSTRUCTION GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r167_petronas,167,马来西亚国家石油公司,PETRONAS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“马来西亚国家石油公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'PETRONAS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r171_shenghongholdinggroup,171,盛虹控股集团有限公司,SHENGHONG HOLDING GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“盛虹控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SHENGHONG HOLDING GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r172_basf,172,巴斯夫公司,BASF,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“巴斯夫公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'BASF'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r175_shandongweiqiaopioneeringgroup,175,山东魏桥创业集团有限公司,SHANDONG WEIQIAO PIONEERING GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“山东魏桥创业集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SHANDONG WEIQIAO PIONEERING GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r180_oilandnaturalgas,180,印度石油天然气公司,OIL & NATURAL GAS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“印度石油天然气公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'OIL & NATURAL GAS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r187_xmxyg,187,厦门象屿集团有限公司,XMXYG,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“厦门象屿集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'XMXYG'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r188_rtx,188,雷神技术公司,RTX,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“雷神技术公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'RTX'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r194_koc集团,194,KOC集团,KOC集团,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“KOC集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'KOC集团'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r210_unilever,210,联合利华,UNILEVER,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“联合利华”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'UNILEVER'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r213_jinnengholdinggroup,213,晋能控股集团有限公司,JINNENG HOLDING GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“晋能控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'JINNENG HOLDING GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r216_sberbank,216,俄罗斯联邦储蓄银行,SBERBANK,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“俄罗斯联邦储蓄银行”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SBERBANK'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r218_progressive,218,前进保险公司,PROGRESSIVE,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“前进保险公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'PROGRESSIVE'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r219_internationalbusinessmachines,219,国际商业机器公司,INTERNATIONAL BUSINESS MACHINES,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“国际商业机器公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'INTERNATIONAL BUSINESS MACHINES'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r229_merck,229,默沙东,MERCK,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“默沙东”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'MERCK'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r232_industrialbank,232,兴业银行股份有限公司,INDUSTRIAL BANK,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“兴业银行股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'INDUSTRIAL BANK'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r233_poscoholdings,233,浦项制铁控股公司,POSCO HOLDINGS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“浦项制铁控股公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'POSCO HOLDINGS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r238_chinahuanenggroup,238,中国华能集团有限公司,CHINA HUANENG GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国华能集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA HUANENG GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r239_chinaenergyengineeringgroup,239,中国能源建设集团有限公司,CHINA ENERGY ENGINEERING GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国能源建设集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA ENERGY ENGINEERING GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r240_dongfengmotor,240,东风汽车集团有限公司,DONGFENG MOTOR,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“东风汽车集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'DONGFENG MOTOR'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r242_publixsupermarkets,242,大众超级市场公司,PUBLIX SUPER MARKETS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“大众超级市场公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'PUBLIX SUPER MARKETS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r243_zhejianghengyigroup,243,浙江恒逸集团有限公司,ZHEJIANG HENGYI GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“浙江恒逸集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'ZHEJIANG HENGYI GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r245_assicurazionigenerali,245,意大利忠利保险公司,ASSICURAZIONI GENERALI,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“意大利忠利保险公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'ASSICURAZIONI GENERALI'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r249_hbisgroup,249,河钢集团有限公司,HBIS GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“河钢集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'HBIS GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r253_chinaelectronicstechnologygroup,253,中国电子科技集团有限公司,CHINA ELECTRONICS TECHNOLOGY GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国电子科技集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA ELECTRONICS TECHNOLOGY GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r254_nationwide,254,美国全国保险公司,NATIONWIDE,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“美国全国保险公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'NATIONWIDE'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r256_statepowerinvestment,256,国家电力投资集团有限公司,STATE POWER INVESTMENT,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“国家电力投资集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'STATE POWER INVESTMENT'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r265_tsingshanholdinggroup,265,青山控股集团有限公司,TSINGSHAN HOLDING GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“青山控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'TSINGSHAN HOLDING GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r267_coscoshipping,267,中国远洋海运集团有限公司,COSCO SHIPPING,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国远洋海运集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'COSCO SHIPPING'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r274_deutschebahn,274,德国联邦铁路公司,DEUTSCHE BAHN,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“德国联邦铁路公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'DEUTSCHE BAHN'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r276_tysonfoods,276,泰森食品,TYSON FOODS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“泰森食品”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'TYSON FOODS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r277_mideagroup,277,美的集团股份有限公司,MIDEA GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“美的集团股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'MIDEA GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r279_chinaunitednetworkcommunications,279,中国联合网络通信股份有限公司,CHINA UNITED NETWORK COMMUNICATIONS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国联合网络通信股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA UNITED NETWORK COMMUNICATIONS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r280_libertymutualinsurancegroup,280,美国利宝互助保险集团,LIBERTY MUTUAL INSURANCE GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“美国利宝互助保险集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'LIBERTY MUTUAL INSURANCE GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r281_bankofnovascotia,281,加拿大丰业银行,BANK OF NOVA SCOTIA,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“加拿大丰业银行”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'BANK OF NOVA SCOTIA'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r284_saintgobain,284,圣戈班集团,SAINT-GOBAIN,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“圣戈班集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SAINT-GOBAIN'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r285_shaanxiyanchangpetroleumgroup,285,陕西延长石油（集团）有限责任公司,SHAANXI YANCHANG PETROLEUM (GROUP),库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“陕西延长石油（集团）有限责任公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SHAANXI YANCHANG PETROLEUM (GROUP)'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r288_nike,288,耐克公司,NIKE,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“耐克公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'NIKE'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r291_greenlandholdinggroup,291,绿地控股集团股份有限公司,GREENLAND HOLDING GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“绿地控股集团股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'GREENLAND HOLDING GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r292_shanghaipudongdevelopmentbank,292,上海浦东发展银行股份有限公司,SHANGHAI PUDONG DEVELOPMENT BANK,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“上海浦东发展银行股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SHANGHAI PUDONG DEVELOPMENT BANK'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r293_louisdreyfus,293,路易达孚集团,LOUIS DREYFUS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“路易达孚集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'LOUIS DREYFUS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r296_kb金融集团,296,KB金融集团,KB金融集团,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“KB金融集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'KB金融集团'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r299_oracle,299,甲骨文公司,ORACLE,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“甲骨文公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'ORACLE'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r003_stategrid,3,国家电网有限公司,STATE GRID,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“国家电网有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'STATE GRID'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r300_jinchuangroup,300,金川集团股份有限公司,JINCHUAN GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“金川集团股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'JINCHUAN GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r303_enterpriseproductspartners公司,303,Enterprise Products Partners公司,Enterprise Products Partners公司,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“Enterprise Products Partners公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'Enterprise Products Partners公司'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r304_capitalonefinancial,304,第一资本金融公司,CAPITAL ONE FINANCIAL,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“第一资本金融公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CAPITAL ONE FINANCIAL'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r306_hdfc银行,306,HDFC银行,HDFC银行,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“HDFC银行”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'HDFC银行'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r307_chinanationalbuildingmaterialgroup,307,中国建材集团有限公司,CHINA NATIONAL BUILDING MATERIAL GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国建材集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA NATIONAL BUILDING MATERIAL GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r309_chinastateshipbuilding,309,中国船舶集团有限公司,CHINA STATE SHIPBUILDING,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国船舶集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA STATE SHIPBUILDING'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r312_landesbankbadenwürttemberg,312,德国巴登-符腾堡州银行,LANDESBANK BADEN-WÜRTTEMBERG,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“德国巴登-符腾堡州银行”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'LANDESBANK BADEN-WÜRTTEMBERG'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
